SITE_NUM,LAT_BEGIN,LONG_BEGIN,LAT_END,LONG_END,LAT_MIDDLE,LONG_MIDDLE
1,37.772648,-122.40715,37.7727837,-122.40667,37.7727159,-122.40691
2,37.7727837,-122.40667,37.7760689,-122.40024,37.7744263,-122.40345
3,37.7760689,-122.40024,37.7793541,-122.39381,37.7777115,-122.39702
4,37.7793541,-122.39381,37.7826393,-122.38738,37.7809967,-122.39059
5,37.7826393,-122.38738,37.7859245,-122.38095,37.7842819,-122.38416
6,37.7859245,-122.38095,37.7892096,-122.37452,37.787567,-122.37773
7,37.7892096,-122.37452,37.7924948,-122.36809,37.7908522,-122.3713
8,37.7924948,-122.36809,37.79578,-122.36166,37.7941374,-122.36487
9,37.79578,-122.36166,37.7990652,-122.35523,37.7974226,-122.35844
10,37.7990652,-122.35523,37.8023504,-122.3488,37.8007078,-122.35201
11,37.8023504,-122.3488,37.8056356,-122.34237,37.803993,-122.34558
12,37.8056356,-122.34237,37.8089208,-122.33594,37.8072782,-122.33915
13,37.8089208,-122.33594,37.812206,-122.32951,37.8105634,-122.33272
14,37.812206,-122.32951,37.8154911,-122.32308,37.8138485,-122.32629
15,37.8154911,-122.32308,37.8187763,-122.31665,37.8171337,-122.31987
16,37.8187763,-122.31665,37.8220615,-122.31022,37.8204189,-122.31344
17,37.8220615,-122.31022,37.8253467,-122.30379,37.8237041,-122.30701
18,37.8253467,-122.30379,37.8258557,-122.29636,37.8256012,-122.30008
19,37.8258557,-122.29636,37.8263647,-122.28893,37.8261102,-122.29265
20,37.8263647,-122.28893,37.8263093,-122.2829,37.826337,-122.28592
21,37.8263093,-122.2829,37.8262538,-122.27687,37.8262815,-122.27989
22,37.8262538,-122.27687,37.8297461,-122.26977,37.828,-122.27332
23,37.8297461,-122.26977,37.8332385,-122.26266,37.8314923,-122.26621
24,37.8332385,-122.26266,37.8367308,-122.25555,37.8349846,-122.25911
25,37.8367308,-122.25555,37.8402232,-122.24844,37.838477,-122.252
26,37.8402232,-122.24844,37.8437155,-122.24134,37.8419693,-122.24489
27,37.8437155,-122.24134,37.8472078,-122.23423,37.8454617,-122.23778
28,37.8472078,-122.23423,37.8507002,-122.22712,37.848954,-122.23068
29,37.8507002,-122.22712,37.8541925,-122.22002,37.8524463,-122.22357
30,37.8541925,-122.22002,37.8566116,-122.21408,37.8554021,-122.21705
31,37.8566116,-122.21408,37.8590307,-122.20814,37.8578212,-122.21111
32,37.8590307,-122.20814,37.8614498,-122.2022,37.8602403,-122.20517
33,37.8614498,-122.2022,37.8638689,-122.19626,37.8626594,-122.19923
34,37.8638689,-122.19626,37.866288,-122.19032,37.8650785,-122.19329
35,37.866288,-122.19032,37.8687071,-122.18438,37.8674976,-122.18735
36,37.8687071,-122.18438,37.8711262,-122.17844,37.8699167,-122.18141
37,37.8711262,-122.17844,37.8735453,-122.1725,37.8723358,-122.17547
38,37.8735453,-122.1725,37.8759644,-122.16656,37.8747549,-122.16953
39,37.8759644,-122.16656,37.8783835,-122.16062,37.877174,-122.16359
40,37.8783835,-122.16062,37.8808026,-122.15468,37.8795931,-122.15765
41,37.8808026,-122.15468,37.8832217,-122.14874,37.8820122,-122.15171
42,37.8832217,-122.14874,37.8856408,-122.1428,37.8844313,-122.14577
43,37.8856408,-122.1428,37.8880599,-122.13686,37.8868504,-122.13983
44,37.8880599,-122.13686,37.890479,-122.13092,37.8892695,-122.13389
45,37.890479,-122.13092,37.8928981,-122.12498,37.8916886,-122.12795
