ID,LAT_BEGIN,LONG_BEGIN,LAT_END,LONG_END,LAT_MIDDLE,LONG_MIDDLE,Slope (deg),Vs30 (m/s),Water Table Depth (m),Distance to River (km),Distance to Coast (km),Distance to Water Body (km),Mean Annual Precipitation (mm),Geologic Unit,Friction Angle (deg),Cohesion (kPa),Unit Weight (kN/m3),Slope Thickness (m),Root Cohesion (kPa),Outside Diameter (in),Material & Welds,Year of Installation
1,37.772648,-122.4071509,37.7727837,-122.4066667,37.77271585,-122.4069088,0.259691599,225.6000061,3.653461365,12.35731892,1.292621888,1.278545235,813.6178089,Q,28,19.1,19.65144231,6,10,36,X-52 Steel with SEAW,1951
2,37.7727837,-122.4066667,37.77606889,-122.4002369,37.77442629,-122.4034518,0.597175997,225.6000061,3.522784139,12.64751719,1.00051436,0.960247523,813.7995986,Q,28,19.1,19.65144231,6,10,34,X-52 Steel with SEAW,1946
3,37.77606889,-122.4002369,37.77935408,-122.3938072,37.77771148,-122.3970221,1.879660031,225.6000061,7.64666697,12.94088115,0.467813251,0.460763998,812.7999878,Q,28,19.1,19.65144231,6,10,18,X-52 Steel with SEAW,1983
4,37.77935408,-122.3938072,37.78263926,-122.3873774,37.78099667,-122.3905923,1.335223133,225.6000061,0,12.76501537,0.135619153,0.152294782,803.3214318,Q,28,19.1,19.65144231,6,10,2,Grade B Steel with UEAW,1934
5,37.78263926,-122.3873774,37.78592445,-122.3809477,37.78428186,-122.3841626,0.022317433,999,0,12.15434194,0,0.018785534,796.8408651,water,9999,9999,9999,6,10,38,X-42 Steel,1948
6,37.78592445,-122.3809477,37.78920964,-122.3745179,37.78756704,-122.3777328,0.000757551,999,0,11.54654994,0,0,788.7598914,water,9999,9999,9999,6,10,6,Grade B Steel with UEAW,1932
7,37.78920964,-122.3745179,37.79249483,-122.3680882,37.79085223,-122.371303,0.002600545,999,0,10.95937077,0,0,787.3999634,water,9999,9999,9999,6,10,12,Grade C or D Steel with Welded Slip Joint & Mechanical Coupling,1981
8,37.79249483,-122.3680882,37.79578001,-122.3616584,37.79413742,-122.3648733,0.005475501,999,0,10.38440068,0,0,787.3999634,water,9999,9999,9999,6,10,34,X-42 Steel,1956
9,37.79578001,-122.3616584,37.7990652,-122.3552287,37.79742261,-122.3584435,0.004295594,999,0,9.816655498,0,0,787.3999634,water,9999,9999,9999,6,10,18,Grade C or D Steel with Welded Slip Joint & Mechanical Coupling,1936
10,37.7990652,-122.3552287,37.80235039,-122.3487989,37.80070779,-122.3520138,0.002518372,999,0,9.253024141,0.014193445,0,787.3999634,water,9999,9999,9999,6,10,40,X-60 Steel with SEAW,1979
11,37.80235039,-122.3487989,37.80563558,-122.3423691,37.80399298,-122.345584,0.001181133,999,0,8.708772183,0.052761888,0.020314174,787.3999634,water,9999,9999,9999,6,10,6,X-42 Steel,1967
12,37.80563558,-122.3423691,37.80892076,-122.3359394,37.80727817,-122.3391543,0.094849398,159.4347389,0,8.186003245,0.037376853,0.007878306,787.3999634,Q,28,19.1,19.65144231,6,10,2,Grade C or D Steel with Welded Slip Joint & Mechanical Coupling,1960
