Name,Description,From Model,Source,Distribution Type,Mean or Median,Sigma,CoV,Distribution Min,Distribution Max
h_tree,,,From infrastructure table or enter value,Normal,TREE_HEIGHT_[M],0.91,,1.00E-03,
l_p2,,,Preferred,,,,,,
l_p6_sys23,,,Preferred,,,,,,
l_p6_sys4,,,From infrastructure table or enter value,Normal,LP6_[M],1.83,,1.00E-03,
w_valve,,,From infrastructure table or enter value,Normal,VALVE_WEIGHT_[KN],0.67,,1.00E-03,
d_sys,,,Preferred,,,,,,
t_sys,,,Preferred,,,,,,
op_press,,,Preferred,,,,,,
sigma_y,,,Preferred,,,,,,
h_vessel,,,From infrastructure table or enter value,Normal,h_vessel_m,2.43,,1.00E-03,
h_d_ratio_vessel,,,From infrastructure table or enter value,Normal,h_d_ratio_vessel,1.5,,1.00E-03,
p_vessel,,,From infrastructure table or enter value,Normal,p_vessel_MPa,3.44,,1.00E-03,
d_anchor,,,From infrastructure table or enter value,Normal,d_anchor_mm,3.8,,1.00E-03,
