event_id,magnitude,annual_rate,dip,rake,dip_dir,z_tor,z_bor,fault_trace
54.0,6.25,0.000733,90.0,0.0,60.3,0.0,10.0,"[[-122.47, 38.225, 0.0], [-122.503, 38.259, 0.0], [-122.537, 38.292, 0.0], [-122.562, 38.33, 0.0]]"
55.0,6.25,0.000733,90.0,0.0,60.3,0.0,10.0,"[[-122.562, 38.33, 0.0], [-122.587, 38.368, 0.0], [-122.592, 38.376, 0.0], [-122.617, 38.403, 0.0], [-122.647, 38.435, 0.0], [-122.647, 38.438, 0.0]]"
56.0,6.75,0.000455,90.0,0.0,60.3,0.0,10.0,"[[-122.47, 38.225, 0.0], [-122.503, 38.259, 0.0], [-122.537, 38.292, 0.0], [-122.562, 38.33, 0.0], [-122.587, 38.368, 0.0], [-122.592, 38.376, 0.0], [-122.617, 38.403, 0.0], [-122.647, 38.435, 0.0], [-122.647, 38.438, 0.0]]"
101.0,6.35,0.000121,70.0,19.1,27.1,0.0,12.0,"[[-121.928, 37.121, 0.0], [-121.988, 37.142, 0.0], [-121.992, 37.144, 0.0], [-122.04, 37.173, 0.0]]"
102.0,6.35,0.000121,70.0,19.1,27.1,0.0,12.0,"[[-122.04, 37.173, 0.0], [-122.081, 37.198, 0.0], [-122.094, 37.2, 0.0], [-122.158, 37.212, 0.0], [-122.176, 37.215, 0.0], [-122.213, 37.238, 0.0]]"
104.0,6.85,9.42e-05,70.0,19.1,27.1,0.0,12.0,"[[-121.928, 37.121, 0.0], [-121.988, 37.142, 0.0], [-121.992, 37.144, 0.0], [-122.04, 37.173, 0.0], [-122.081, 37.198, 0.0], [-122.094, 37.2, 0.0], [-122.158, 37.212, 0.0], [-122.176, 37.215, 0.0], [-122.213, 37.238, 0.0], [-122.266, 37.269, 0.0], [-122.273, 37.273, 0.0], [-122.326, 37.289, 0.0]]"
109.0,6.45,0.00231,77.0,0.2,59.3,0.0,11.0,"[[-121.605, 37.174, 0.0], [-121.607, 37.177, 0.0], [-121.569, 37.141, 0.0], [-121.64, 37.216, 0.0], [-121.67, 37.252, 0.0], [-121.671, 37.255, 0.0], [-121.686, 37.3, 0.0], [-121.686, 37.301, 0.0], [-121.722, 37.338, 0.0], [-121.757, 37.376, 0.0]]"
111.0,6.65,0.000679,80.0,0.1,245.1,0.0,14.0,"[[-122.043, 37.844, 0.0], [-121.997, 37.795, 0.0], [-121.961, 37.755, 0.0], [-121.955, 37.743, 0.0], [-121.933, 37.693, 0.0], [-121.929, 37.685, 0.0]]"
173.0,6.35,0.000185,90.0,11.6,231.9,0.0,16.0,"[[-121.962, 37.976, 0.0], [-121.918, 37.941, 0.0], [-121.885, 37.914, 0.0], [-121.878, 37.904, 0.0]]"
174.0,6.85,0.000257,90.0,11.6,231.9,0.0,16.0,"[[-121.962, 37.976, 0.0], [-121.918, 37.941, 0.0], [-121.885, 37.914, 0.0], [-121.878, 37.904, 0.0]]"
187.0,6.35,0.00129,90.0,8.5,241.5,0.0,15.0,"[[-122.089, 38.044, 0.0], [-122.056, 37.998, 0.0], [-122.054, 37.996, 0.0], [-122.018, 37.95, 0.0], [-122.013, 37.944, 0.0]]"
188.0,6.85,0.000886,90.0,8.5,241.5,0.0,15.0,"[[-122.089, 38.044, 0.0], [-122.056, 37.998, 0.0], [-122.054, 37.996, 0.0], [-122.018, 37.95, 0.0], [-122.013, 37.944, 0.0]]"
189.0,6.25,1.57e-05,90.0,-0.9,82.5,0.0,12.9,"[[-122.163, 37.92, 0.0], [-122.17, 37.96, 0.0]]"
190.0,6.35,0.000288,90.0,0.0,81.9,0.0,12.5,"[[-122.185, 38.009, 0.0], [-122.194, 38.058, 0.0]]"
191.0,6.25,5.08e-05,90.0,0.8,76.0,0.0,14.6,"[[-122.093, 37.851, 0.0], [-122.105, 37.888, 0.0]]"
192.0,6.25,0.000933,90.0,0.9,76.9,0.0,15.0,"[[-122.056, 37.861, 0.0], [-122.066, 37.895, 0.0]]"
193.0,6.35,0.000239,90.0,-0.4,72.2,0.0,13.2,"[[-122.169, 38.023, 0.0], [-122.185, 38.061, 0.0]]"
194.0,6.25,5.55e-05,90.0,0.3,245.6,0.0,14.7,"[[-122.118, 37.931, 0.0], [-122.105, 37.908, 0.0]]"
195.0,6.35,0.000283,80.0,-0.4,231.2,0.0,14.0,"[[-122.168, 38.022, 0.0], [-122.127, 37.982, 0.0]]"
196.0,6.35,0.000391,81.0,1.3,246.6,0.0,12.9,"[[-122.241, 38.154, 0.0], [-122.207, 38.108, 0.0], [-122.201, 38.099, 0.0], [-122.18, 38.058, 0.0]]"
197.0,6.35,0.000391,81.0,1.3,246.6,0.0,12.9,"[[-122.18, 38.058, 0.0], [-122.154, 38.008, 0.0], [-122.146, 37.992, 0.0], [-122.139, 37.956, 0.0], [-122.137, 37.947, 0.0]]"
198.0,6.85,0.0001,81.0,1.3,246.6,0.0,12.9,"[[-122.241, 38.154, 0.0], [-122.207, 38.108, 0.0], [-122.201, 38.099, 0.0], [-122.18, 38.058, 0.0], [-122.154, 38.008, 0.0], [-122.146, 37.992, 0.0], [-122.139, 37.956, 0.0], [-122.137, 37.947, 0.0]]"
304.0,6.35,0.000635,90.0,1.3,56.0,0.0,13.2,"[[-122.044, 37.846, 0.0], [-122.071, 37.898, 0.0], [-122.079, 37.913, 0.0], [-122.118, 37.94, 0.0], [-122.159, 37.969, 0.0]]"
305.0,6.35,0.000635,90.0,1.3,56.0,0.0,13.2,"[[-122.159, 37.969, 0.0], [-122.168, 37.981, 0.0], [-122.197, 38.019, 0.0], [-122.207, 38.029, 0.0], [-122.242, 38.06, 0.0], [-122.251, 38.074, 0.0]]"
306.0,6.85,0.000196,90.0,1.3,56.0,0.0,13.2,"[[-122.044, 37.846, 0.0], [-122.071, 37.898, 0.0], [-122.079, 37.913, 0.0], [-122.118, 37.94, 0.0], [-122.159, 37.969, 0.0], [-122.168, 37.981, 0.0], [-122.197, 38.019, 0.0], [-122.207, 38.029, 0.0], [-122.242, 38.06, 0.0], [-122.251, 38.074, 0.0]]"
359.0,6.45,0.000741,20.0,76.3,247.2,9.0,14.0,"[[-122.191, 38.957, 9.0], [-122.163, 38.904, 9.0], [-122.134, 38.85, 9.0], [-122.105, 38.797, 9.0], [-122.077, 38.743, 9.0]]"
360.0,6.95,0.00054,20.0,76.3,247.2,9.0,14.0,"[[-122.278, 39.117, 9.0], [-122.249, 39.064, 9.0], [-122.22, 39.01, 9.0], [-122.191, 38.957, 9.0], [-122.163, 38.904, 9.0], [-122.134, 38.85, 9.0], [-122.105, 38.797, 9.0], [-122.077, 38.743, 9.0]]"
361.0,6.15,0.00113,20.0,89.7,59.7,3.0,6.0,"[[-121.878, 38.624, 3.0], [-121.889, 38.658, 3.0], [-121.901, 38.692, 3.0], [-121.908, 38.712, 3.0], [-121.919, 38.723, 3.0]]"
