z,qt,fs,u2
0.1,4.219,0.01,0
0.2,4.219,0.0355,0
0.3,4.152,0.0948,0
0.4,4.085,0.147,0
0.5,2.478,0.1018,0
0.6,1.842,0.04789,0
0.7,1.54,0.02277,0
0.8,1.473,0.01574,0
0.9,0.804,0.004018,0
1,1.272,0.02679,0
1.1,1.875,0.0737,0
1.2,1.239,0.03081,0
1.3,1.306,0.01909,0
1.4,1.339,0.03081,0
1.5,1.206,0.02947,0
1.6,1.708,0.02244,0
1.7,2.344,0.0827,0
1.8,1.976,0.04219,0
1.9,1.507,0.06798,0
2,1.44,0.0837,0
2.1,1.473,0.0777,0
2.2,1.708,0.083,0
2.3,2.177,0.0837,0
2.4,2.21,0.1005,0
2.5,2.813,0.0891,0
2.6,3.014,0.0998,0
2.7,2.913,0.077,0
2.8,3.215,0.06563,0
2.9,3.215,0.0901,0
3,3.483,0.0938,0
3.1,3.215,0.06831,0
3.2,3.382,0.073,0
3.3,3.416,0.05794,0
3.4,3.416,0.05626,0
3.5,4.018,0.0844,0
3.6,4.253,0.05158,0
3.7,4.655,0.04153,0
3.8,5.492,0.1725,0
3.9,6.094,0.0703,0
4,5.291,0.06229,0
4.1,5.023,0.05358,0
4.2,4.956,0.06296,0
4.3,5.157,0.05995,0
4.4,5.76,0.06029,0
4.5,5.827,0.079,0
4.6,6.262,0.0834,0
4.7,6.697,0.1192,0
4.8,4.789,0.05359,0
4.9,3.349,0.0355,0
5,2.579,0.06363,0
5.1,1.742,0.0834,0
5.2,1.641,0.0824,0
5.3,1.608,0.0817,0
5.4,1.943,0.0821,0
5.5,3.148,0.0877,0
5.6,2.612,0.0797,0
5.7,1.507,0.073,0
5.8,1.541,0.06899,0
5.9,1.273,0.06431,0
6,1.273,0.06263,0
6.1,1.574,0.0891,0
6.2,1.34,0.06899,0
6.3,1.44,0.06096,0
6.4,1.373,0.06498,0
6.5,1.273,0.06364,0
6.6,1.106,0.03484,0
6.7,1.206,0.03886,0
6.8,1.173,0.03484,0
6.9,1.072,0.03484,0
7,0.871,0.02547,0
7.1,0.771,0.01442,0
7.2,0.737,0.01275,0
7.3,0.737,0.02279,0
7.4,0.972,0.01743,0
7.5,0.67,0.01107,0
7.6,0.603,0.005715,0
7.7,0.872,0.00873,0
7.8,1.005,0.02714,0
7.9,1.139,0.02882,0
8,1.039,0.02882,0
8.1,1.306,0.03216,0
8.2,1.273,0.02279,0
8.3,1.273,0.02781,0
8.4,1.575,0.02882,0
8.5,5.123,0.1098,0
8.6,4.286,0.1557,0
8.7,2.545,0.1105,0
8.8,2.947,0.1437,0
8.9,10.21,0.1661,0
9,3.818,0.06097,0
9.1,2.679,0.00806,0
9.2,2.612,0.03016,0
9.3,3.818,0.1748,0
9.4,3.081,0.02482,0
9.5,2.746,0.00875,0
9.6,5.726,0.1614,0
9.7,5.558,0.0864,0
9.8,6.027,0.1868,0
9.9,7.27,0.4098,0
10,8.14,0.3415,0
10.1,19.69,0.4824,0
10.2,13.26,0.4784,0
10.3,6.797,0.2615,0
10.4,4.588,0.1085,0
