CPT_FileName,CPT_Date,Datum,Longitude,Latitude,Datum,Mean GWT,Mean GWT NR,Mean GWT SF
LAC041.csv,4/12/1995,NAD 27 UTM Zone 11 N,-118.501993,34.283897,WGS84,15,15,15
LAC042.csv,4/12/1995,NAD 27 UTM Zone 11 N,-118.501982,34.283302,WGS84,9.4,9.4,11.4
LAC043.csv,4/12/1995,NAD 27 UTM Zone 11 N,-118.501999,34.283049,WGS84,9.1,9.1,11.1
LAC044.csv,4/12/1995,NAD 27 UTM Zone 11 N,-118.501997,34.282896,WGS84,8.5,8.5,10.5
LAC047.csv,4/13/1995,NAD 27 UTM Zone 11 N,-118.502,34.282508,WGS84,8.2,8.2,10.2
LAC048.csv,4/13/1995,NAD 27 UTM Zone 11 N,-118.501997,34.2823,WGS84,7.9,7.9,9.9
LAC049.csv,4/13/1995,NAD 27 UTM Zone 11 N,-118.502003,34.28203,WGS84,7.9,7.9,9.9
LAC051.csv,4/13/1995,NAD 27 UTM Zone 11 N,-118.501987,34.281146,WGS84,7.2,7.2,9.2
LAC053.csv,4/14/1995,NAD 27 UTM Zone 11 N,-118.502009,34.280524,WGS84,7.6,7.6,9.6
LAC054.csv,4/14/1995,NAD 27 UTM Zone 11 N,-118.502006,34.28038,WGS84,8.2,8.2,10.2
LAC055.csv,5/12/1995,NAD 27 UTM Zone 11 N,-118.502004,34.280262,WGS84,8.4,8.4,10.4
LAC057.csv,4/14/1995,NAD 27 UTM Zone 11 N,-118.501997,34.279848,WGS84,10.7,10.7,12.7
LAC058.csv,4/14/1995,NAD 27 UTM Zone 11 N,-118.501979,34.278838,WGS84,15,15,15
