z,qt,fs,u2
0.05,100,0.9333,0
0.1,83.29,0.6985,0
0.15,49.14,0.4475,0
0.2,34.35,0.3737,0
0.25,30.71,0.3794,0
0.3,23.68,0.2585,0
0.35,18.69,0.2506,0
0.4,15.43,0.1988,0
0.45,13.76,0.1996,0
0.5,14.93,0.2478,0
0.55,10.75,0.2067,0
0.6,8.02,0.1878,0
0.65,11.04,0.1587,0
0.7,13.44,0.116,0
0.75,11.42,0.1019,0
0.8,6.57,0.1213,0
0.85,3.55,0.122,0
0.9,1.96,0.0982,0
0.95,3.09,0.0945,0
1,3.07,0.1263,0
1.05,3.07,0.0583,0
1.1,3.99,0.0393,0
1.15,5.9,0.0378,0
1.2,3.8,0.0671,0
1.25,2.4,0.082,0
1.3,1.98,0.0808,0
1.35,3.43,0.0878,0
1.4,3.11,0.0813,0
1.45,1.84,0.0732,0
1.5,1.77,0.0775,0
1.55,1.31,0.0664,0
1.6,1.6,0.0593,0
1.65,1.2,0.069,0
1.7,1.34,0.0597,0
1.75,1.5,0.0541,0
1.8,0.86,0.0463,0
1.85,1.16,0.0361,0
1.9,1.04,0.03,0
1.95,0.64,0.0298,0
2,0.7,0.0367,0
2.05,0.9,0.0353,0
2.1,5.81,0.0673,0
2.15,5.39,0.0691,0
2.2,2.24,0.0593,0
2.25,1.2,0.0517,0
2.3,1.17,0.0579,0
2.35,1.78,0.0401,0
2.4,1.13,0.0222,0
2.45,0.78,0.0458,0
2.5,1.58,0.0347,0
2.55,7.29,0.0984,0
2.6,11.66,0.06,0
2.65,7.73,0.0268,0
2.7,4.28,0.0154,0
2.75,2.15,0.0088,0
2.8,1.57,0.0052,0
2.85,1.46,0.0014,0
2.9,1.6,0.0063,0
2.95,1.74,0.0209,0
3,1.63,0.0149,0
3.05,1.13,0.0089,0
3.1,0.74,0.0026,0
3.15,0.63,0.0015,0
3.2,0.42,0.0095,0
3.25,2.62,0.0371,0
3.3,5.74,0.0831,0
3.35,5.42,0.0847,0
3.4,7.01,0.072,0
3.45,10.8,0.096,0
3.5,25.72,0.2135,0
