event_id,magnitude,annual_rate,dip,rake,dip_dir,z_tor,z_bor,fault_trace,seg_id_crossed_primary,prob_crossing_for_seg_primary,norm_dist_for_seg_primary,seg_id_crossed_secondary,prob_crossing_for_seg_secondary,norm_dist_for_seg_secondary,seg_id_crossed,prob_crossing,norm_dist
109,6.45,0.00231,77.0,0.2,59.3,0.0,11.0,"[[-121.605, 37.174, 0.0], [-121.607, 37.177, 0.0], [-121.569, 37.141, 0.0], [-121.64, 37.216, 0.0], [-121.67, 37.252, 0.0], [-121.671, 37.255, 0.0], [-121.686, 37.3, 0.0], [-121.686, 37.301, 0.0], [-121.722, 37.338, 0.0], [-121.757, 37.376, 0.0]]",[217473],[0.0716],[0.4144],[],[],[],[217473],[0.0716],[0.4144]
418,7.05,0.00211,82.0,0.1,60.7,0.0,11.1,"[[-122.178, 37.782, 0.0], [-122.209, 37.823, 0.0], [-122.216, 37.832, 0.0], [-122.242, 37.864, 0.0], [-122.276, 37.904, 0.0], [-122.297, 37.929, 0.0], [-122.31, 37.943, 0.0], [-122.345, 37.982, 0.0], [-122.381, 38.022, 0.0], [-122.413, 38.057, 0.0], [-122.415, 38.061, 0.0], [-122.443, 38.104, 0.0], [-122.444, 38.106, 0.0], [-122.459, 38.15, 0.0]]",[147562],[0.2837],[0.4709],[],[],[],[147562],[0.2837],[0.4709]
427,6.35,0.00038,90.0,7.4,50.9,0.0,12.8,"[[-116.945, 34.441, 0.0], [-116.955, 34.449, 0.0], [-117.004, 34.49, 0.0], [-117.053, 34.53, 0.0], [-117.064, 34.539, 0.0]]",[240515],[0.3567],[0.4342],[],[],[],[240515],[0.3567],[0.4342]
432,6.85,0.000209,90.0,7.4,50.9,0.0,12.8,"[[-116.815, 34.325, 0.0], [-116.854, 34.372, 0.0], [-116.857, 34.376, 0.0], [-116.904, 34.411, 0.0], [-116.945, 34.441, 0.0], [-116.955, 34.449, 0.0], [-117.004, 34.49, 0.0], [-117.053, 34.53, 0.0], [-117.064, 34.539, 0.0], [-117.089, 34.578, 0.0], [-117.106, 34.604, 0.0], [-117.13, 34.623, 0.0], [-117.179, 34.664, 0.0]]",[240515],[0.3567],[0.4804],[],[],[],[240515],[0.3567],[0.4804]
434,7.35,0.000143,90.0,7.4,50.9,0.0,12.8,"[[-116.815, 34.325, 0.0], [-116.854, 34.372, 0.0], [-116.857, 34.376, 0.0], [-116.904, 34.411, 0.0], [-116.945, 34.441, 0.0], [-116.955, 34.449, 0.0], [-117.004, 34.49, 0.0], [-117.053, 34.53, 0.0], [-117.064, 34.539, 0.0], [-117.089, 34.578, 0.0], [-117.106, 34.604, 0.0], [-117.13, 34.623, 0.0], [-117.179, 34.664, 0.0], [-117.228, 34.704, 0.0], [-117.277, 34.745, 0.0], [-117.326, 34.785, 0.0], [-117.328, 34.787, 0.0], [-117.361, 34.834, 0.0], [-117.395, 34.883, 0.0], [-117.418, 34.916, 0.0], [-117.429, 34.933, 0.0], [-117.46, 34.984, 0.0], [-117.492, 35.035, 0.0], [-117.497, 35.043, 0.0], [-117.543, 35.073, 0.0]]",[240515],[0.3567],[0.2263],[],[],[],[240515],[0.3567],[0.2263]
438,6.65,0.000142,58.0,78.5,189.3,0.0,18.6,"[[-118.753, 34.439, 0.0], [-118.734, 34.439, 0.0], [-118.674, 34.45, 0.0], [-118.671, 34.45, 0.0], [-118.643, 34.449, 0.0], [-118.591, 34.432, 0.0]]",[164230],[0.1029],[0.113],[],[],[],[164230],[0.1029],[0.113]
439,7.15,1.29e-05,58.0,78.5,189.3,0.0,18.6,"[[-118.753, 34.439, 0.0], [-118.734, 34.439, 0.0], [-118.674, 34.45, 0.0], [-118.671, 34.45, 0.0], [-118.643, 34.449, 0.0], [-118.591, 34.432, 0.0]]",[164230],[0.1029],[0.113],[],[],[],[164230],[0.1029],[0.113]
577,6.55,0.000114,45.0,60.9,218.5,0.0,12.0,"[[-120.832, 35.301, 0.0], [-120.782, 35.3, 0.0], [-120.744, 35.288, 0.0], [-120.735, 35.285, 0.0], [-120.684, 35.246, 0.0], [-120.678, 35.238, 0.0], [-120.654, 35.209, 0.0]]",[51970],[0.1128],[0.4],[],[],[],[51970],[0.1128],[0.4]
579,7.05,4.64e-05,45.0,60.9,218.5,0.0,12.0,"[[-120.995, 35.362, 0.0], [-120.916, 35.325, 0.0], [-120.866, 35.302, 0.0], [-120.832, 35.301, 0.0], [-120.782, 35.3, 0.0], [-120.744, 35.288, 0.0], [-120.735, 35.285, 0.0], [-120.684, 35.246, 0.0], [-120.678, 35.238, 0.0], [-120.654, 35.209, 0.0], [-120.609, 35.194, 0.0], [-120.532, 35.17, 0.0], [-120.526, 35.165, 0.0], [-120.481, 35.126, 0.0]]",[51970],[0.1128],[0.4443],[],[],[],[51970],[0.1128],[0.4443]
655,6.15,0.0015,70.0,82.8,176.0,0.0,7.6,"[[-119.898, 34.43, 0.0], [-119.869, 34.425, 0.0], [-119.857, 34.426, 0.0], [-119.816, 34.432, 0.0], [-119.807, 34.434, 0.0], [-119.786, 34.434, 0.0], [-119.774, 34.436, 0.0], [-119.751, 34.441, 0.0], [-119.743, 34.442, 0.0], [-119.734, 34.444, 0.0]]",[128260],[0.1228],[0.2173],[],[],[],[128260],[0.1228],[0.2173]
656,6.15,0.0015,70.0,82.8,176.0,0.0,7.6,"[[-119.734, 34.444, 0.0], [-119.693, 34.45, 0.0], [-119.691, 34.45, 0.0], [-119.651, 34.446, 0.0], [-119.611, 34.441, 0.0], [-119.61, 34.441, 0.0], [-119.569, 34.437, 0.0]]",[127290],[0.0158],[0.0942],[],[],[],[127290],[0.0158],[0.0942]
659,6.65,0.000139,70.0,82.8,176.0,0.0,7.6,"[[-119.898, 34.43, 0.0], [-119.869, 34.425, 0.0], [-119.857, 34.426, 0.0], [-119.816, 34.432, 0.0], [-119.807, 34.434, 0.0], [-119.786, 34.434, 0.0], [-119.774, 34.436, 0.0], [-119.751, 34.441, 0.0], [-119.743, 34.442, 0.0], [-119.734, 34.444, 0.0], [-119.693, 34.45, 0.0], [-119.691, 34.45, 0.0], [-119.651, 34.446, 0.0], [-119.611, 34.441, 0.0], [-119.61, 34.441, 0.0], [-119.569, 34.437, 0.0], [-119.527, 34.433, 0.0], [-119.51, 34.431, 0.0], [-119.486, 34.429, 0.0], [-119.471, 34.427, 0.0], [-119.445, 34.421, 0.0], [-119.426, 34.416, 0.0], [-119.404, 34.418, 0.0], [-119.363, 34.422, 0.0], [-119.346, 34.424, 0.0], [-119.322, 34.426, 0.0], [-119.288, 34.43, 0.0], [-119.28, 34.432, 0.0], [-119.24, 34.441, 0.0], [-119.202, 34.45, 0.0], [-119.2, 34.451, 0.0]]","[127290, 128260]","[0.0158, 0.1228]","[0.257, 0.184]",[],[],[],"[127290, 128260]","[0.0158, 0.1228]","[0.257, 0.184]"
660,7.15,0.000185,70.0,82.8,176.0,0.0,7.6,"[[-119.898, 34.43, 0.0], [-119.869, 34.425, 0.0], [-119.857, 34.426, 0.0], [-119.816, 34.432, 0.0], [-119.807, 34.434, 0.0], [-119.786, 34.434, 0.0], [-119.774, 34.436, 0.0], [-119.751, 34.441, 0.0], [-119.743, 34.442, 0.0], [-119.734, 34.444, 0.0], [-119.693, 34.45, 0.0], [-119.691, 34.45, 0.0], [-119.651, 34.446, 0.0], [-119.611, 34.441, 0.0], [-119.61, 34.441, 0.0], [-119.569, 34.437, 0.0], [-119.527, 34.433, 0.0], [-119.51, 34.431, 0.0], [-119.486, 34.429, 0.0], [-119.471, 34.427, 0.0], [-119.445, 34.421, 0.0], [-119.426, 34.416, 0.0], [-119.404, 34.418, 0.0], [-119.363, 34.422, 0.0], [-119.346, 34.424, 0.0], [-119.322, 34.426, 0.0], [-119.288, 34.43, 0.0], [-119.28, 34.432, 0.0], [-119.24, 34.441, 0.0], [-119.202, 34.45, 0.0], [-119.2, 34.451, 0.0]]","[127290, 128260]","[0.0158, 0.1228]","[0.257, 0.184]",[],[],[],"[127290, 128260]","[0.0158, 0.1228]","[0.257, 0.184]"
668,6.55,0.000997,61.0,73.9,212.2,0.0,14.2,"[[-121.99, 37.263, 0.0], [-121.955, 37.243, 0.0], [-121.919, 37.227, 0.0], [-121.894, 37.216, 0.0], [-121.838, 37.207, 0.0]]",[],[],[],[48776],[0.2297],[0.1751],[48776],[0.2297],[0.1751]
669,7.05,0.000195,61.0,73.9,212.2,0.0,14.2,"[[-122.314, 37.477, 0.0], [-122.246, 37.437, 0.0], [-122.177, 37.397, 0.0], [-122.109, 37.357, 0.0], [-122.103, 37.353, 0.0], [-122.07, 37.313, 0.0], [-122.057, 37.305, 0.0], [-122.01, 37.275, 0.0], [-121.99, 37.263, 0.0], [-121.955, 37.243, 0.0], [-121.919, 37.227, 0.0], [-121.894, 37.216, 0.0], [-121.838, 37.207, 0.0]]",[],[],[],[48776],[0.2297],[0.2362],[48776],[0.2297],[0.2362]
796,6.75,0.000731,90.0,-9.5,176.7,0.0,15.5,"[[-116.72, 34.055, 0.0], [-116.701, 34.06, 0.0], [-116.68, 34.073, 0.0], [-116.645, 34.079, 0.0], [-116.638, 34.08, 0.0], [-116.591, 34.079, 0.0], [-116.563, 34.082, 0.0], [-116.559, 34.083, 0.0], [-116.487, 34.108, 0.0], [-116.479, 34.111, 0.0], [-116.459, 34.124, 0.0], [-116.415, 34.13, 0.0], [-116.412, 34.131, 0.0], [-116.33, 34.14, 0.0]]",[28395],[0.2313],[0.4364],[],[],[],[28395],[0.2313],[0.4364]
798,7.25,0.000623,90.0,-9.5,176.7,0.0,15.5,"[[-116.72, 34.055, 0.0], [-116.701, 34.06, 0.0], [-116.68, 34.073, 0.0], [-116.645, 34.079, 0.0], [-116.638, 34.08, 0.0], [-116.591, 34.079, 0.0], [-116.563, 34.082, 0.0], [-116.559, 34.083, 0.0], [-116.487, 34.108, 0.0], [-116.479, 34.111, 0.0], [-116.459, 34.124, 0.0], [-116.415, 34.13, 0.0], [-116.412, 34.131, 0.0], [-116.33, 34.14, 0.0], [-116.283, 34.145, 0.0], [-116.249, 34.147, 0.0], [-116.229, 34.148, 0.0], [-116.167, 34.144, 0.0], [-116.085, 34.138, 0.0], [-116.082, 34.138, 0.0], [-116.054, 34.13, 0.0], [-116.011, 34.126, 0.0], [-116.005, 34.124, 0.0], [-115.959, 34.108, 0.0], [-115.943, 34.106, 0.0], [-115.927, 34.104, 0.0]]",[28395],[0.2313],[0.2815],[],[],[],[28395],[0.2313],[0.2815]
873,6.15,0.000608,60.0,-82.3,265.1,0.0,9.0,"[[-121.642, 40.984, 0.0], [-121.63, 40.95, 0.0], [-121.617, 40.916, 0.0], [-121.615, 40.911, 0.0], [-121.621, 40.881, 0.0]]",[250834],[0.1532],[0.1516],[],[],[],[250834],[0.1532],[0.1516]
876,6.15,0.00235,90.0,-2.7,68.2,0.0,7.7,"[[-117.164, 32.667, 0.0], [-117.163, 32.701, 0.0], [-117.162, 32.71, 0.0], [-117.17, 32.729, 0.0], [-117.174, 32.733, 0.0], [-117.198, 32.76, 0.0], [-117.207, 32.792, 0.0], [-117.21, 32.801, 0.0], [-117.228, 32.821, 0.0], [-117.241, 32.835, 0.0]]",[137023],[0.0],[0.1707],[],[],[],[137023],[0.0],[0.1707]
879,6.65,0.000516,90.0,-2.7,68.2,0.0,7.7,"[[-117.146, 32.534, 0.0], [-117.148, 32.568, 0.0], [-117.15, 32.601, 0.0], [-117.151, 32.603, 0.0], [-117.161, 32.634, 0.0], [-117.165, 32.648, 0.0], [-117.164, 32.667, 0.0], [-117.163, 32.701, 0.0], [-117.162, 32.71, 0.0], [-117.17, 32.729, 0.0], [-117.174, 32.733, 0.0], [-117.198, 32.76, 0.0], [-117.207, 32.792, 0.0], [-117.21, 32.801, 0.0], [-117.228, 32.821, 0.0], [-117.241, 32.835, 0.0], [-117.254, 32.846, 0.0], [-117.264, 32.855, 0.0], [-117.272, 32.876, 0.0], [-117.284, 32.908, 0.0], [-117.296, 32.941, 0.0], [-117.308, 32.973, 0.0], [-117.32, 33.005, 0.0], [-117.325, 33.019, 0.0], [-117.339, 33.035, 0.0], [-117.362, 33.062, 0.0], [-117.386, 33.089, 0.0], [-117.399, 33.105, 0.0], [-117.407, 33.118, 0.0], [-117.41, 33.124, 0.0]]",[137023],[0.0],[0.4465],[],[],[],[137023],[0.0],[0.4465]
