EventID,EventName,Magnitude,AnnualRate,Rake,ParentID,Dip,UpperDepth,LowerDepth,DipDir,seg_id_crossed_primary,prob_crossing_for_seg_primary,norm_dist_for_seg_primary,seg_id_crossed_secondary,prob_crossing_for_seg_secondary,norm_dist_for_seg_secondary,seg_id_crossed,prob_crossing,norm_dist
109,109,6.45,0.00231,0.2,602,77.0,0.0,11.0,59.3,[217473],[0.0716],[0.4144],[],[],[],[217473],[0.0716],[0.4144]
418,418,7.05,0.00211,0.1,639,82.0,0.0,11.1,60.7,[147562],[0.2837],[0.4709],[],[],[],[147562],[0.2837],[0.4709]
427,427,6.35,0.00038,7.4,84,90.0,0.0,12.8,50.9,[240515],[0.3567],[0.4342],[],[],[],[240515],[0.3567],[0.4342]
432,432,6.85,0.000209,7.4,84,90.0,0.0,12.8,50.9,[240515],[0.3567],[0.4804],[],[],[],[240515],[0.3567],[0.4804]
434,434,7.35,0.000143,7.4,84,90.0,0.0,12.8,50.9,[240515],[0.3567],[0.2263],[],[],[],[240515],[0.3567],[0.2263]
438,438,6.65,0.000142,78.5,228,58.0,0.0,18.6,189.3,[164230],[0.1029],[0.113],[],[],[],[164230],[0.1029],[0.113]
439,439,7.15,1.29e-05,78.5,228,58.0,0.0,18.6,189.3,[164230],[0.1029],[0.113],[],[],[],[164230],[0.1029],[0.113]
577,577,6.55,0.000114,60.9,74,45.0,0.0,12.0,218.5,[51970],[0.1128],[0.4],[],[],[],[51970],[0.1128],[0.4]
579,579,7.05,4.64e-05,60.9,74,45.0,0.0,12.0,218.5,[51970],[0.1128],[0.4443],[],[],[],[51970],[0.1128],[0.4443]
655,655,6.15,0.0015,82.8,78,70.0,0.0,7.6,176.0,[128260],[0.1228],[0.2173],[],[],[],[128260],[0.1228],[0.2173]
656,656,6.15,0.0015,82.8,78,70.0,0.0,7.6,176.0,[127290],[0.0158],[0.0942],[],[],[],[127290],[0.0158],[0.0942]
659,659,6.65,0.000139,82.8,78,70.0,0.0,7.6,176.0,"[127290, 128260]","[0.0158, 0.1228]","[0.257, 0.184]",[],[],[],"[127290, 128260]","[0.0158, 0.1228]","[0.257, 0.184]"
660,660,7.15,0.000185,82.8,78,70.0,0.0,7.6,176.0,"[127290, 128260]","[0.0158, 0.1228]","[0.257, 0.184]",[],[],[],"[127290, 128260]","[0.0158, 0.1228]","[0.257, 0.184]"
668,668,6.55,0.000997,73.9,646,61.0,0.0,14.2,212.2,[],[],[],[48776],[0.2297],[0.1751],[48776],[0.2297],[0.1751]
669,669,7.05,0.000195,73.9,646,61.0,0.0,14.2,212.2,[],[],[],[48776],[0.2297],[0.2362],[48776],[0.2297],[0.2362]
796,796,6.75,0.000731,-9.5,93,90.0,0.0,15.5,176.7,[28395],[0.2313],[0.4364],[],[],[],[28395],[0.2313],[0.4364]
798,798,7.25,0.000623,-9.5,93,90.0,0.0,15.5,176.7,[28395],[0.2313],[0.2815],[],[],[],[28395],[0.2313],[0.2815]
873,873,6.15,0.000608,-82.3,689,60.0,0.0,9.0,265.1,[250834],[0.1532],[0.1516],[],[],[],[250834],[0.1532],[0.1516]
876,876,6.15,0.00235,-2.7,123,90.0,0.0,7.7,68.2,[137023],[0.0],[0.1707],[],[],[],[137023],[0.0],[0.1707]
879,879,6.65,0.000516,-2.7,123,90.0,0.0,7.7,68.2,[137023],[0.0],[0.4465],[],[],[],[137023],[0.0],[0.4465]
880,880,7.15,0.000229,-2.7,123,90.0,0.0,7.7,68.2,[137023],[0.0],[0.4465],[],[],[],[137023],[0.0],[0.4465]
893,893,7.15,0.00131,1.2,295,90.0,0.0,11.1,224.4,[196044],[0.1207],[0.0729],[190466],[0.1909],[0.2892],"[196044, 190466]","[0.1207, 0.1909]","[0.0729, 0.2892]"
1012,1012,6.55,0.000154,38.7,247,61.0,0.0,14.7,39.1,[164161],[0.2045],[0.2201],[],[],[],[164161],[0.2045],[0.2201]
1014,1014,7.05,5.69e-05,38.7,247,61.0,0.0,14.7,39.1,[164161],[0.2045],[0.4266],[],[],[],[164161],[0.2045],[0.4266]
1015,1015,7.55,9.45e-05,38.7,247,61.0,0.0,14.7,39.1,[164161],[0.2045],[0.4266],[],[],[],[164161],[0.2045],[0.4266]
1165,1165,6.25,5.93e-05,2.8,664,75.0,0.0,11.1,51.7,"[207622, 207613]","[0.1399, 0.0088]","[0.4924, 0.4968]",[],[],[],"[207622, 207613]","[0.1399, 0.0088]","[0.4924, 0.4968]"
1168,1168,6.75,3.08e-05,2.8,664,75.0,0.0,11.1,51.7,"[207622, 207613]","[0.1399, 0.0088]","[0.1738, 0.1772]",[],[],[],"[207622, 207613]","[0.1399, 0.0088]","[0.1738, 0.1772]"
1237,1237,6.55,2.32e-05,76.9,112,55.0,0.0,14.5,30.7,"[28881, 152363]","[0.4336, 0.3062]","[0.0475, 0.0687]",[],[],[],"[28881, 152363]","[0.4336, 0.3062]","[0.0475, 0.0687]"
1238,1238,7.05,4.12e-05,76.9,112,55.0,0.0,14.5,30.7,"[28881, 152363]","[0.4336, 0.3062]","[0.0475, 0.0687]",[],[],[],"[28881, 152363]","[0.4336, 0.3062]","[0.0475, 0.0687]"
