site_id,lon,lat,vs30,z1p0,z2p5,vs30_source
0,-116.5,34.1,351.9,0.0,1.35,0.0
1,-116.5,34.1,351.9,0.0,1.35,0.0
2,-118.4,34.25,293.5,0.35,2.25,0.0
3,-118.4,34.25,293.5,0.35,2.25,0.0
4,-122.0,37.25,444.0,0.593333313,0.938405762,0.0
5,-122.0,37.25,444.0,0.593333313,0.938405762,0.0
6,-120.75,35.3,733.4,0.0,0.0,0.0
7,-120.75,35.3,733.4,0.0,0.0,0.0
8,-119.7,34.45,386.6,0.0,4.8,0.0
9,-119.7,34.45,386.6,0.0,4.8,0.0
10,-119.7,34.45,386.6,0.0,4.8,0.0
11,-119.75,34.4,486.7539283,0.0,5.35,0.0
12,-119.75,34.4,486.7539283,0.0,5.35,0.0
13,-119.75,34.4,486.7539283,0.0,5.35,0.0
14,-117.2,32.8,386.6,0.0,0.0,0.0
15,-117.2,32.8,386.6,0.0,0.0,0.0
16,-117.2,32.8,386.6,0.0,0.0,0.0
17,-122.35,37.95,293.5,0.057872345,0.8725,0.0
18,-118.15,34.15,386.6,0.1,1.05,0.0
19,-118.15,34.15,386.6,0.1,1.05,0.0
20,-118.6,34.5,444.0,0.35,1.8,0.0
21,-118.6,34.5,444.0,0.35,1.8,0.0
22,-118.6,34.5,444.0,0.35,1.8,0.0
23,-118.6,34.45,351.9,0.35,3.5,0.0
24,-118.6,34.45,351.9,0.35,3.5,0.0
25,-116.1,33.7,351.9,0.55,0.55,0.0
26,-116.2,33.75,386.6,1.05,1.45,0.0
27,-121.7,37.2,571.6,0.0,1.75,0.0
28,-121.7,37.2,571.6,0.0,1.75,0.0
29,-121.7,37.2,571.6,0.0,1.75,0.0
30,-121.7,37.2,571.6,0.0,1.75,0.0
31,-121.5,37.05,502.5,0.0,1.85,0.0
32,-117.0,34.5,386.6,0.0,0.85,0.0
33,-117.0,34.5,386.6,0.0,0.85,0.0
34,-117.0,34.5,386.6,0.0,0.85,0.0
35,-121.6,41.0,518.9,518.9,518.9,0.0
