ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,OBJECTID,DIAMETER,OBJ_ID,SUB_SEGMENT_ID,L_ANCHOR_FULL_METER,SEGMENT_AZIMUTH_DEG,ASPECT_DEG_FROM_90M,LEVEL2_LIQ_BETA_CROSSING,x1,y1,x2,y2,qfault_crossed,psi_dip,theta_rake,rake_azimuth,crossing_lon,crossing_lat,beta_crossing,l_anchor,qfault_type,prob_crossing,event_ind,event_id,norm_dist
28395,-116.4993545,34.10051276,-116.500187,34.10009958,-116.49977075,34.10030617,0.089367,1757,152.4,28395,1,382.6,235.5,180.0,124.5,1100093.1029084614,3792435.725988319,1100019.0631979224,3792384.8854792533,834,90.0,-3.6,356.4,-116.49935450000001,34.10051276,120.9,382.6,primary,0.2313,791,796,0.4364
28395,-116.4993545,34.10051276,-116.500187,34.10009958,-116.49977075,34.10030617,0.089367,1757,152.4,28395,1,382.6,235.5,180.0,124.5,1100093.1029084614,3792435.725988319,1100019.0631979224,3792384.8854792533,834,90.0,-3.6,356.4,-116.49935450000001,34.10051276,120.9,382.6,primary,0.2313,793,798,0.2815
28881,-118.3979996,34.24396601,-118.3972845,34.24451147,-118.39764205,34.24423874,0.089439,1762,152.4,28881,1,44.8,44.8,196.0,151.20000000000002,923934.2462150999,3798799.6955405786,923997.4298649391,3798863.2359447638,1088,55.0,71.9,30.7,-118.3979996,34.24396601,14.2,44.8,primary,0.4336,1231,1237,0.0475
28881,-118.3979996,34.24396601,-118.3972845,34.24451147,-118.39764205,34.24423874,0.089439,1762,152.4,28881,1,44.8,44.8,196.0,151.20000000000002,923934.2462150999,3798799.6955405786,923997.4298649391,3798863.2359447638,1088,55.0,71.9,30.7,-118.3979996,34.24396601,14.2,44.8,primary,0.4336,1232,1238,0.0475
48776,-121.9772877,37.23627662,-121.9775061,37.23589722,-121.9773969,37.23608692,0.046407,2035,203.2,48776,1,23.2,204.1,123.0,98.9,590715.8818419355,4121573.764262354,590696.963504975,4121531.4634495922,2115,61.0,108.4,336.9,-121.97728770000002,37.23627662,132.8,23.2,secondary,0.2297,663,668,0.1751
48776,-121.9772877,37.23627662,-121.9775061,37.23589722,-121.9773969,37.23608692,0.046407,2035,203.2,48776,1,23.2,204.1,123.0,98.9,590715.8818419355,4121573.764262354,590696.963504975,4121531.4634495922,2115,61.0,108.4,336.9,-121.97728770000002,37.23627662,132.8,23.2,secondary,0.2297,664,669,0.2362
51970,-120.7453307,35.28923256,-120.7444842,35.28891921,-120.74490745,35.289075885,0.084362,2045,203.2,51970,1,3126.5,113.0,326.0,147.00000000000003,705033.4638986975,3907449.891742918,705111.2465439106,3907416.883260245,710,45.0,108.4,359.1,-120.74533069999998,35.28923256,113.9,3126.5,primary,0.1128,572,577,0.4
51970,-120.7453307,35.28923256,-120.7444842,35.28891921,-120.74490745,35.289075885,0.084362,2045,203.2,51970,1,3126.5,113.0,326.0,147.00000000000003,705033.4638986975,3907449.891742918,705111.2465439106,3907416.883260245,710,45.0,108.4,359.1,-120.74533069999998,35.28923256,113.9,3126.5,primary,0.1128,574,579,0.4443
127290,-119.7195419,34.44663363,-119.7186076,34.44663394,-119.71907475,34.446633785,0.085673,2560,406.4,127290,1,518.7,88.1,146.0,122.1,801408.2356253825,3816563.4413305824,801494.1119528575,3816566.2603794197,1443,70.0,71.1,46.8,-119.71954190000001,34.44663363,41.3,518.7,primary,0.0158,651,656,0.0942
127290,-119.7195419,34.44663363,-119.7186076,34.44663394,-119.71907475,34.446633785,0.085673,2560,406.4,127290,1,518.7,88.1,146.0,122.1,801408.2356253825,3816563.4413305824,801494.1119528575,3816566.2603794197,1443,70.0,71.1,46.8,-119.71954190000001,34.44663363,41.3,518.7,primary,0.0158,654,659,0.257
127290,-119.7195419,34.44663363,-119.7186076,34.44663394,-119.71907475,34.446633785,0.085673,2560,406.4,127290,1,518.7,88.1,146.0,122.1,801408.2356253825,3816563.4413305824,801494.1119528575,3816566.2603794197,1443,70.0,71.1,46.8,-119.71954190000001,34.44663363,41.3,518.7,primary,0.0158,655,660,0.257
128260,-119.7651095,34.42240158,-119.7647629,34.42263412,-119.7649362,34.42251785,0.040979,2561,406.4,128260,1,60.8,49.2,334.0,104.80000000000004,797305.7896215218,3813740.0462772585,797336.8321225133,3813766.8647873504,4571,70.0,71.1,46.8,-119.7651095,34.42240157999999,2.4,60.8,primary,0.1228,650,655,0.2173
128260,-119.7651095,34.42240158,-119.7647629,34.42263412,-119.7649362,34.42251785,0.040979,2561,406.4,128260,1,60.8,49.2,334.0,104.80000000000004,797305.7896215218,3813740.0462772585,797336.8321225133,3813766.8647873504,4571,70.0,71.1,46.8,-119.7651095,34.42240157999999,2.4,60.8,primary,0.1228,654,659,0.184
128260,-119.7651095,34.42240158,-119.7647629,34.42263412,-119.7649362,34.42251785,0.040979,2561,406.4,128260,1,60.8,49.2,334.0,104.80000000000004,797305.7896215218,3813740.0462772585,797336.8321225133,3813766.8647873504,4571,70.0,71.1,46.8,-119.7651095,34.42240157999999,2.4,60.8,primary,0.1228,655,660,0.184
137023,-117.2176666,32.80979157,-117.217659,32.80977249,-117.2176628,32.80978203,0.002237,2575,406.4,137023,1,1.1,158.3,289.0,130.7,1041699.3860016039,3645042.613774964,1041700.2152942038,3645040.533280247,2688,90.0,-161.8,158.2,-117.2176666,32.80979157,0.1,1.1,primary,0.0,870,876,0.1707
137023,-117.2176666,32.80979157,-117.217659,32.80977249,-117.2176628,32.80978203,0.002237,2575,406.4,137023,1,1.1,158.3,289.0,130.7,1041699.3860016039,3645042.613774964,1041700.2152942038,3645040.533280247,2688,90.0,-161.8,158.2,-117.2176666,32.80979157,0.1,1.1,primary,0.0,873,879,0.4465
