,5th_eps_pipe_comp,16th_eps_pipe_comp,50th_eps_pipe_comp,84th_eps_pipe_comp,95th_eps_pipe_comp,mean_eps_pipe_comp
segment_248,0.0,0.0,0.0,0.0,0.0,0.0
segment_249,0.0,0.0,0.15845,0.25,0.25,0.139975
segment_448,0.0,0.0,0.0,0.0,0.0,0.0
segment_894,0.0,0.0,0.0,0.0,0.0,0.0
segment_895,0.0,0.0,0.0,0.0,0.0,0.0
segment_896,0.0,0.0,6.2575e-06,5.34e-05,8.8125e-05,3.3025e-05
segment_897,0.0,0.0,0.0,0.0079575,0.049525,0.010465
segment_898,0.0,0.0,0.0,0.010045,0.089625,0.01475
segment_899,0.0,0.0,0.000205875,0.0030675,0.00469,0.002197
segment_900,0.0,0.0,0.0,5.775e-10,1.17825e-09,3.38e-10
segment_901,0.0,0.0,0.0,0.0,0.0,0.0
segment_902,0.0,0.0,0.0,0.0,0.0,0.0
segment_903,0.0,0.0,0.0,0.0,0.0,0.0
segment_904,0.0,0.0,0.0,0.0,0.0,0.0
segment_905,0.0,0.0,0.0,0.0,0.0,0.0
segment_906,0.0,0.0,0.0,0.0,0.0,0.0
segment_907,0.0,0.0,0.0,0.0,0.0,0.0
segment_908,0.0,0.0,2.97e-07,1.8805e-06,3.385e-06,1.1375e-06
segment_909,0.0,0.0,0.00012275,0.0042925,0.0068225,0.00332
segment_910,0.0,0.0,0.0,0.011585,0.100125,0.0159725
segment_911,0.0,0.0,0.0,0.0836,0.25,0.037775
segment_912,0.0,0.0,0.0,0.0975,0.25,0.0405
segment_913,0.0,0.0,0.0,0.0496,0.17955,0.0271
segment_914,0.0,0.0,0.000339,0.01152,0.0693,0.0120225
segment_915,0.0,0.0,0.00040475,0.0056225,0.0220775,0.0056725
segment_916,0.0,0.0,2.8725e-06,0.00271,0.0061975,0.0018185
segment_917,0.0,0.0,0.0,0.00052825,0.00086125,0.00025075
segment_918,0.0,0.0,0.0,0.0002695,0.000426,0.000120875
segment_919,0.0,0.0,0.0,0.000231525,0.0003435,9.7225e-05
segment_920,0.0,0.0,0.0,9.4575e-05,0.000143725,3.8875e-05
segment_921,0.0,0.0,0.0,7.1175e-05,0.000100075,2.7825e-05
segment_922,0.0,0.0,0.0,4.6625e-05,6.515e-05,1.7795e-05
segment_923,0.0,0.0,0.0,5.3525e-05,7.4575e-05,2.02875e-05
segment_924,0.0,0.0,0.0,5.96e-05,8.46e-05,2.33075e-05
segment_925,0.0,0.0,0.0,0.000109075,0.0001556,4.29e-05
segment_926,0.0,0.0,0.0,0.000206775,0.0003055,8.56e-05
segment_927,0.0,0.0,0.0,0.000268,0.000407,0.000115925
segment_928,0.0,0.0,0.0,0.0004035,0.0006505,0.0001894
segment_929,0.0,0.0,0.0,0.0026875,0.0060075,0.0017485
segment_930,0.0,0.0,0.000369,0.005385,0.0187325,0.004995
segment_931,0.0,0.0,0.00044325,0.006725,0.0313,0.0069375
segment_932,0.0,0.0,0.0,0.025925,0.121875,0.01923
segment_933,0.0,0.0,0.0,0.0719,0.2305,0.03375
segment_934,0.0,0.0,9.435e-05,0.095925,0.25,0.04045
segment_935,0.0,0.0,0.0,0.062375,0.221625,0.032075
segment_936,0.0,0.0,0.0,0.0080025,0.050025,0.010575
segment_937,0.0,0.0,5.6475e-06,4.8825e-05,8.055e-05,3.0225e-05
segment_938,0.0,0.0,0.0,0.0,0.0,0.0
segment_939,0.0,0.0,0.0,0.0,0.0,0.0
segment_940,0.0,0.0,0.0,0.0,0.0,0.0
segment_2251,0.0,0.0,0.0,0.0,0.0,0.0
segment_2252,0.0,0.0,0.0,0.0,0.0,0.0
segment_2253,0.0,0.0,0.0,0.0,0.0,0.0
segment_2254,0.0,0.0,0.0,0.0,0.0,0.0
segment_2281,0.0,0.0,0.0,0.0,0.0,0.0
segment_2282,0.0,0.0,0.0,0.0,0.0,0.0
segment_2283,0.0,0.0,0.0,0.0,0.0,0.0
segment_2284,0.0,0.0,0.0,0.0,0.0,0.0
segment_2415,0.0,0.0,0.0,0.0,0.0,0.0
segment_2416,0.0,0.0,0.0,0.0,0.0,0.0
segment_2417,0.0,0.0,0.0,0.0,0.0,0.0
segment_2797,0.0,0.0,0.0,0.0,0.0,0.0
segment_2798,0.0,0.0,0.0,0.0,0.0,0.0
segment_2799,0.0,0.0,0.0,0.0,0.0,0.0
segment_2800,0.0,0.0,0.0,0.0,0.0,0.0
segment_2801,0.0,0.0,0.0,0.0,0.0,0.0
segment_4333,0.0,0.0,0.0,0.0,0.0,0.0
segment_4334,0.0,0.0,0.0,0.0,0.0,0.0
segment_4335,0.0,0.0,0.0,0.0,0.0,0.0
segment_4336,0.0,0.0,6.4875e-05,0.00056575,0.00094325,0.000366
segment_4337,0.0,0.0,0.0,0.0075475,0.0394,0.009455
segment_4338,0.0,0.0,0.0,0.0566,0.210825,0.030575
segment_4339,0.0,0.0,0.0004445,0.124125,0.25,0.04765
segment_4340,0.0,0.0,0.001195,0.1365,0.25,0.0499
segment_4341,0.0,0.0,0.00143475,0.11855,0.25,0.045725
segment_4342,0.0,0.0,0.0,0.0771,0.230575,0.03515
segment_4343,0.0,0.0,0.0003125,0.04,0.1553,0.024
segment_4344,0.0,0.0,0.0,0.055575,0.1924,0.02935
segment_4345,0.0,0.0,0.0004385,0.11065,0.25,0.04375
segment_4346,0.0,0.0,0.00134925,0.1361,0.25,0.04955
segment_4347,0.0,0.0,0.00033475,0.131825,0.25,0.0492
segment_4348,0.0,0.0,0.0,0.073475,0.242725,0.035125
segment_4349,0.0,0.0,0.0,0.0125075,0.10365,0.0163975
segment_4350,0.0,0.0,0.00020185,0.007205,0.027275,0.008075
segment_4351,0.0,0.0,0.0001962,0.0025175,0.0039925,0.001784
segment_4352,0.0,0.0,1.16e-06,7.155e-06,1.26125e-05,4.3875e-06
segment_4353,0.0,0.0,0.0,0.0,0.0,0.0
segment_4354,0.0,0.0,0.0,0.0,0.0,0.0
segment_4355,0.0,0.0,0.0,0.0,0.0,0.0
segment_4356,0.0,0.0,0.0,0.0,0.0,0.0
segment_4357,0.0,0.0,0.0,0.0,0.0,0.0
segment_4358,0.0,0.0,0.0,0.0,0.0,0.0
segment_4359,0.0,0.0,0.0,0.0,0.0,0.0
segment_4700,0.0,0.0,0.0,0.0,0.0,0.0
segment_4701,0.0,0.0,0.0,0.0,0.0,0.0
segment_4702,0.0,0.0,0.0,0.0,0.0,0.0
segment_4703,0.0,0.0,0.0,0.0,0.0,0.0
segment_4704,0.0,0.0,0.0,0.0,0.0,0.0
segment_4705,0.0,0.0,0.0,0.0,0.0,0.0
segment_4706,0.0,0.0,0.0,0.0,0.0,0.0
segment_4707,0.0,0.0,0.000165475,0.0013555,0.0021885,0.00091725
segment_4708,0.0,0.0,0.0,0.0082475,0.0643,0.011965
segment_4709,0.0,0.0,0.0,0.076725,0.24855,0.03595
segment_4710,0.0,0.0,0.0,0.1115,0.25,0.0447
segment_4711,0.0,0.0,0.00161825,0.139175,0.25,0.050575
segment_4712,0.0,0.0,0.0,0.11585,0.25,0.04575
segment_4713,0.0,0.0,0.0,0.050275,0.198275,0.028825
segment_4714,0.0,0.0,0.00023475,0.007205,0.027475,0.00812
segment_4715,0.0,0.0,0.000164425,0.001394,0.00226575,0.000947
segment_4716,0.0,0.0,5.6175e-07,3.565e-06,6.3675e-06,2.156e-06
segment_4717,0.0,0.0,0.0,0.0,0.0,0.0
segment_4718,0.0,0.0,0.0,0.0,0.0,0.0
segment_4719,0.0,0.0,0.0,0.0,0.0,0.0
segment_4720,0.0,0.0,0.0,0.0,0.0,0.0
segment_4721,0.0,0.0,0.0,0.0,0.0,0.0
segment_4722,0.0,0.0,0.0,0.0,0.0,0.0
segment_4723,0.0,0.0,4.355e-10,2.87e-09,5.865e-09,1.68525e-09
segment_4724,0.0,0.0,0.0,0.0,0.0,0.0
segment_4725,0.0,0.0,0.0,0.0,0.0,0.0
segment_4726,0.0,0.0,0.0,0.0,0.0,0.0
segment_4727,0.0,0.0,0.0,0.0,0.0,0.0
segment_4728,0.0,0.0,0.0,0.0,0.0,0.0
segment_4729,0.0,0.0,0.0,0.0,0.0,0.0
segment_4730,0.0,0.0,7.9375e-07,5.05e-06,9.1875e-06,3.075e-06
segment_4731,0.0,0.0,0.000112075,0.00679,0.01635,0.0066
segment_4732,0.0,0.0,0.0,0.0222,0.133975,0.020135
segment_4733,0.0,0.0,0.0,0.099175,0.25,0.0418
segment_4734,0.0,0.0,0.0,0.059225,0.21595,0.031275
segment_4735,0.0,0.0,0.0,0.0098675,0.08665,0.0143975
segment_4736,0.0,0.0,0.0001742,0.00519,0.0087625,0.00428
segment_4737,0.0,0.0,1.135e-05,0.0001092,0.0001874,6.8375e-05
segment_4738,0.0,0.0,0.0,0.0,0.0,0.0
segment_4739,0.0,0.0,0.0,0.0,0.0,0.0
segment_4740,0.0,0.0,0.0,0.0,0.0,0.0
segment_4741,0.0,0.0,0.0,0.0,0.0,0.0
segment_4742,0.0,0.0,0.0,0.0,0.0,0.0
segment_8184,0.0,0.0,0.0,0.0,0.0,0.0
segment_8185,0.0,0.0,0.0,0.0,0.0,0.0
segment_8186,0.0,0.0,0.0,0.0,0.0,0.0
segment_8187,0.0,0.0,0.0,0.0,0.0,0.0
segment_8188,0.0,0.0,0.0,0.0,0.0,0.0
segment_8189,0.0,0.0,0.0,0.0,0.0,0.0
segment_8190,0.0,0.0,0.0,0.0,0.0,0.0
segment_8191,0.0,0.0,5.67e-07,3.645e-06,6.6025e-06,2.21375e-06
segment_8192,0.0,0.0,0.000291,0.007265,0.0301,0.0084275
segment_8193,0.0,0.0,0.0,0.0459,0.189025,0.02755
segment_8194,0.0,0.0,0.00041325,0.129425,0.25,0.0487
segment_8195,0.0,0.0,0.0013845,0.133375,0.25,0.048875
segment_8196,0.0,0.0,3.48e-05,0.083925,0.25,0.03705
segment_8197,0.0,0.0,0.00031175,0.0272,0.12245,0.0191225
segment_8198,0.0,0.0,0.0006905,0.00885,0.051775,0.009535
