ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,OBJECTID,DIAMETER,OBJ_ID,SUB_SEGMENT_ID,L_ANCHOR_FULL_METER,SEGMENT_AZIMUTH_DEG,ASPECT_DEG_FROM_90M,LEVEL2_LIQ_BETA_CROSSING,section_crossed,which_half,l_anchor,crossing_lon,crossing_lat,prob_crossing,beta_crossing,psi_dip,theta_rake
248,-122.1122894,38.21528244,-122.1121897,38.21551832,-122.11223955,38.21540038,0.027637,797,50.8,248,1,13.8,17.9,66.0,131.9,,,13.8,-122.11223955,38.21540038,0.25,135,15,45
249,-122.1121897,38.21551832,-122.1119803,38.21592671,-122.112085,38.215722515,0.048957,797,50.8,249,1,24.4,21.5,104.0,97.5,,,24.4,-122.112085,38.21572251499999,0.25,135,15,45
448,-119.0776989,35.2567212,-119.077882,35.25688141,-119.07779045,35.256801305,0.024367,885,50.8,448,1,12.2,314.6,186.0,128.60000000000005,,,12.2,-119.07779045000001,35.25680130500001,0.25,135,15,45
894,-122.0068054,38.61791229,-122.0057614,38.61811686,-122.0062834,38.618014575,0.093511,899,76.2,894,1,46.8,75.4,349.0,93.6,,,46.8,-122.0062834,38.618014575,0.25,135,15,45
895,-122.0057614,38.61811686,-122.0047174,38.61832143,-122.0052394,38.618219145,0.093511,899,76.2,895,1,140.5,75.4,358.0,102.6,,,140.5,-122.0052394,38.618219145000005,0.25,135,15,45
896,-122.0047174,38.61832143,-122.0036734,38.618526,-122.0041954,38.618423715,0.09351,899,76.2,896,1,234.2,75.4,16.0,120.6,,,234.2,-122.00419540000001,38.61842371499999,0.25,135,15,45
897,-122.0036734,38.618526,-122.0026295,38.61873056,-122.00315145,38.61862828,0.093501,899,76.2,897,1,327.9,75.4,49.0,153.6,,,327.9,-122.00315145,38.61862827999999,0.25,135,15,45
898,-122.0026295,38.61873056,-122.0015855,38.61893513,-122.0021075,38.618832845,0.09351,899,76.2,898,1,354.7,75.4,49.0,153.6,,,354.7,-122.0021075,38.61883284500001,0.25,135,15,45
899,-122.0015855,38.61893513,-122.0007494,38.61909558,-122.00116745,38.619015355,0.074798,899,76.2,899,1,270.4,75.6,28.0,132.4,,,270.4,-122.00116745,38.619015355,0.25,135,15,45
900,-122.0007494,38.61909558,-121.9999134,38.61925603,-122.0003314,38.619175805,0.074789,899,76.2,900,1,195.5,75.6,2.0,106.4,,,195.5,-122.0003314,38.619175805000005,0.25,135,15,45
901,-121.9999134,38.61925603,-121.9996748,38.61937665,-121.9997941,38.61931634,0.02469,899,76.2,901,1,145.6,56.6,2.0,125.4,,,145.6,-121.99979410000002,38.61931634,0.25,135,15,45
902,-121.9996748,38.61937665,-121.9993996,38.61963348,-121.9995372,38.619505065,0.037245,899,76.2,902,1,114.7,39.4,44.0,175.40000000000006,,,114.7,-121.99953720000002,38.619505065,0.25,135,15,45
903,-121.9993996,38.61963348,-121.9992378,38.61997686,-121.9993187,38.61980517,0.040687,899,76.2,903,1,75.7,19.7,332.0,132.3,,,75.7,-121.9993187,38.61980516999999,0.25,135,15,45
904,-121.9992378,38.61997686,-121.9990616,38.6204567,-121.9991497,38.62021678,0.055508,899,76.2,904,1,27.7,15.4,332.0,136.6,,,27.7,-121.9991497,38.62021677999999,0.25,135,15,45
905,-121.9990616,38.6204567,-121.998848,38.62056732,-121.9989548,38.62051201,0.022263,899,76.2,905,1,11.1,55.9,230.0,174.09999999999997,,,11.1,-121.9989548,38.62051200999999,0.25,135,15,45
906,-121.998848,38.62056732,-121.9980154,38.62057721,-121.9984317,38.620572265,0.072341,899,76.2,906,1,58.5,88.5,162.0,106.5,,,58.5,-121.99843170000001,38.620572265,0.25,135,15,45
