,5th_eps_pipe_comp,16th_eps_pipe_comp,50th_eps_pipe_comp,84th_eps_pipe_comp,95th_eps_pipe_comp,mean_eps_pipe_comp
segment_248,0.0,0.0,0.0,0.0,0.0,0.0
segment_249,0.0,0.0,0.0047775,0.037225,0.06975,0.0156625
segment_448,0.0,0.0,0.0,0.0,0.0,0.0
segment_894,0.0,0.0,0.0,0.0,0.0,0.0
segment_895,0.0,0.0,0.0,0.0,0.0,0.0
segment_896,0.0,0.0,2.5975e-06,2.331e-05,3.71e-05,1.3255e-05
segment_897,0.0,0.0,0.0,0.0005875,0.0037,0.00082725
segment_898,0.0,0.0,0.0,0.00067025,0.00668,0.00123625
segment_899,0.0,0.0,2.3285e-05,0.000239,0.00037675,0.000153575
segment_900,0.0,0.0,0.0,0.0,1.19825e-10,0.0
segment_901,0.0,0.0,0.0,0.0,0.0,0.0
segment_902,0.0,0.0,0.0,0.0,0.0,0.0
segment_903,0.0,0.0,0.0,0.0,0.0,0.0
segment_904,0.0,0.0,0.0,0.0,0.0,0.0
segment_905,0.0,0.0,0.0,0.0,0.0,0.0
segment_906,0.0,0.0,0.0,0.0,0.0,0.0
segment_907,0.0,0.0,0.0,0.0,0.0,0.0
segment_908,0.0,0.0,2.555e-08,1.57125e-07,2.79e-07,8.5525e-08
segment_909,0.0,0.0,2.6175e-05,0.0003285,0.000513,0.000225525
segment_910,0.0,0.0,0.0,0.0010245,0.0092025,0.00162975
segment_911,0.0,0.0,0.0,0.0056975,0.02016,0.0035825
segment_912,0.0,0.0,0.0,0.006005,0.0210825,0.00366
segment_913,0.0,0.0,0.0,0.00294,0.0140475,0.00231325
segment_914,0.0,0.0,8.2975e-06,0.00065675,0.0058725,0.00097625
segment_915,0.0,0.0,1.354e-05,0.00034375,0.0008745,0.00023795
segment_916,0.0,0.0,5.5625e-06,0.0002172,0.00046525,0.000136525
segment_917,0.0,0.0,0.0,3.8675e-05,6.635e-05,1.89375e-05
segment_918,0.0,0.0,0.0,2.78e-05,4.5975e-05,1.29575e-05
segment_919,0.0,0.0,0.0,1.58725e-05,2.4725e-05,7.0225e-06
segment_920,0.0,0.0,0.0,8.93e-06,1.3355e-05,3.74e-06
segment_921,0.0,0.0,0.0,5.5475e-06,8.2325e-06,2.2975e-06
segment_922,0.0,0.0,0.0,3.92e-06,5.615e-06,1.567e-06
segment_923,0.0,0.0,0.0,3.62e-06,5.295e-06,1.47125e-06
segment_924,0.0,0.0,0.0,7.535e-06,1.0965e-05,3.09e-06
segment_925,0.0,0.0,0.0,8.1e-06,1.22375e-05,3.435e-06
segment_926,0.0,0.0,0.0,1.55525e-05,2.40775e-05,6.79e-06
segment_927,0.0,0.0,0.0,2.074e-05,3.295e-05,9.355e-06
segment_928,0.0,0.0,0.0,3.5325e-05,5.89e-05,1.69175e-05
segment_929,0.0,0.0,6.125e-06,0.000229475,0.00049625,0.0001439
segment_930,0.0,0.0,1.36225e-05,0.0003405,0.0008285,0.000231975
segment_931,0.0,0.0,3.445e-05,0.00058225,0.004055,0.00075175
segment_932,0.0,0.0,0.0,0.0016745,0.01053,0.00169225
segment_933,0.0,0.0,0.0,0.004625,0.0178175,0.003055
segment_934,0.0,0.0,0.0,0.006245,0.0213775,0.0037475
segment_935,0.0,0.0,0.0,0.0033125,0.0149925,0.002635
segment_936,0.0,0.0,0.0,0.00057325,0.00253,0.00067225
segment_937,0.0,0.0,2.7575e-06,2.5025e-05,3.9625e-05,1.425e-05
segment_938,0.0,0.0,0.0,0.0,0.0,0.0
segment_939,0.0,0.0,0.0,0.0,0.0,0.0
segment_940,0.0,0.0,0.0,0.0,0.0,0.0
segment_2251,0.0,0.0,0.0,0.0,0.0,0.0
segment_2252,0.0,0.0,0.0,0.0,0.0,0.0
segment_2253,0.0,0.0,0.0,0.0,0.0,0.0
segment_2254,0.0,0.0,0.0,0.0,0.0,0.0
segment_2281,0.0,0.0,0.0,0.0,0.0,0.0
segment_2282,0.0,0.0,0.0,0.0,0.0,0.0
segment_2283,0.0,0.0,0.0,0.0,0.0,0.0
segment_2284,0.0,0.0,0.0,0.0,0.0,0.0
segment_2415,0.0,0.0,0.0,0.0,0.0,0.0
segment_2416,0.0,0.0,0.0,0.0,0.0,0.0
segment_2417,0.0,0.0,0.0,0.0,0.0,0.0
segment_2797,0.0,0.0,0.0,0.0,0.0,0.0
segment_2798,0.0,0.0,0.0,0.0,0.0,0.0
segment_2799,0.0,0.0,0.0,0.0,0.0,0.0
segment_2800,0.0,0.0,0.0,0.0,0.0,0.0
segment_2801,0.0,0.0,0.0,0.0,0.0,0.0
segment_4333,0.0,0.0,0.0,0.0,0.0,0.0
segment_4334,0.0,0.0,0.0,0.0,0.0,0.0
segment_4335,0.0,0.0,0.0,0.0,0.0,0.0
segment_4336,0.0,0.0,2.7925e-06,3.6125e-05,5.9675e-05,2.1055e-05
segment_4337,0.0,0.0,0.0,0.0005275,0.002695,0.00065975
segment_4338,0.0,0.0,0.0,0.003345,0.014345,0.00252
segment_4339,0.0,0.0,0.0,0.006735,0.021375,0.00385
segment_4340,0.0,0.0,0.000233925,0.0091175,0.0253,0.00464
segment_4341,0.0,0.0,0.0001053,0.00735,0.022485,0.0039975
segment_4342,0.0,0.0,0.0,0.004455,0.0165225,0.002795
segment_4343,0.0,0.0,0.0,0.001765,0.0098225,0.00156025
segment_4344,0.0,0.0,0.0,0.003435,0.0142,0.002346
segment_4345,0.0,0.0,5.2025e-05,0.0064625,0.020925,0.00365
segment_4346,0.0,0.0,0.000177975,0.00852,0.02413,0.0043925
segment_4347,0.0,0.0,8.72e-05,0.00817,0.02412,0.0043475
segment_4348,0.0,0.0,0.0,0.004295,0.016415,0.0029
segment_4349,0.0,0.0,0.0,0.00068825,0.0069275,0.001245
segment_4350,0.0,0.0,1.5795e-06,0.0004995,0.001867,0.00054875
segment_4351,0.0,0.0,1.515e-05,0.000177175,0.0002895,0.00011195
segment_4352,0.0,0.0,0.0,3.8725e-10,7.3525e-10,1.978e-10
segment_4353,0.0,0.0,0.0,0.0,0.0,0.0
segment_4354,0.0,0.0,0.0,0.0,0.0,0.0
segment_4355,0.0,0.0,0.0,0.0,0.0,0.0
segment_4356,0.0,0.0,0.0,0.0,0.0,0.0
segment_4357,0.0,0.0,0.0,0.0,0.0,0.0
segment_4358,0.0,0.0,0.0,0.0,0.0,0.0
segment_4359,0.0,0.0,0.0,0.0,0.0,0.0
segment_4700,0.0,0.0,0.0,0.0,0.0,0.0
segment_4701,0.0,0.0,0.0,0.0,0.0,0.0
segment_4702,0.0,0.0,0.0,0.0,0.0,0.0
segment_4703,0.0,0.0,0.0,0.0,0.0,0.0
segment_4704,0.0,0.0,0.0,0.0,0.0,0.0
segment_4705,0.0,0.0,0.0,0.0,0.0,0.0
segment_4706,0.0,0.0,0.0,0.0,0.0,0.0
segment_4707,0.0,0.0,9.495e-06,9.9875e-05,0.000162075,6.045e-05
segment_4708,0.0,0.0,0.0,0.00056675,0.004745,0.00094675
segment_4709,0.0,0.0,0.0,0.0047875,0.0178875,0.0031575
segment_4710,0.0,0.0,0.0,0.007025,0.02247,0.004045
segment_4711,0.0,0.0,0.000201025,0.009315,0.0263,0.004785
segment_4712,0.0,0.0,0.0001071,0.00828,0.0248175,0.00451
segment_4713,0.0,0.0,0.0,0.00223575,0.0121625,0.002136
segment_4714,0.0,0.0,8.5275e-07,0.00052975,0.00196575,0.00057875
segment_4715,0.0,0.0,9.2575e-06,9.7725e-05,0.000157475,5.905e-05
segment_4716,0.0,0.0,0.0,3.895e-10,7.375e-10,2.01125e-10
segment_4717,0.0,0.0,0.0,0.0,0.0,0.0
segment_4718,0.0,0.0,0.0,0.0,0.0,0.0
segment_4719,0.0,0.0,0.0,0.0,0.0,0.0
segment_4720,0.0,0.0,0.0,0.0,0.0,0.0
segment_4721,0.0,0.0,0.0,0.0,0.0,0.0
segment_4722,0.0,0.0,0.0,0.0,0.0,0.0
segment_4723,0.0,0.0,0.0,1.833e-10,3.49e-10,0.0
segment_4724,0.0,0.0,0.0,0.0,0.0,0.0
segment_4725,0.0,0.0,0.0,0.0,0.0,0.0
segment_4726,0.0,0.0,0.0,0.0,0.0,0.0
segment_4727,0.0,0.0,0.0,0.0,0.0,0.0
segment_4728,0.0,0.0,0.0,0.0,0.0,0.0
segment_4729,0.0,0.0,0.0,0.0,0.0,0.0
segment_4730,0.0,0.0,6.0675e-08,4e-07,7.1775e-07,2.17e-07
segment_4731,0.0,0.0,3.2925e-06,0.00049325,0.00141975,0.00045725
segment_4732,0.0,0.0,0.0,0.00185675,0.011235,0.00197275
segment_4733,0.0,0.0,0.0,0.0055425,0.01941,0.003465
segment_4734,0.0,0.0,0.0,0.00281,0.013515,0.0023635
segment_4735,0.0,0.0,0.0,0.0006375,0.00632,0.00116875
segment_4736,0.0,0.0,2.46725e-05,0.000386,0.000701,0.00028975
segment_4737,0.0,0.0,5.6875e-08,3.7175e-07,6.63e-07,2.0155e-07
segment_4738,0.0,0.0,0.0,0.0,0.0,0.0
segment_4739,0.0,0.0,0.0,0.0,0.0,0.0
segment_4740,0.0,0.0,0.0,0.0,0.0,0.0
segment_4741,0.0,0.0,0.0,0.0,0.0,0.0
segment_4742,0.0,0.0,0.0,0.0,0.0,0.0
segment_8184,0.0,0.0,0.0,0.0,0.0,0.0
