ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,OBJECTID,DIAMETER,OBJ_ID,SUB_SEGMENT_ID,L_ANCHOR_FULL_METER,SEGMENT_AZIMUTH_DEG,ASPECT_DEG_FROM_90M,LEVEL2_LIQ_BETA_CROSSING,n_crossings_with_segment,def_poly_index_crossed,crossing_algo_index,section_crossed,which_half,l_anchor,crossing_lon,crossing_lat,prob_crossing,beta_crossing,psi_dip,theta_rake
49061,-121.9595996,36.98069034,-121.9588225,36.980204,-121.95921105,36.98044717,0.087689,2037,203.2,49061,1,43.9,127.3,30.0,97.3,2,62734,14,scarp,upper,11.6,-121.95892496041537,36.98026812443227,1,83.4,15,45
49061,-121.9595996,36.98069034,-121.9588225,36.980204,-121.95921105,36.98044717,0.087689,2037,203.2,49061,1,43.9,127.3,30.0,97.3,2,62734,14,scarp,upper,12.5,-121.95948865997187,36.980620910015524,1,96.6,15,45
79280,-118.5173676,34.30254954,-118.5172902,34.30344044,-118.5173289,34.30299499,0.099318,2228,254.0,79280,1,49.6,1.6,127.0,125.4,1,65946,27,body,lower,7.0,-118.51730112970553,34.30331463732884,1,105.3,15,45
79289,-118.5222424,34.30548308,-118.5228498,34.30580184,-118.5225461,34.30564246,0.066098,2228,254.0,79289,1,553.9,299.8,148.0,151.79999999999998,1,65945,25,body,upper,7.0,-118.52272142873969,34.305734471940006,1,168.5,15,45
79289,-118.5222424,34.30548308,-118.5228498,34.30580184,-118.5225461,34.30564246,0.066098,2228,254.0,79289,1,553.9,299.8,148.0,151.79999999999998,1,65946,28,scarp,upper,14.0,-118.52272142873969,34.305734471940006,1,12.9,15,45
79293,-118.5244704,34.30661104,-118.5253796,34.30699335,-118.524925,34.306802195,0.093708,2228,254.0,79293,1,404.1,294.3,111.0,176.70000000000007,1,65945,26,scarp,upper,19.0,-118.52483785405485,34.30676555214216,1,6.0,15,45
79294,-118.5253796,34.30699335,-118.526219,34.30746269,-118.5257993,34.30722802,0.093101,2228,254.0,79294,1,310.5,301.4,111.0,169.60000000000002,1,65938,23,body,upper,25.6,-118.52575849496372,34.30720520567627,1,152.4,15,45
79299,-118.5277285,34.30833195,-118.5284403,34.30855279,-118.5280844,34.30844237,0.069838,2228,254.0,79299,1,59.2,288.0,170.0,118.0,1,65938,24,scarp,upper,14.2,-118.52801610603089,34.3084211820279,1,14.2,15,45
79304,-118.5305862,34.30898666,-118.5314169,34.30955276,-118.53100155,34.30926971,0.098913,2228,254.0,79304,1,238.1,306.9,167.0,139.89999999999998,1,65936,21,body,upper,2.9,-118.53061076154016,34.30900339821826,1,140.2,15,45
79306,-118.5322475,34.31011885,-118.5329819,34.31061935,-118.5326147,34.3103691,0.087447,2228,254.0,79306,1,430.6,306.9,152.0,154.9,1,65936,22,scarp,upper,27.5,-118.53270832458665,34.31043290712182,1,39.8,15,45
