,5th_eps_pipe_comp,16th_eps_pipe_comp,50th_eps_pipe_comp,84th_eps_pipe_comp,95th_eps_pipe_comp,mean_eps_pipe_comp
segment_43,0.0,0.0,0.00035025,0.0047675,0.0080875,0.00413
segment_48,0.0,0.0,0.000139925,0.00496,0.0096525,0.004465
segment_298,0.0,0.0,0.00053275,0.0073325,0.012405,0.0061525
segment_335,0.0,0.0,0.0,0.0,0.0,0.0
segment_520,0.0,0.0,0.0,0.008185,0.049875,0.010265
segment_665,0.0,0.0,0.0,0.0,0.0,0.0
segment_802,0.0,0.0,0.0006205,0.003705,0.00495,0.00228575
segment_806,0.0,0.0,0.000682,0.0039725,0.00542,0.00252
segment_1075,0.0,0.0,0.0,0.0054525,0.03335,0.00725
segment_1511,0.0,0.0,0.0,0.0,0.0,0.0
segment_1914,0.0,0.0,0.0,0.0,0.0,0.0
segment_2244,0.0,0.0,9.7725e-09,5.755e-08,1.0035e-07,2.87e-08
segment_2321,0.0,0.0,0.00029375,0.0076075,0.02675,0.0078275
segment_3002,0.0,0.0,1.82775e-06,9.2925e-06,1.4535e-05,4.74e-06
segment_3129,0.0,0.0,0.0,0.005665,0.037575,0.007855
segment_3218,0.0,0.0,0.00034225,0.00486,0.0180675,0.00535
segment_3337,0.0,0.0,0.00036925,0.004745,0.0149825,0.004915
segment_3367,0.0,0.0,0.0,0.0053725,0.030575,0.006975
segment_3503,0.0,0.0,1.08725e-08,6.39e-08,1.10025e-07,3.1825e-08
segment_3561,0.0,0.0,0.0,0.008715,0.063375,0.011875
segment_3991,0.0,0.0,9.76e-05,0.00054725,0.00075775,0.00029875
segment_4029,0.0,0.0,0.0,0.0,0.0,0.0
segment_4315,0.0,0.0,0.0,0.01088,0.08995,0.0146525
segment_5101,0.0,0.0,1.741e-07,1.0885e-06,1.817e-06,5.455e-07
segment_5159,0.0,0.0,0.0,0.0,0.0,0.0
segment_5246,0.0,0.0,0.0,0.0,0.0,0.0
segment_5571,0.0,0.0,0.0,0.0,0.0,0.0
segment_5926,0.0,0.0,0.00051125,0.0040975,0.0121925,0.00367
segment_5952,0.0,0.0,0.00048725,0.004,0.0101975,0.0034125
segment_6177,0.0,0.0,0.0,0.0,0.0,0.0
segment_6594,0.0,0.0,0.0,0.013715,0.1052,0.01644
