ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,OBJECTID,DIAMETER,OBJ_ID,SUB_SEGMENT_ID,L_ANCHOR_FULL_METER,SEGMENT_AZIMUTH_DEG,ASPECT_DEG_FROM_90M,LEVEL2_LIQ_BETA_CROSSING
43,-120.1445048,36.53147599,-120.1455538,36.531476,-120.1450293,36.531475995,0.093727,782,25.4,43,1,961.8,268.3,25.0,116.70000000000002
48,-120.1497099,36.5314837,-120.1507191,36.53149136,-120.1502145,36.53148753,0.090174,782,25.4,48,1,497.3,268.8,6.0,97.19999999999999
298,-121.5497059,37.7252078,-121.5496993,37.72443481,-121.5497026,37.724821305,0.085955,814,50.8,298,1,214.4,178.7,2.0,176.70000000000007
335,-121.5846252,37.1095314,-121.5847778,37.109478,-121.5847015,37.1095047,0.014777,824,50.8,335,1,7.4,245.5,211.0,145.5
520,-122.2499054,39.27613241,-122.2489008,39.27615284,-122.2494031,39.276142625,0.086502,891,76.2,520,1,1985.2,88.0,134.0,134.00000000000003
665,-121.6229172,39.11266327,-121.6229095,39.11221826,-121.62291335,39.112440765,0.049487,895,76.2,665,1,24.7,178.4,286.0,107.60000000000002
802,-121.6346115,39.03694333,-121.6345818,39.03638167,-121.63459665,39.0366625,0.062506,895,76.2,802,1,93.6,176.8,175.0,178.20000000000007
806,-121.6349589,39.03515734,-121.6349385,39.03448704,-121.6349487,39.03482219,0.074555,895,76.2,806,1,111.6,177.8,106.0,108.19999999999999
1075,-124.195109,40.73455048,-124.1957906,40.73381805,-124.1954498,40.734184265,0.099655,913,76.2,1075,1,304.7,216.1,270.0,126.1
1511,-122.220973,39.75472916,-122.2209815,39.75451435,-122.22097725,39.754621755,0.023897,918,76.2,1511,1,11.9,181.3,132.0,130.7
1914,-121.9167252,39.14710999,-121.9167175,39.14715195,-121.91672135,39.14713097,0.004713,933,76.2,1914,1,2.4,7.4,78.0,109.4
2244,-121.9359783,39.14645639,-121.9351379,39.14626395,-121.9355581,39.14636017,0.075565,933,76.2,2244,1,45.7,105.7,47.0,121.30000000000001
2321,-122.7262745,38.32910427,-122.7257887,38.32893592,-122.7260316,38.329020095,0.046326,960,76.2,2321,1,216.3,113.6,11.0,102.6
3002,-119.9461513,36.84520626,-119.9469834,36.8446998,-119.94656735,36.84495303,0.093027,1009,76.2,3002,1,46.6,231.0,225.0,174.00000000000009
3129,-120.0416705,36.8296404,-120.0427306,36.8296501,-120.04220055,36.82964525,0.094358,1009,76.2,3129,1,2384.0,268.9,183.0,94.10000000000002
3218,-120.124294,36.81299755,-120.1253895,36.81281964,-120.12484175,36.812908595,0.09951,1009,76.2,3218,1,4797.8,256.9,176.0,99.10000000000005
3337,-120.2450678,36.79299998,-120.2460538,36.79300919,-120.2455608,36.793004585,0.087805,1009,76.2,3337,1,5277.6,269.0,286.0,163.0
3367,-120.2748131,36.79315917,-120.2758338,36.79315246,-120.27532345,36.793155815,0.090892,1009,76.2,3367,1,2620.1,267.9,-1.0,135.0
3503,-120.3989639,36.77436447,-120.3996246,36.77493758,-120.39929425,36.774651025,0.086741,1009,76.2,3503,1,43.4,315.6,36.0,99.6
3561,-120.4345274,36.80477539,-120.4351006,36.80527259,-120.434814,36.80502399,0.075239,1009,76.2,3561,1,684.0,315.6,35.0,100.60000000000001
3991,-118.8255604,35.33372963,-118.8255606,35.33372882,-118.8255605,35.333729225,9.2e-05,1031,76.2,3991,1,74.2,189.0,261.0,108.0
4029,-118.8204964,35.31080599,-118.820485,35.31031987,-118.8204907,35.31056293,0.054064,1031,76.2,4029,1,27.0,176.5,240.0,116.5
4315,-121.5744324,38.98105851,-121.5744324,38.98035577,-121.5744324,38.98070714,0.078141,1034,101.6,4315,1,790.0,179.1,125.0,125.89999999999998
5101,-121.3931173,38.61851693,-121.3932001,38.61830239,-121.3931587,38.61840966,0.024917,1059,101.6,5101,1,40.3,195.8,209.0,166.8
5159,-121.4417041,38.63247933,-121.4417167,38.63295956,-121.4417104,38.632719445,0.05341,1061,101.6,5159,1,26.7,357.8,23.0,154.80000000000004
5246,-121.6975508,40.87259545,-121.6975323,40.87298912,-121.69754155,40.872792285,0.043802,1063,101.6,5246,1,21.9,1.2,230.0,131.20000000000005
5571,-124.1751469,40.62870137,-124.1751602,40.62875068,-124.17515355,40.628726025,0.005597,1067,101.6,5571,1,2.8,349.2,144.0,154.8
5926,-124.1534183,40.63252208,-124.1528735,40.63271282,-124.1531459,40.63261745,0.05063,1074,101.6,5926,1,80.6,66.1,94.0,152.1
5952,-124.1421028,40.62902525,-124.1418178,40.62872103,-124.1419603,40.62887314,0.041506,1075,101.6,5952,1,100.1,145.2,228.0,97.19999999999999
6177,-121.4758696,41.06226401,-121.4752023,41.06220782,-121.47553595,41.062235915,0.056295,1078,101.6,6177,1,5191.3,95.3,67.0,151.70000000000002
