,5th_eps_pipe_comp,16th_eps_pipe_comp,50th_eps_pipe_comp,84th_eps_pipe_comp,95th_eps_pipe_comp,mean_eps_pipe_comp
segment_43,0.0,0.0,8.055e-07,1.79025e-05,3.1725e-05,9.0575e-06
segment_48,0.0,0.0,0.0,0.002235,0.0218575,0.003575
segment_298,0.0,0.0,2.1705e-08,8.23e-08,1.3375e-07,4.7825e-08
segment_335,0.0,0.0,0.0,0.0,0.0,0.0
segment_520,0.0,0.0,0.0,3.47e-07,4.4525e-07,1.37625e-07
segment_665,0.0,0.0,0.0,0.0,0.0,0.0
segment_802,0.0,0.0,0.0,0.0,0.0,0.0
segment_806,0.0,0.0,0.0,0.0,0.0,0.0
segment_1075,0.0,0.0,0.00013245,0.000583,0.001566,0.00057
segment_1511,0.0,0.0,0.0,0.0,0.0,0.0
segment_1914,0.0,0.0,0.0,0.0,0.0,0.0
segment_2244,0.0,0.0,0.0,0.0,0.0,0.0
segment_2321,0.0,0.0,3.265e-08,1.31975e-07,2.1725e-07,7.69e-08
segment_3002,0.0,0.0,0.0,0.0,0.0,0.0
segment_3129,0.0,0.0,0.0,2.45125e-07,3.0025e-07,9.3725e-08
segment_3218,0.0,0.0,0.0,1.02375e-08,1.2295e-08,3.6625e-09
segment_3337,0.0,0.0,0.0,7.53e-09,8.97e-09,2.67e-09
segment_3367,0.0,0.0,0.0,1.153e-07,1.381e-07,4.27e-08
segment_3503,0.0,0.0,0.0,0.0,0.0,0.0
segment_3561,0.0,0.0,0.0,0.00564,0.02965,0.0045975
segment_3991,0.0,0.0,0.0,0.0,0.0,0.0
segment_4029,0.0,0.0,0.0,0.0,0.0,0.0
segment_4315,0.0,0.0,5.0575e-05,0.001213,0.0086325,0.00134375
segment_5101,0.0,0.0,0.0,0.0,0.0,0.0
segment_5159,0.0,0.0,0.0,0.0,0.0,0.0
segment_5246,0.0,0.0,0.0,0.0,0.0,0.0
segment_5571,0.0,0.0,0.0,0.0,0.0,0.0
segment_5926,0.00173925,0.00239175,0.00337,0.0042425,0.0048025,0.0033225
segment_5952,0.0014605,0.0022765,0.0036025,0.0049025,0.0060425,0.0036425
segment_6177,0.0,0.0,3.4775e-10,1.9215e-08,2.282e-08,6.97e-09
segment_6594,0.0,0.0,1.01475e-06,1.65075e-05,2.366e-05,7.5325e-06
segment_6899,0.0,0.0,0.0,0.0,0.0,0.0
segment_6906,0.0,0.0,0.0,0.0,0.0,0.0
segment_6938,0.0,0.0,0.0,0.0,0.0,0.0
segment_7284,0.0,0.0,0.0,0.0,0.0,0.0
segment_7385,0.0,0.0,4.315e-08,1.59925e-06,2.0235e-06,6.4025e-07
segment_7478,0.0,0.0,2.26175e-06,8.43e-06,1.3805e-05,5.24e-06
segment_7662,0.0,0.0,0.0,0.0,0.0,0.0
segment_7911,0.0,0.0,3.9975e-05,0.000144775,0.000220225,9.97e-05
segment_8438,0.0,0.0,0.0,0.01449,0.041525,0.0072725
segment_8479,0.0,0.0,0.0,0.0,0.0,0.0
segment_8757,0.0,0.0,0.0,0.0,0.0,0.0
segment_9189,0.0,0.0,0.0,0.0105675,0.037725,0.0063825
segment_9240,0.0,0.0,0.0,0.007945,0.030025,0.00491
segment_9359,0.0,0.0,0.0,0.0,0.0,0.0
segment_9382,0.0,0.0,1.97025e-10,1.14825e-09,1.94775e-09,6e-10
segment_9513,0.0,0.0,0.00017925,0.00094,0.00534,0.00122525
segment_9726,0.0,0.0,0.000189675,0.0009335,0.00514,0.001185
segment_9787,0.0,0.0,7.875e-05,0.000764,0.002695,0.00060725
segment_10029,0.0,0.0,0.0,4.05e-10,6.8575e-10,2.04775e-10
segment_10146,0.0,0.0,0.0,0.0,0.0,0.0
segment_10187,0.0,0.0,0.0,0.0,0.0,0.0
segment_11299,0.0,0.0,0.0,0.0,0.0,0.0
segment_11540,0.0,0.0,0.0,0.0,0.0,0.0
segment_11594,0.0,0.0,1.13875e-09,1.421e-07,1.6955e-07,5.2175e-08
segment_11928,0.0,0.0,0.0,5.77e-07,6.8425e-07,2.16325e-07
segment_12159,0.0,0.0,1.55375e-07,6.48e-07,1.05475e-06,3.7525e-07
segment_12417,0.0,0.0,0.0,0.0146075,0.04965,0.0082675
segment_12786,0.0,0.0,6.9025e-07,1.27625e-05,1.788e-05,5.565e-06
segment_13011,0.0,0.0,1.0875e-10,1.119e-08,1.339e-08,4.0125e-09
segment_13052,0.0,0.0,1.43825e-10,1.26e-08,1.5095e-08,4.5425e-09
segment_13830,0.0,0.0,0.0,0.0,0.0,0.0
segment_14567,0.0,0.0,0.0,0.0,0.0,0.0
segment_15222,0.0,0.0,0.0,0.0,0.0,0.0
segment_15309,0.0,0.0,1.95825e-05,7.1525e-05,0.00011475,4.8525e-05
segment_15602,0.0,0.0,0.0,0.0,0.0,0.0
segment_15784,0.0,0.0,6.3975e-06,5.425e-05,8.8525e-05,2.58e-05
segment_15784,0.0,0.0,4.545e-06,4.3675e-05,6.925e-05,2.06425e-05
segment_16090,0.0,0.0,0.0,0.0,0.0,0.0
segment_16234,0.0,0.0,0.0,0.0,0.0,0.0
segment_16375,0.0,0.0,3.815e-07,1.5635e-06,2.56e-06,9.23e-07
segment_16458,0.0,0.0,0.0,0.0,0.0,0.0
segment_16819,0.0,0.0,6.1925e-05,0.0147975,0.03765,0.006875
segment_16833,0.0,0.0,4.455e-05,0.000174625,0.00028025,0.000127275
segment_17511,0.0,0.0,8.3075e-09,1.9495e-07,2.354e-07,7.2075e-08
segment_18132,0.0,0.0,0.0,0.0,0.0,0.0
segment_18331,0.0,0.0,5.49e-05,0.000292,0.000838,0.00020295
segment_18718,0.0,0.0,7.07e-06,5.975e-05,9.8125e-05,2.8325e-05
segment_18776,0.0,0.0,2.223e-05,0.000182175,0.0004055,0.000109125
segment_19205,0.0,0.0,5.265e-05,0.0003245,0.00085675,0.00021395
segment_19425,0.0,0.0,1.9445e-06,2.5325e-05,3.7175e-05,1.114e-05
segment_19487,0.0,0.0,4.205e-05,0.0001632,0.00025825,0.0001181
segment_19889,0.0,0.0,0.0,0.001479,0.014555,0.00238875
segment_20433,0.0,0.0,0.0,0.0,0.0,0.0
segment_20514,0.0,0.0,8.995e-06,7.375e-05,0.00012235,3.575e-05
segment_20713,0.0,0.0,2.7225e-06,3.4575e-05,5.1275e-05,1.5265e-05
