,5th_eps_pipe_comp,16th_eps_pipe_comp,50th_eps_pipe_comp,84th_eps_pipe_comp,95th_eps_pipe_comp,mean_eps_pipe_comp
segment_1,2.955e-05,4.745e-05,9.1875e-05,0.00017735,0.000251,0.0001095
segment_2,7.4125e-06,1.1935e-05,2.3285e-05,4.39e-05,6.2275e-05,2.7425e-05
segment_3,0.0,0.0,1.23125e-07,6.2425e-07,7.6175e-07,3.4625e-07
segment_4,0.0,0.0,0.000135075,0.0008575,0.0081525,0.001525
segment_5,0.0,0.0,3.5775e-05,0.00154725,0.013835,0.00231125
segment_6,0.0,0.0,0.000153425,0.00069625,0.00184775,0.000641
segment_7,0.0,0.0,1.21875e-07,6.4e-07,7.7075e-07,3.5475e-07
segment_8,0.0,1.03275e-07,2.4995e-07,1.25925e-06,5.6575e-06,1.09425e-06
segment_9,3.1325e-05,4.7825e-05,9.4525e-05,0.000175425,0.000243875,0.000110225
segment_10,2.82e-05,4.27e-05,8.2625e-05,0.0001557,0.000220975,9.7925e-05
segment_11,4.34e-05,6.4725e-05,0.000117475,0.00021095,0.00029225,0.0001364
segment_12,3.855e-05,5.87e-05,0.000105625,0.000187475,0.0002585,0.000121675
segment_13,1.8305e-05,2.99e-05,6.2675e-05,0.00013195,0.00019815,7.91e-05
segment_14,2.9075e-06,4.7e-06,9.6075e-06,1.84675e-05,2.505e-05,1.13575e-05
segment_15,7.2375e-08,2.05075e-07,7.2625e-07,2.6425e-06,5.3425e-06,1.4365e-06
segment_16,3.0175e-05,4.91e-05,0.00010185,0.00019805,0.0002795,0.000121125
segment_17,2.7e-05,4.1875e-05,8.22e-05,0.0001555,0.0002182,9.72e-05
segment_18,3.18e-05,4.875e-05,0.000100525,0.000198975,0.0002785,0.000120975
segment_19,3.6225e-05,5.175e-05,9.1875e-05,0.000165775,0.00023335,0.000106725
segment_20,1.83375e-06,3.4975e-06,9.2875e-06,2.31125e-05,4.035e-05,1.33225e-05
segment_21,0.0,0.0,2.6525e-05,0.000132175,0.0001473,7.9775e-05
segment_22,0.0,0.0,0.0,0.0066975,0.026525,0.004415
segment_23,0.0,0.0,0.00035375,0.0229525,0.05455,0.010175
segment_24,0.0,0.0,0.001953,0.0372,0.0729,0.0150125
segment_25,0.0,0.0,0.0007895,0.02865,0.06245,0.0121125
segment_26,0.0,0.0,0.0,0.004445,0.0214925,0.00353
segment_27,0.0,0.0,2.7275e-05,0.00013715,0.000152675,8.2525e-05
segment_28,0.0,3.72e-07,1.2385e-06,7.2e-06,1.832e-05,4.0675e-06
segment_29,2.6175e-05,4.14e-05,8.18e-05,0.000156825,0.000218925,9.7575e-05
segment_30,1.8155e-05,3.0075e-05,7.3175e-05,0.000160125,0.000236875,9.22e-05
segment_31,0.0,0.0,5.735e-09,1.70575e-08,6.935e-08,1.46975e-08
segment_32,0.0,0.0,0.000168875,0.00075875,0.003595,0.00088075
segment_33,0.0,0.0,0.00245,0.04115,0.077275,0.01641
segment_34,0.0,0.0,0.0141775,0.07035,0.0971,0.02885
segment_35,0.0,0.0,0.0142725,0.070425,0.097125,0.0289
segment_36,0.0,0.0,0.00186775,0.0368,0.072375,0.01493
segment_37,0.0,0.0,0.000167275,0.0007555,0.00345,0.00086575
segment_38,0.0,0.0,6.375e-09,1.33725e-08,4.48e-08,1.23625e-08
segment_39,1.457e-05,2.44475e-05,5.6175e-05,0.000126125,0.0001934,7.325e-05
segment_40,3.8925e-05,6.2075e-05,0.000124475,0.000239625,0.00033625,0.0001471
segment_41,2.8225e-07,8.3575e-07,1.562e-06,3.165e-06,7.0575e-06,2.3065e-06
segment_42,0.0,0.0,6.715e-05,0.0003535,0.00043475,0.000241
segment_43,0.0,0.0,0.0,0.01506,0.04205,0.007495
segment_44,0.0,0.0,0.004185,0.048475,0.08455,0.0190125
segment_45,0.0,0.0,0.004795,0.0508,0.086625,0.0198875
segment_46,0.0,0.0,0.0,0.015015,0.041975,0.0074725
