,5th_eps_pipe_comp,16th_eps_pipe_comp,50th_eps_pipe_comp,84th_eps_pipe_comp,95th_eps_pipe_comp,mean_eps_pipe_comp
segment_248,0.0,0.0,0.0,0.0,0.0,0.0
segment_249,0.0,0.0,0.0,0.0,0.0,0.0
segment_448,0.0,0.0,0.0,0.0,0.0,0.0
segment_894,0.0,0.0,0.0,0.0,0.0,0.0
segment_895,0.0,0.0,0.0,0.0,0.0,0.0
segment_896,0.0,0.0,9.2725e-06,4.2025e-05,6.5125e-05,2.7125e-05
segment_897,0.0,0.0,0.0,0.005465,0.0481,0.00872
segment_898,0.0,0.0,0.0,0.006995,0.076475,0.0121175
segment_899,0.0,0.0,0.00035775,0.00226725,0.00363,0.001893
segment_900,0.0,0.0,0.0,3.175e-10,5.41e-10,1.77125e-10
segment_901,0.0,0.0,0.0,0.0,0.0,0.0
segment_902,0.0,0.0,0.0,0.0,0.0,0.0
segment_903,0.0,0.0,0.0,0.0,0.0,0.0
segment_904,0.0,0.0,0.0,0.0,0.0,0.0
segment_905,0.0,0.0,0.0,0.0,0.0,0.0
segment_906,0.0,0.0,0.0,0.0,0.0,0.0
segment_907,0.0,0.0,0.0,0.0,0.0,0.0
segment_908,0.0,0.0,3.01e-07,1.471e-06,2.373e-06,9.1325e-07
segment_909,0.0,0.0,0.00042325,0.0030625,0.005135,0.0027725
segment_910,0.0,0.0,0.0,0.0113,0.1028,0.0155475
segment_911,0.0,0.0,0.0,0.058075,0.2102,0.0306
segment_912,0.0,0.0,0.0,0.0668,0.230175,0.03295
segment_913,0.0,0.0,0.0,0.033125,0.153975,0.02211
segment_914,0.0,0.0,0.000123875,0.007145,0.06075,0.009715
segment_915,0.0,0.0,0.000188025,0.0045425,0.02125,0.0048175
segment_916,0.0,0.0,0.000129475,0.002695,0.006945,0.002036
segment_917,0.0,0.0,0.0,0.00045825,0.00072975,0.0002294
segment_918,0.0,0.0,0.0,0.000240425,0.0003705,0.0001158
segment_919,0.0,0.0,0.0,0.000149575,0.000219775,6.8225e-05
segment_920,0.0,0.0,0.0,0.00012455,0.000183475,5.6625e-05
segment_921,0.0,0.0,0.0,5.9475e-05,8.805e-05,2.6475e-05
segment_922,0.0,0.0,0.0,4.3925e-05,6.1475e-05,1.86475e-05
segment_923,0.0,0.0,0.0,4.66e-05,6.535e-05,1.9855e-05
segment_924,0.0,0.0,0.0,5.195e-05,7.385e-05,2.265e-05
segment_925,0.0,0.0,0.0,8.7775e-05,0.0001258,3.865e-05
segment_926,0.0,0.0,0.0,0.000153325,0.00022325,6.9425e-05
segment_927,0.0,0.0,0.0,0.00024565,0.0003835,0.000119425
segment_928,0.0,0.0,0.0,0.0003215,0.0005025,0.0001579
segment_929,0.0,0.0,0.0,0.00065525,0.00111775,0.00034175
segment_930,0.0,0.0,0.000186075,0.0029475,0.008715,0.002408
segment_931,0.0,0.0,0.0002209,0.005535,0.03605,0.006625
segment_932,0.0,0.0,0.0,0.0169575,0.115,0.01633
segment_933,0.0,0.0,0.0,0.052075,0.19995,0.0288
segment_934,0.0,0.0,0.0,0.0731,0.23875,0.034475
segment_935,0.0,0.0,0.0,0.042625,0.1791,0.026225
segment_936,0.0,0.0,7.67e-05,0.005125,0.03505,0.00728
segment_937,0.0,0.0,8.155e-06,3.8625e-05,5.8775e-05,2.49125e-05
segment_938,0.0,0.0,0.0,0.0,0.0,0.0
