site_id,lon,lat,vs30,z1p0,z2p5,vs30_source
0,-122.11,38.22,293.5,0.608,2.943777832,0.0
1,-122.11,38.22,293.5,0.608,2.943777832,0.0
2,-119.1,35.25,228.2,0.0,6.0,0.0
3,-122.0,38.6,468.4,0.604,3.42,0.0
4,-122.0,38.6,468.4,0.604,3.42,0.0
5,-122.0,38.6,468.4,0.604,3.42,0.0
6,-122.0,38.6,468.4,0.604,3.42,0.0
7,-122.0,38.6,468.4,0.604,3.42,0.0
8,-122.0,38.6,468.4,0.604,3.42,0.0
9,-122.0,38.6,468.4,0.604,3.42,0.0
10,-122.0,38.6,468.4,0.604,3.42,0.0
11,-122.0,38.6,468.4,0.604,3.42,0.0
12,-122.0,38.6,468.4,0.604,3.42,0.0
13,-122.0,38.6,468.4,0.604,3.42,0.0
14,-122.0,38.6,468.4,0.604,3.42,0.0
15,-122.0,38.6,468.4,0.604,3.42,0.0
16,-122.0,38.6,468.4,0.604,3.42,0.0
17,-122.0,38.6,468.4,0.604,3.42,0.0
18,-122.0,38.6,468.4,0.604,3.42,0.0
19,-122.0,38.6,468.4,0.604,3.42,0.0
20,-122.0,38.6,468.4,0.604,3.42,0.0
21,-122.0,38.6,468.4,0.604,3.42,0.0
22,-122.0,38.6,468.4,0.604,3.42,0.0
23,-122.0,38.6,468.4,0.604,3.42,0.0
24,-122.0,38.6,468.4,0.604,3.42,0.0
25,-122.0,38.6,468.4,0.604,3.42,0.0
26,-122.0,38.6,468.4,0.604,3.42,0.0
27,-122.0,38.6,468.4,0.604,3.42,0.0
28,-122.0,38.6,468.4,0.604,3.42,0.0
29,-122.0,38.6,468.4,0.604,3.42,0.0
30,-122.0,38.6,468.4,0.604,3.42,0.0
31,-122.0,38.6,468.4,0.604,3.42,0.0
32,-122.0,38.6,468.4,0.604,3.42,0.0
33,-122.0,38.6,468.4,0.604,3.42,0.0
34,-122.0,38.6,468.4,0.604,3.42,0.0
35,-122.0,38.6,468.4,0.604,3.42,0.0
36,-122.0,38.6,468.4,0.604,3.42,0.0
37,-122.0,38.6,468.4,0.604,3.42,0.0
38,-122.0,38.6,468.4,0.604,3.42,0.0
39,-122.0,38.6,468.4,0.604,3.42,0.0
40,-121.95,38.6,228.2,0.642,3.506666504,0.0
41,-121.95,38.6,228.2,0.642,3.506666504,0.0
42,-121.95,38.6,228.2,0.642,3.506666504,0.0
43,-121.95,38.6,228.2,0.642,3.506666504,0.0
44,-121.95,38.6,228.2,0.642,3.506666504,0.0
45,-121.95,38.6,228.2,0.642,3.506666504,0.0
46,-121.95,38.6,228.2,0.642,3.506666504,0.0
47,-121.95,38.6,228.2,0.642,3.506666504,0.0
48,-121.95,38.6,228.2,0.642,3.506666504,0.0
49,-121.95,38.6,228.2,0.642,3.506666504,0.0
50,-123.1,38.95,571.6,0.0,0.885333313,0.0
51,-123.1,38.95,571.6,0.0,0.885333313,0.0
52,-123.1,38.95,571.6,0.0,0.885333313,0.0
53,-123.1,38.95,571.6,0.0,0.885333313,0.0
54,-122.63,38.25,293.5,0.190540543,0.875,0.0
55,-122.63,38.25,293.5,0.190540543,0.875,0.0
56,-122.63,38.25,293.5,0.190540543,0.875,0.0
57,-122.63,38.25,293.5,0.190540543,0.875,0.0
58,-122.57,38.12,351.9,0.0,0.87,0.0
59,-122.57,38.12,351.9,0.0,0.87,0.0
60,-122.57,38.12,351.9,0.0,0.87,0.0
61,-122.26,37.79,225.6,0.132957748,0.8575,0.0
62,-122.26,37.79,225.6,0.132957748,0.8575,0.0
63,-122.26,37.79,225.6,0.132957748,0.8575,0.0
64,-122.26,37.79,225.6,0.132957748,0.8575,0.0
65,-122.26,37.79,225.6,0.132957748,0.8575,0.0
66,-121.6,39.0,228.2,0.411891907,1.407577637,0.0
67,-121.6,39.0,228.2,0.411891907,1.407577637,0.0
68,-121.6,39.0,228.2,0.411891907,1.407577637,0.0
69,-121.55,39.0,386.6,0.412105255,1.008636414,0.0
70,-121.55,39.0,386.6,0.412105255,1.008636414,0.0
71,-121.55,39.0,386.6,0.412105255,1.008636414,0.0
72,-121.55,39.0,386.6,0.412105255,1.008636414,0.0
73,-121.55,39.0,386.6,0.412105255,1.008636414,0.0
74,-121.55,39.0,386.6,0.412105255,1.008636414,0.0
75,-121.55,39.0,386.6,0.412105255,1.008636414,0.0
76,-121.55,39.0,386.6,0.412105255,1.008636414,0.0
77,-121.55,39.0,386.6,0.412105255,1.008636414,0.0
78,-121.55,39.0,386.6,0.412105255,1.008636414,0.0
79,-121.55,39.0,386.6,0.412105255,1.008636414,0.0
80,-121.55,39.0,386.6,0.412105255,1.008636414,0.0
81,-121.55,39.0,386.6,0.412105255,1.008636414,0.0
82,-121.55,39.0,386.6,0.412105255,1.008636414,0.0
83,-121.55,39.0,386.6,0.412105255,1.008636414,0.0
84,-121.55,39.0,386.6,0.412105255,1.008636414,0.0
85,-121.55,39.0,386.6,0.412105255,1.008636414,0.0
86,-121.55,39.0,386.6,0.412105255,1.008636414,0.0
87,-121.55,39.0,386.6,0.412105255,1.008636414,0.0
88,-121.55,39.0,386.6,0.412105255,1.008636414,0.0
89,-121.55,39.0,386.6,0.412105255,1.008636414,0.0
90,-121.55,39.0,386.6,0.412105255,1.008636414,0.0
91,-121.55,39.0,386.6,0.412105255,1.008636414,0.0
92,-121.55,39.0,386.6,0.412105255,1.008636414,0.0
93,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
94,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
95,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
96,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
97,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
98,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
99,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
100,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
101,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
102,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
103,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
104,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
105,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
106,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
107,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
108,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
109,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
110,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
111,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
112,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
113,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
114,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
115,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
116,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
117,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
118,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
119,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
120,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
121,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
122,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
123,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
124,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
125,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
126,-121.3,38.8,386.6,0.2225784,0.233031342,0.0
