,5th_eps_pipe_comp,16th_eps_pipe_comp,50th_eps_pipe_comp,84th_eps_pipe_comp,95th_eps_pipe_comp,mean_eps_pipe_comp
segment_248,0.0,0.0,0.0,0.0,0.0,0.0
segment_249,0.0,0.0,0.0,0.0,0.0,0.0
segment_448,0.0,0.0,8.9525e-07,6.735e-06,1.47625e-05,3.2175e-06
segment_894,0.0,0.0,0.0,0.0,0.0,0.0
segment_895,0.0,0.0,0.0,0.0,0.0,0.0
segment_896,0.0,0.0,5.3825e-06,2.7e-05,4.0275e-05,1.53575e-05
segment_897,0.0,0.0,0.0,0.0005675,0.0038275,0.000872
segment_898,0.0,0.0,0.0,0.0007945,0.007305,0.00132875
segment_899,0.0,0.0,2.705e-05,0.000139725,0.00020575,8.625e-05
segment_900,0.0,0.0,3.6675e-08,1.77175e-07,2.8125e-07,9.295e-08
segment_901,0.0,0.0,0.0,0.0,0.0,0.0
segment_902,0.0,0.0,0.0,0.0,0.0,0.0
segment_903,0.0,0.0,0.0,0.0,0.0,0.0
segment_904,0.0,0.0,0.0,0.0,0.0,0.0
segment_905,0.0,0.0,0.0,0.0,0.0,0.0
segment_906,0.0,0.0,0.0,0.0,0.0,0.0
segment_907,0.0,0.0,0.0,0.0,0.0,0.0
segment_908,0.0,0.0,0.0,0.0,1.45225e-10,0.0
segment_909,0.0,0.0,4.3825e-05,0.00022855,0.00032675,0.0001474
segment_910,0.0,0.0,0.0,0.0013105,0.0099825,0.0017395
segment_911,0.0,0.0,0.0,0.0065225,0.0222175,0.003795
segment_912,0.0,0.0,0.0,0.00784,0.023775,0.004135
segment_913,0.0,0.0,0.0,0.00348,0.01523,0.0025225
segment_914,0.0,0.0,1.375e-05,0.00069625,0.005315,0.00090675
segment_915,0.0,0.0,2.855e-05,0.00035825,0.00080525,0.000241175
segment_916,0.0,0.0,5.7525e-08,7.8775e-05,0.00012655,3.65e-05
segment_917,0.0,0.0,0.0,4.305e-05,6.735e-05,1.8925e-05
segment_918,0.0,0.0,0.0,3.545e-05,5.335e-05,1.499e-05
segment_919,0.0,0.0,0.0,1.6855e-05,2.565e-05,7.025e-06
segment_920,0.0,0.0,0.0,1.2395e-05,1.881e-05,5.0825e-06
segment_921,0.0,0.0,0.0,6.73e-06,9.7725e-06,2.625e-06
segment_922,0.0,0.0,0.0,4.08e-06,5.665e-06,1.52275e-06
segment_923,0.0,0.0,0.0,3.8875e-06,5.27e-06,1.43075e-06
segment_924,0.0,0.0,0.0,8.24e-06,1.16575e-05,3.1575e-06
segment_925,0.0,0.0,0.0,8.5575e-06,1.24025e-05,3.34e-06
segment_926,0.0,0.0,0.0,1.795e-05,2.705e-05,7.395e-06
segment_927,0.0,0.0,0.0,2.59e-05,3.94e-05,1.09e-05
segment_928,0.0,0.0,1.13175e-05,0.000167225,0.000343,9.4225e-05
segment_929,0.0,0.0,1.51925e-05,0.00023135,0.000465,0.00013095
segment_930,0.0,0.0,2.945e-05,0.0004475,0.00154175,0.000382
segment_931,0.0,0.0,2.7975e-05,0.0005485,0.00338,0.0006215
segment_932,0.0,0.0,0.0,0.0015215,0.0099925,0.00160025
segment_933,0.0,0.0,0.0,0.0055125,0.0196175,0.00337
segment_934,0.0,0.0,0.0,0.008,0.0244475,0.0042475
segment_935,0.0,0.0,0.0,0.0047725,0.01816,0.003135
segment_936,0.0,0.0,0.0,0.00056775,0.0025625,0.0007065
