,5th_eps_pipe_comp,16th_eps_pipe_comp,50th_eps_pipe_comp,84th_eps_pipe_comp,95th_eps_pipe_comp,mean_eps_pipe_comp
segment_1,0.0,0.0,0.047025,0.2088,0.25,0.083225
segment_2,0.0,0.0,0.003415,0.074325,0.213525,0.0353
segment_3,0.0,0.0,0.0,0.0591,0.202175,0.03215
segment_4,0.0,0.0,0.0,0.067025,0.22405,0.0333
segment_5,0.0,0.0,0.00176225,0.092625,0.25,0.040275
segment_6,0.0,0.0,0.00013595,0.068775,0.2194,0.033625
segment_7,0.0,0.0,0.0,0.06515,0.198475,0.0319
segment_8,0.0,0.0,0.0042875,0.064825,0.1848,0.0318
segment_9,0.0,0.0,0.04835,0.2154,0.25,0.084525
segment_10,0.0,0.0,0.06275,0.239625,0.25,0.09425
segment_11,0.0,0.0,0.066825,0.2423,0.25,0.096175
segment_12,0.0,0.004405,0.120375,0.25,0.25,0.1283
segment_13,0.0,0.0,0.02975,0.175175,0.25,0.07065
segment_14,0.0,0.0,0.00043775,0.071375,0.2322,0.0355
segment_15,0.0,0.0,0.0033975,0.084325,0.230325,0.038325
segment_16,0.0,0.0,0.0298,0.17625,0.25,0.07075
segment_17,0.0,0.0,0.0641,0.24085,0.25,0.09495
segment_18,0.0,0.0,0.06355,0.240075,0.25,0.094825
segment_19,0.0,0.0,0.01309,0.102875,0.226025,0.046525
segment_20,0.0,0.0,7.9e-05,0.01044,0.06975,0.012105
segment_21,0.0,0.0,0.0,0.0224675,0.1127,0.017945
segment_22,0.0,0.0,0.00088075,0.116775,0.25,0.046425
segment_23,0.0,0.0,0.01125,0.25,0.25,0.070075
segment_24,0.0,0.0,0.037425,0.25,0.25,0.089975
segment_25,0.0,0.0,0.0215825,0.25,0.25,0.0814
segment_26,0.0,0.0,0.0509,0.2404,0.25,0.091225
segment_27,0.0,0.0,0.0,0.0249125,0.1278,0.019785
segment_28,0.0,0.0,0.000135375,0.010705,0.07075,0.0122525
segment_29,0.0,0.0,0.012725,0.102075,0.224425,0.04605
segment_30,0.0,0.0074575,0.1403,0.25,0.25,0.136125
segment_31,0.0,0.0,0.024125,0.198175,0.25,0.0704
segment_32,0.0,0.0,0.00611,0.1344,0.25,0.05015
segment_33,0.0,0.0,0.050075,0.25,0.25,0.098225
segment_34,0.0,0.0,0.152475,0.25,0.25,0.134525
segment_35,0.0,0.0,0.13185,0.25,0.25,0.1297
segment_36,0.0,0.0,0.09815,0.25,0.25,0.119075
segment_37,0.0,0.0,0.0247875,0.21145,0.25,0.07195
segment_38,0.0,0.0,0.0249425,0.203775,0.25,0.0719
segment_39,0.0,0.0094925,0.145725,0.25,0.25,0.138425
segment_40,0.0,0.0,0.033825,0.17975,0.25,0.072725
segment_41,0.0,0.0,0.0020025,0.0595,0.18275,0.030225
segment_42,0.0,0.0,0.0,0.061325,0.191725,0.0308
segment_43,0.0,0.0,0.0051275,0.192325,0.25,0.060575
segment_44,0.0,0.0,0.065075,0.25,0.25,0.105
segment_45,0.0,0.0,0.056675,0.25,0.25,0.1008
segment_46,0.0,0.0,0.0057325,0.195575,0.25,0.060825
segment_47,0.0,0.0,0.0,0.06115,0.190775,0.030725
segment_48,0.0,0.0,0.0010905,0.051275,0.16355,0.02795
segment_49,0.0,0.0,0.034225,0.1814,0.25,0.073275
segment_50,0.0,0.0,0.024215,0.153325,0.25,0.0635
segment_51,0.0,0.0,0.00040425,0.037375,0.13655,0.0225525
segment_52,0.0,0.0,0.0229275,0.149,0.25,0.062225
segment_53,0.0,0.0,0.0197125,0.138,0.25,0.05825
segment_54,0.0,0.0,0.0220475,0.143625,0.25,0.060475
segment_55,0.0,0.0,0.0,0.03905,0.141225,0.0242375
segment_56,0.0,0.0,0.0,0.043525,0.166175,0.026175
segment_57,0.0,0.0,0.0,0.032125,0.1245,0.0212525
segment_58,0.0,0.0,0.020375,0.14015,0.25,0.059175
segment_59,0.0,0.0,0.0344,0.175775,0.25,0.072525
segment_60,0.0,0.0,0.0130325,0.0967,0.207675,0.044375
segment_61,0.0,0.0,0.047975,0.17815,0.25,0.07925
segment_62,0.0,0.0,0.03945,0.173675,0.25,0.073325
segment_63,0.0,0.0,0.0,0.0849,0.25,0.039275
segment_64,0.0,0.0,0.0176875,0.25,0.25,0.075225
segment_65,0.0,0.0,0.0152425,0.25,0.25,0.074575
segment_66,0.0,0.0,0.0,0.07455,0.25,0.03645
segment_67,0.0,0.0,3.5975e-05,0.01239,0.088175,0.014175
segment_68,0.0,0.0,6.0175e-05,0.0071125,0.059025,0.01063
segment_69,0.0,0.0,0.012835,0.095975,0.2073,0.044175
segment_70,0.0,0.0,0.09825,0.25,0.25,0.115475
segment_71,0.0,0.0,0.01762,0.166625,0.25,0.060825
segment_72,0.0,0.0,0.0009175,0.078775,0.223275,0.035525
segment_73,0.0,0.0,0.021825,0.25,0.25,0.0806
segment_74,0.0,0.0,0.12265,0.25,0.25,0.1267
segment_75,0.0,0.0,0.129975,0.25,0.25,0.130875
segment_76,0.0,0.0,0.03815,0.25,0.25,0.08975
segment_77,0.0,0.0,0.0049925,0.086375,0.2262,0.039075
segment_78,0.0,0.0,0.0208175,0.186425,0.25,0.066275
segment_79,0.0,0.0004315,0.101825,0.25,0.25,0.1169
