event_id,magnitude,annual_rate,dip,rake,dip_dir,z_tor,z_bor,fault_trace
1.0,6.55,0.00033,50.0,-77.7,89.5,0.0,13.0,"[[-117.75, 35.741, 0.0], [-117.764, 35.81, 0.0], [-117.765, 35.817, 0.0], [-117.776, 35.88, 0.0], [-117.781, 35.913, 0.0]]"
2.0,6.55,0.00033,50.0,-77.7,89.5,0.0,13.0,"[[-117.781, 35.913, 0.0], [-117.773, 35.95, 0.0], [-117.764, 35.994, 0.0], [-117.764, 36.02, 0.0], [-117.764, 36.032, 0.0], [-117.772, 36.044, 0.0], [-117.762, 36.066, 0.0], [-117.766, 36.088, 0.0], [-117.767, 36.09, 0.0]]"
3.0,6.95,0.000186,50.0,-77.7,89.5,0.0,13.0,"[[-117.75, 35.741, 0.0], [-117.764, 35.81, 0.0], [-117.765, 35.817, 0.0], [-117.776, 35.88, 0.0], [-117.781, 35.913, 0.0], [-117.773, 35.95, 0.0], [-117.764, 35.994, 0.0], [-117.764, 36.02, 0.0], [-117.764, 36.032, 0.0], [-117.772, 36.044, 0.0], [-117.762, 36.066, 0.0], [-117.766, 36.088, 0.0], [-117.767, 36.09, 0.0]]"
7.0,6.75,4.6e-05,45.0,57.1,354.4,0.0,15.5,"[[-118.695, 33.983, 0.0], [-118.743, 33.973, 0.0], [-118.802, 33.961, 0.0], [-118.819, 33.958, 0.0], [-118.912, 33.95, 0.0], [-118.935, 33.947, 0.0]]"
8.0,6.75,4.6e-05,45.0,57.1,354.4,0.0,15.5,"[[-118.935, 33.947, 0.0], [-119.018, 33.969, 0.0], [-119.02, 33.97, 0.0], [-119.128, 33.974, 0.0], [-119.145, 33.975, 0.0]]"
9.0,7.25,5.5e-05,45.0,57.1,354.4,0.0,15.5,"[[-118.695, 33.983, 0.0], [-118.743, 33.973, 0.0], [-118.802, 33.961, 0.0], [-118.819, 33.958, 0.0], [-118.912, 33.95, 0.0], [-118.935, 33.947, 0.0], [-119.018, 33.969, 0.0], [-119.02, 33.97, 0.0], [-119.128, 33.974, 0.0], [-119.145, 33.975, 0.0]]"
10.0,6.45,5.48e-05,41.0,47.9,351.9,1.2,11.4,"[[-118.552, 34.02, 1.2], [-118.626, 33.999, 1.2], [-118.649, 33.992, 1.2], [-118.701, 33.982, 1.2], [-118.743, 33.973, 1.2]]"
11.0,6.45,5.48e-05,41.0,47.9,351.9,1.2,11.4,"[[-118.743, 33.973, 1.2], [-118.777, 33.966, 1.2], [-118.819, 33.958, 1.2], [-118.853, 33.955, 1.2], [-118.931, 33.948, 1.2], [-118.935, 33.947, 1.2]]"
12.0,6.45,5.48e-05,41.0,47.9,351.9,1.2,11.4,"[[-118.935, 33.947, 1.2], [-119.005, 33.966, 1.2], [-119.02, 33.97, 1.2], [-119.083, 33.972, 1.2], [-119.145, 33.975, 1.2], [-119.159, 33.969, 1.2]]"
13.0,6.95,0.000138,41.0,47.9,351.9,1.2,11.4,"[[-118.552, 34.02, 1.2], [-118.626, 33.999, 1.2], [-118.649, 33.992, 1.2], [-118.701, 33.982, 1.2], [-118.743, 33.973, 1.2], [-118.777, 33.966, 1.2], [-118.819, 33.958, 1.2], [-118.853, 33.955, 1.2], [-118.931, 33.948, 1.2], [-118.935, 33.947, 1.2], [-119.005, 33.966, 1.2], [-119.02, 33.97, 1.2], [-119.083, 33.972, 1.2], [-119.145, 33.975, 1.2], [-119.159, 33.969, 1.2]]"
14.0,7.45,0.000139,41.0,47.9,351.9,1.2,11.4,"[[-118.552, 34.02, 1.2], [-118.626, 33.999, 1.2], [-118.649, 33.992, 1.2], [-118.701, 33.982, 1.2], [-118.743, 33.973, 1.2], [-118.777, 33.966, 1.2], [-118.819, 33.958, 1.2], [-118.853, 33.955, 1.2], [-118.931, 33.948, 1.2], [-118.935, 33.947, 1.2], [-119.005, 33.966, 1.2], [-119.02, 33.97, 1.2], [-119.083, 33.972, 1.2], [-119.145, 33.975, 1.2], [-119.159, 33.969, 1.2]]"
15.0,6.15,8.63e-05,71.0,80.3,45.3,3.8,14.2,"[[-117.945, 33.778, 3.8], [-117.98, 33.806, 3.8], [-117.986, 33.811, 3.8], [-118.027, 33.843, 3.8], [-118.027, 33.844, 3.8]]"
16.0,6.65,1.46e-06,71.0,80.3,45.3,3.8,14.2,"[[-117.945, 33.778, 3.8], [-117.98, 33.806, 3.8], [-117.986, 33.811, 3.8], [-118.027, 33.843, 3.8], [-118.027, 33.844, 3.8]]"
68.0,6.15,0.000569,76.0,51.1,167.5,0.0,6.6,"[[-119.357, 34.668, 0.0], [-119.323, 34.679, 0.0], [-119.297, 34.687, 0.0], [-119.291, 34.691, 0.0], [-119.262, 34.708, 0.0], [-119.26, 34.709, 0.0], [-119.229, 34.719, 0.0], [-119.215, 34.723, 0.0], [-119.194, 34.72, 0.0], [-119.159, 34.715, 0.0]]"
69.0,6.65,2.81e-05,76.0,51.1,167.5,0.0,6.6,"[[-119.357, 34.668, 0.0], [-119.323, 34.679, 0.0], [-119.297, 34.687, 0.0], [-119.291, 34.691, 0.0], [-119.262, 34.708, 0.0], [-119.26, 34.709, 0.0], [-119.229, 34.719, 0.0], [-119.215, 34.723, 0.0], [-119.194, 34.72, 0.0], [-119.159, 34.715, 0.0]]"
70.0,6.35,0.000251,73.0,42.9,338.0,0.0,14.3,"[[-119.006, 34.82, 0.0], [-119.05, 34.788, 0.0], [-119.055, 34.786, 0.0], [-119.112, 34.762, 0.0], [-119.17, 34.739, 0.0], [-119.181, 34.735, 0.0]]"
71.0,6.85,0.000131,73.0,42.9,338.0,0.0,14.3,"[[-119.006, 34.82, 0.0], [-119.05, 34.788, 0.0], [-119.055, 34.786, 0.0], [-119.112, 34.762, 0.0], [-119.17, 34.739, 0.0], [-119.181, 34.735, 0.0]]"
72.0,6.35,2.03e-05,50.0,73.3,1.8,0.0,11.0,"[[-119.427, 34.665, 0.0], [-119.493, 34.671, 0.0], [-119.519, 34.673, 0.0], [-119.558, 34.67, 0.0], [-119.564, 34.669, 0.0]]"
73.0,6.85,5.41e-06,50.0,73.3,1.8,0.0,11.0,"[[-119.427, 34.665, 0.0], [-119.493, 34.671, 0.0], [-119.519, 34.673, 0.0], [-119.558, 34.67, 0.0], [-119.564, 34.669, 0.0]]"
74.0,6.25,0.00107,90.0,-6.3,52.7,0.0,12.1,"[[-116.993, 35.001, 0.0], [-117.039, 35.037, 0.0], [-117.085, 35.073, 0.0]]"
75.0,6.25,0.00107,90.0,-6.3,52.7,0.0,12.1,"[[-117.085, 35.073, 0.0], [-117.128, 35.106, 0.0], [-117.13, 35.109, 0.0], [-117.162, 35.154, 0.0], [-117.193, 35.198, 0.0]]"
76.0,6.25,0.00107,90.0,-6.3,52.7,0.0,12.1,"[[-117.193, 35.198, 0.0], [-117.214, 35.227, 0.0], [-117.225, 35.243, 0.0], [-117.257, 35.288, 0.0], [-117.289, 35.333, 0.0]]"
77.0,6.25,0.00107,90.0,-6.3,52.7,0.0,12.1,"[[-117.289, 35.333, 0.0], [-117.313, 35.366, 0.0], [-117.324, 35.375, 0.0], [-117.368, 35.412, 0.0]]"
78.0,6.75,0.000292,90.0,-6.3,52.7,0.0,12.1,"[[-116.993, 35.001, 0.0], [-117.039, 35.037, 0.0], [-117.085, 35.073, 0.0], [-117.128, 35.106, 0.0], [-117.13, 35.109, 0.0], [-117.162, 35.154, 0.0], [-117.193, 35.198, 0.0], [-117.214, 35.227, 0.0], [-117.225, 35.243, 0.0], [-117.257, 35.288, 0.0], [-117.289, 35.333, 0.0], [-117.313, 35.366, 0.0], [-117.324, 35.375, 0.0], [-117.368, 35.412, 0.0]]"
96.0,6.35,4.46e-06,60.0,-32.8,97.3,0.0,14.6,"[[-118.561, 35.372, 0.0], [-118.548, 35.404, 0.0], [-118.547, 35.419, 0.0], [-118.545, 35.439, 0.0]]"
100.0,6.55,0.000588,67.0,3.6,264.6,0.0,15.9,"[[-116.412, 34.122, 0.0], [-116.41, 34.094, 0.0], [-116.413, 34.061, 0.0], [-116.412, 34.059, 0.0], [-116.4, 34.035, 0.0], [-116.395, 34.013, 0.0], [-116.395, 33.998, 0.0], [-116.396, 33.989, 0.0]]"
105.0,6.35,0.000571,90.0,4.7,186.8,0.0,13.9,"[[-116.657, 34.932, 0.0], [-116.592, 34.911, 0.0], [-116.576, 34.906, 0.0], [-116.523, 34.899, 0.0]]"
