event_id,magnitude,annual_rate,dip,rake,dip_dir,z_tor,z_bor,fault_trace
32.0,6.45,0.000708,90.0,1.6,58.1,0.0,14.5,"[[-122.499, 38.997, 0.0], [-122.552, 39.047, 0.0], [-122.597, 39.09, 0.0], [-122.603, 39.097, 0.0]]"
33.0,6.45,0.000708,90.0,1.6,58.1,0.0,14.5,"[[-122.603, 39.097, 0.0], [-122.651, 39.149, 0.0], [-122.653, 39.152, 0.0], [-122.714, 39.19, 0.0], [-122.756, 39.216, 0.0], [-122.772, 39.235, 0.0]]"
34.0,6.45,0.000708,90.0,1.6,58.1,0.0,14.5,"[[-122.772, 39.235, 0.0], [-122.817, 39.289, 0.0], [-122.863, 39.342, 0.0], [-122.869, 39.35, 0.0], [-122.914, 39.393, 0.0], [-122.92, 39.398, 0.0]]"
35.0,6.45,0.000708,90.0,1.6,58.1,0.0,14.5,"[[-122.92, 39.398, 0.0], [-122.948, 39.451, 0.0], [-122.956, 39.466, 0.0], [-122.987, 39.507, 0.0], [-123.029, 39.562, 0.0], [-123.046, 39.583, 0.0]]"
40.0,6.95,0.000819,90.0,1.6,58.1,0.0,14.5,"[[-122.499, 38.997, 0.0], [-122.552, 39.047, 0.0], [-122.597, 39.09, 0.0], [-122.603, 39.097, 0.0], [-122.651, 39.149, 0.0], [-122.653, 39.152, 0.0], [-122.714, 39.19, 0.0], [-122.756, 39.216, 0.0], [-122.772, 39.235, 0.0], [-122.817, 39.289, 0.0], [-122.863, 39.342, 0.0], [-122.869, 39.35, 0.0]]"
41.0,6.95,0.000819,90.0,1.6,58.1,0.0,14.5,"[[-122.869, 39.35, 0.0], [-122.914, 39.393, 0.0], [-122.92, 39.398, 0.0], [-122.948, 39.451, 0.0], [-122.956, 39.466, 0.0], [-122.987, 39.507, 0.0], [-123.029, 39.562, 0.0], [-123.046, 39.583, 0.0], [-123.079, 39.613, 0.0], [-123.121, 39.65, 0.0], [-123.137, 39.659, 0.0], [-123.205, 39.696, 0.0], [-123.218, 39.703, 0.0], [-123.263, 39.742, 0.0], [-123.27, 39.748, 0.0]]"
43.0,7.45,0.00069,90.0,1.6,58.1,0.0,14.5,"[[-122.499, 38.997, 0.0], [-122.552, 39.047, 0.0], [-122.597, 39.09, 0.0], [-122.603, 39.097, 0.0], [-122.651, 39.149, 0.0], [-122.653, 39.152, 0.0], [-122.714, 39.19, 0.0], [-122.756, 39.216, 0.0], [-122.772, 39.235, 0.0], [-122.817, 39.289, 0.0], [-122.863, 39.342, 0.0], [-122.869, 39.35, 0.0], [-122.914, 39.393, 0.0], [-122.92, 39.398, 0.0], [-122.948, 39.451, 0.0], [-122.956, 39.466, 0.0], [-122.987, 39.507, 0.0], [-123.029, 39.562, 0.0], [-123.046, 39.583, 0.0], [-123.079, 39.613, 0.0], [-123.121, 39.65, 0.0], [-123.137, 39.659, 0.0], [-123.205, 39.696, 0.0], [-123.218, 39.703, 0.0], [-123.263, 39.742, 0.0], [-123.27, 39.748, 0.0], [-123.287, 39.802, 0.0], [-123.288, 39.805, 0.0], [-123.318, 39.862, 0.0], [-123.339, 39.9, 0.0], [-123.356, 39.919, 0.0], [-123.396, 39.963, 0.0], [-123.402, 39.972, 0.0], [-123.438, 40.03, 0.0], [-123.424, 40.077, 0.0], [-123.428, 40.092, 0.0], [-123.445, 40.155, 0.0], [-123.45, 40.171, 0.0]]"
44.0,7.85,0.00029,90.0,1.6,58.1,0.0,14.5,"[[-122.499, 38.997, 0.0], [-122.552, 39.047, 0.0], [-122.597, 39.09, 0.0], [-122.603, 39.097, 0.0], [-122.651, 39.149, 0.0], [-122.653, 39.152, 0.0], [-122.714, 39.19, 0.0], [-122.756, 39.216, 0.0], [-122.772, 39.235, 0.0], [-122.817, 39.289, 0.0], [-122.863, 39.342, 0.0], [-122.869, 39.35, 0.0], [-122.914, 39.393, 0.0], [-122.92, 39.398, 0.0], [-122.948, 39.451, 0.0], [-122.956, 39.466, 0.0], [-122.987, 39.507, 0.0], [-123.029, 39.562, 0.0], [-123.046, 39.583, 0.0], [-123.079, 39.613, 0.0], [-123.121, 39.65, 0.0], [-123.137, 39.659, 0.0], [-123.205, 39.696, 0.0], [-123.218, 39.703, 0.0], [-123.263, 39.742, 0.0], [-123.27, 39.748, 0.0], [-123.287, 39.802, 0.0], [-123.288, 39.805, 0.0], [-123.318, 39.862, 0.0], [-123.339, 39.9, 0.0], [-123.356, 39.919, 0.0], [-123.396, 39.963, 0.0], [-123.402, 39.972, 0.0], [-123.438, 40.03, 0.0], [-123.424, 40.077, 0.0], [-123.428, 40.092, 0.0], [-123.445, 40.155, 0.0], [-123.45, 40.171, 0.0]]"
54.0,6.25,0.000733,90.0,0.0,60.3,0.0,10.0,"[[-122.47, 38.225, 0.0], [-122.503, 38.259, 0.0], [-122.537, 38.292, 0.0], [-122.562, 38.33, 0.0]]"
55.0,6.25,0.000733,90.0,0.0,60.3,0.0,10.0,"[[-122.562, 38.33, 0.0], [-122.587, 38.368, 0.0], [-122.592, 38.376, 0.0], [-122.617, 38.403, 0.0], [-122.647, 38.435, 0.0], [-122.647, 38.438, 0.0]]"
