z,qt,fs,u2
0.1,0,0.000336,0
0.2,3.59,0.04227,0
0.3,3.221,0.1037,0
0.4,7.75,0.1436,0
0.5,4.999,0.0986,0
0.6,2.852,0.05737,0
0.7,2.281,0.04362,0
0.8,2.583,0.0141,0
0.9,2.852,0.03154,0
1,2.281,0.02651,0
1.1,2.114,0.0255,0
1.2,2.584,0.03188,0
1.3,2.147,0.02483,0
1.4,1.376,0.02584,0
1.5,1.242,0.03255,0
1.6,1.175,0.03725,0
1.7,1.376,0.04228,0
1.8,1.476,0.04564,0
1.9,1.443,0.05939,0
2,1.51,0.05335,0
2.1,1.812,0.0896,0
2.2,1.611,0.1101,0
2.3,1.443,0.0926,0
2.4,1.678,0.1033,0
2.5,1.846,0.1131,0
2.6,2.013,0.1329,0
2.7,2.584,0.1765,0
2.8,2.651,0.1882,0
2.9,2.517,0.1701,0
3,2.651,0.1718,0
3.1,2.651,0.1607,0
3.2,2.919,0.1496,0
3.3,2.785,0.1805,0
3.4,3.053,0.1657,0
3.5,3.188,0.1111,0
3.6,3.59,0.0832,0
3.7,3.456,0.06175,0
3.8,3.255,0.0852,0
3.9,3.322,0.1141,0
4,4.496,0.0718,0
4.1,5.2,0.106,0
4.2,5.804,0.0943,0
4.3,5.804,0.0802,0
4.4,6.475,0.1141,0
4.5,6.408,0.1044,0
4.6,6.542,0.105,0
4.7,7.01,0.1087,0
4.8,5.402,0.1335,0
4.9,3.791,0.0953,0
5,3.053,0.1215,0
5.1,2.819,0.1027,0
5.2,2.148,0.1094,0
5.3,2.718,0.1345,0
5.4,3.926,0.1335,0
5.5,3.255,0.1107,0
5.6,2.45,0.1265,0
5.7,2.316,0.1221,0
5.8,1.913,0.1033,0
5.9,1.544,0.0872,0
6,1.477,0.0926,0
6.1,1.343,0.0785,0
6.2,1.276,0.06041,0
6.3,1.511,0.0765,0
6.4,2.114,0.0849,0
6.5,2.248,0.096,0
6.6,2.114,0.106,0
6.7,2.785,0.0869,0
6.8,4.596,0.1443,0
6.9,3.456,0.1238,0
7,2.852,0.1248,0
7.1,2.617,0.1235,0
7.2,3.188,0.097,0
7.3,2.316,0.097,0
7.4,1.444,0.06545,0
7.5,1.846,0.06847,0
7.6,1.544,0.06947,0
7.7,1.444,0.0517,0
7.8,1.108,0.04231,0
7.9,1.108,0.04164,0
8,1.041,0.03292,0
8.1,1.008,0.02822,0
8.2,1.041,0.01916,0
8.3,0.974,0.03057,0
8.4,1.209,0.02319,0
8.5,1.746,0.03997,0
8.6,2.182,0.0507,0
8.7,1.645,0.03896,0
8.8,9.63,0.1805,0
8.9,3.557,0.1543,0
9,2.785,0.0752,0
9.1,2.987,0.02487,0
9.2,2.349,0.02924,0
9.3,4.261,0.2398,0
9.4,7.92,0.3784,0
9.5,8.65,0.3529,0
9.6,11.91,0.4468,0
9.7,10.5,0.4713,0
9.8,9.69,0.4025,0
9.9,8.99,0.373,0
