ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,NAME,TYPE,DIAMETER,DATE,WALLTHICK,ADHESION,AREA,DEPTH,SMYS,N_RAMBERG,R_RAMBERG,SOIL,PHI,SHEARSTREN,INTERFACE,GWT,PRESSURE,OBJ_ID,SUB_SEGMENT_ID,n_crossings_with_segment,def_poly_index_crossed,crossing_algo_index,freeface_dist_m,freeface_height_m,lh_ratio,which_half,l_anchor,crossing_lon,crossing_lat,prob_crossing,theta_rake,psi_dip,beta_crossing,event_id,slip_dir,pgdef_m,sigma,sigma_mu,dist_type,amu,bmu,ls_cond
5,-118.5020335060447,34.28381353056396,-118.5020335060447,34.28335735138684,-118.502033506,34.283585441,0.050725,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,5,1,1,19,521824.8395719808,2.5,208729.93582879234,upper,146.0,-118.50203350606168,34.283750128897665,1,45,45,17.5,4.0,160.0,0.1402,0.6,0.25,lognormal,0.524863771479486,-2.111563290376131,ground_slope
5,-118.5020335060447,34.28381353056396,-118.5020335060447,34.28335735138684,-118.502033506,34.283585441,0.050725,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,5,1,0,7,521824.8395719808,2.5,208729.93582879234,upper,146.0,-118.50203350606168,34.283750128897665,1,45,45,15.7,1.0,161.8,0.088,0.6,0.25,lognormal,1.448046598801863,-3.429439917211136,ground_slope
16,-118.50203949379105,34.28024495250611,-118.50205177269314,34.27935111706571,-118.5020456332,34.2797980348,0.099396,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,5,1,0,5,522187.6728772907,2.5,208875.06915091627,lower,14.5,-118.50204998111514,34.27948154006449,1,45,45,163.7,1.0,161.8,0.088,0.6,0.25,lognormal,1.448046598801863,-3.429439917211136,ground_slope
16,-118.50203949379105,34.28024495250611,-118.50205177269314,34.27935111706571,-118.5020456332,34.2797980348,0.099396,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,5,1,1,17,522187.6728772907,2.5,208875.06915091627,lower,14.5,-118.50204998111514,34.27948154006449,1,45,45,161.9,4.0,160.0,0.1402,0.6,0.25,lognormal,0.524863771479486,-2.111563290376131,ground_slope
22,-118.50197536926548,34.283914097826724,-118.50198633840532,34.28310883988562,-118.5019808538,34.2835114689,0.089546,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,4,1,1,21,521832.37653859844,2.5,208732.9506154394,upper,236.2,-118.50197828522346,34.28370004164218,1,45,45,18.1,4.0,160.0,0.1402,0.6,0.25,lognormal,0.524863771479486,-2.111563290376131,ground_slope
22,-118.50197536926548,34.283914097826724,-118.50198633840532,34.28310883988562,-118.5019808538,34.2835114689,0.089546,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,4,1,0,9,521832.37653859844,2.5,208732.9506154394,upper,236.2,-118.50197828522346,34.28370004164218,1,45,45,16.3,1.0,161.8,0.088,0.6,0.25,lognormal,1.448046598801863,-3.429439917211136,ground_slope
28,-118.50207866251624,34.27974866918737,-118.50208083427576,34.27895342680336,-118.5020797484,34.279351048,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,10,1,0,3,522187.65752231225,2.5,208875.0630089249,lower,144.8,-118.502079447488,34.279461270948524,1,45,45,164.2,1.0,161.8,0.088,0.6,0.25,lognormal,1.448046598801863,-3.429439917211136,ground_slope
28,-118.50207866251624,34.27974866918737,-118.50208083427576,34.27895342680336,-118.5020797484,34.279351048,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,10,1,1,15,522187.65752231225,2.5,208875.0630089249,lower,144.8,-118.502079447488,34.279461270948524,1,45,45,162.4,4.0,160.0,0.1402,0.6,0.25,lognormal,0.524863771479486,-2.111563290376131,ground_slope
33,-118.50217005235956,34.28388874260929,-118.50217721569902,34.2830670785849,-118.502173634,34.2834779106,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,4,1,0,10,521806.1852889434,2.5,208722.47411557735,upper,247.9,-118.50217018005313,34.28387409670631,1,45,45,16.1,1.0,161.8,0.088,0.6,0.25,lognormal,1.448046598801863,-3.429439917211136,ground_slope
33,-118.50217005235956,34.28388874260929,-118.50217721569902,34.2830670785849,-118.502173634,34.2834779106,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,4,1,1,22,521806.1852889434,2.5,208722.47411557735,upper,247.9,-118.50217018005313,34.28387409670631,1,45,45,17.9,4.0,160.0,0.1402,0.6,0.25,lognormal,0.524863771479486,-2.111563290376131,ground_slope
