FID,event_id,slip_dir,pgdef_m,sigma,sigma_mu,dist_type,ls_cond,amu,bmu
0,14.0,173.6,0.2073,0.6,0.25,lognormal,ground_slope,3.8118481465375518,-2.437086452352679
1,185.0,174.6,0.1308,0.6,0.25,lognormal,ground_slope,8.654572440596608,-3.2350311088125827
2,186.0,165.0,0.2503,0.6,0.25,lognormal,ground_slope,3.493880908688133,-3.165167934758962
3,439.0,174.6,0.1493,0.6,0.25,lognormal,ground_slope,6.7013211903068175,-2.9748817674439993
4,654.0,167.0,0.257,0.6,0.25,lognormal,ground_slope,31.892652499519063,-4.007814524403239
5,717.0,173.6,0.2769,0.6,0.25,lognormal,ground_slope,1.7466596535414358,-1.8436728574178538
6,718.0,162.3,0.1695,0.6,0.25,lognormal,ground_slope,1.4162018630155613,-2.613813801285005
7,1014.0,174.6,0.1664,0.6,0.25,lognormal,ground_slope,9.260500194703836,-3.3917619183759746
8,1015.0,173.6,0.3188,0.6,0.25,lognormal,ground_slope,0.7139016539911547,-1.4444435705418057
9,1129.0,166.0,0.2529,0.6,0.25,lognormal,ground_slope,6.9895285468625845,-3.313430678756472
10,1130.0,173.6,0.2003,0.6,0.25,lognormal,ground_slope,3.2168817398374006,-2.32434850449777
11,1131.0,174.6,0.1463,0.6,0.25,lognormal,ground_slope,8.525970461060455,-3.2351705233126453
12,1132.0,167.0,0.2545,0.6,0.25,lognormal,ground_slope,3.014912666102872,-3.671088817898702
13,1133.0,173.6,0.3173,0.6,0.25,lognormal,ground_slope,0.8169405127547338,-1.4814850989025565
14,1162.0,173.6,0.2549,0.6,0.25,lognormal,ground_slope,1.6144410345182838,-1.8509661539883753
15,1238.0,173.6,0.2557,0.6,0.25,lognormal,ground_slope,1.590036326807657,-1.8428186015305106
