ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,NAME,TYPE,DIAMETER,DATE,WALLTHICK,ADHESION,AREA,DEPTH,SMYS,N_RAMBERG,R_RAMBERG,SOIL,PHI,SHEARSTREN,INTERFACE,GWT,PRESSURE,OBJ_ID,SUB_SEGMENT_ID,n_crossings_with_segment,def_poly_index_crossed,crossing_algo_index,freeface_dist_m,freeface_height_m,lh_ratio,which_half,l_anchor,crossing_lon,crossing_lat,prob_crossing,theta_rake,psi_dip,beta_crossing,event_id,slip_dir,pgdef_m,sigma,sigma_mu,dist_type,amu,bmu,ls_cond
3,-118.50203025383112,34.28496026781163,-118.5020335060447,34.28426970974109,-118.5020318799,34.2846149888,0.076787,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,3,1,9,77,521745.36285771476,2.5,208698.14514308592,upper,184.1,-118.50203155375314,34.28468426708964,1,45,45,11.7,1129.0,166.0,0.2529,0.6,0.25,lognormal,6.989528546862585,-3.313430678756472,ground_slope
3,-118.50203025383112,34.28496026781163,-118.5020335060447,34.28426970974109,-118.5020318799,34.2846149888,0.076787,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,3,1,4,38,521745.36285771476,2.5,208698.14514308592,upper,184.1,-118.50203155375314,34.28468426708964,1,45,45,10.7,654.0,167.0,0.257,0.6,0.25,lognormal,31.892652499519063,-4.007814524403239,ground_slope
3,-118.50203025383112,34.28496026781163,-118.5020335060447,34.28426970974109,-118.5020318799,34.2846149888,0.076787,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,3,1,2,22,521745.36285771476,2.5,208698.14514308592,upper,184.1,-118.50203155375314,34.28468426708964,1,45,45,12.7,186.0,165.0,0.2503,0.6,0.25,lognormal,3.493880908688133,-3.165167934758962,ground_slope
3,-118.50203025383112,34.28496026781163,-118.5020335060447,34.28426970974109,-118.5020318799,34.2846149888,0.076787,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,3,1,6,54,521745.36285771476,2.5,208698.14514308592,upper,184.1,-118.50203155375314,34.28468426708964,1,45,45,15.4,718.0,162.3,0.1695,0.6,0.25,lognormal,1.416201863015561,-2.613813801285005,ground_slope
3,-118.50203025383112,34.28496026781163,-118.5020335060447,34.28426970974109,-118.5020318799,34.2846149888,0.076787,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,3,1,12,100,521745.36285771476,2.5,208698.14514308592,upper,184.1,-118.50203155375314,34.28468426708964,1,45,45,10.7,1132.0,167.0,0.2545,0.6,0.25,lognormal,3.014912666102872,-3.671088817898702,ground_slope
16,-118.50203949379105,34.28024495250611,-118.50205177269314,34.27935111706571,-118.5020456332,34.2797980348,0.099396,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,5,1,5,44,522176.3214960915,2.5,208870.5285984366,upper,14.7,-118.50204813436852,34.27961597702361,1,45,45,4.5,717.0,173.6,0.2769,0.6,0.25,lognormal,1.746659653541436,-1.843672857417854,ground_slope
16,-118.50203949379105,34.28024495250611,-118.50205177269314,34.27935111706571,-118.5020456332,34.2797980348,0.099396,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,5,1,15,120,522176.3214960915,2.5,208870.5285984366,upper,14.7,-118.50204813436852,34.27961597702361,1,45,45,4.5,1238.0,173.6,0.2557,0.6,0.25,lognormal,1.590036326807657,-1.842818601530511,ground_slope
16,-118.50203949379105,34.28024495250611,-118.50205177269314,34.27935111706571,-118.5020456332,34.2797980348,0.099396,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,5,1,8,67,522176.3214960915,2.5,208870.5285984366,upper,14.7,-118.50204813436852,34.27961597702361,1,45,45,4.5,1015.0,173.6,0.3188,0.6,0.25,lognormal,0.713901653991155,-1.444443570541806,ground_slope
16,-118.50203949379105,34.28024495250611,-118.50205177269314,34.27935111706571,-118.5020456332,34.2797980348,0.099396,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,5,1,1,12,522176.3214960915,2.5,208870.5285984366,upper,14.7,-118.50204813436852,34.27961597702361,1,45,45,3.5,185.0,174.6,0.1308,0.6,0.25,lognormal,8.654572440596608,-3.235031108812583,ground_slope
16,-118.50203949379105,34.28024495250611,-118.50205177269314,34.27935111706571,-118.5020456332,34.2797980348,0.099396,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,5,1,10,83,522176.3214960915,2.5,208870.5285984366,upper,14.7,-118.50204813436852,34.27961597702361,1,45,45,4.5,1130.0,173.6,0.2003,0.6,0.25,lognormal,3.216881739837401,-2.32434850449777,ground_slope
16,-118.50203949379105,34.28024495250611,-118.50205177269314,34.27935111706571,-118.5020456332,34.2797980348,0.099396,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,5,1,7,60,522176.3214960915,2.5,208870.5285984366,upper,14.7,-118.50204813436852,34.27961597702361,1,45,45,3.5,1014.0,174.6,0.1664,0.6,0.25,lognormal,9.260500194703836,-3.391761918375975,ground_slope
16,-118.50203949379105,34.28024495250611,-118.50205177269314,34.27935111706571,-118.5020456332,34.2797980348,0.099396,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,5,1,11,90,522176.3214960915,2.5,208870.5285984366,upper,14.7,-118.50204813436852,34.27961597702361,1,45,45,3.5,1131.0,174.6,0.1463,0.6,0.25,lognormal,8.525970461060455,-3.235170523312645,ground_slope
16,-118.50203949379105,34.28024495250611,-118.50205177269314,34.27935111706571,-118.5020456332,34.2797980348,0.099396,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,5,1,14,113,522176.3214960915,2.5,208870.5285984366,upper,14.7,-118.50204813436852,34.27961597702361,1,45,45,4.5,1162.0,173.6,0.2549,0.6,0.25,lognormal,1.614441034518284,-1.850966153988375,ground_slope
16,-118.50203949379105,34.28024495250611,-118.50205177269314,34.27935111706571,-118.5020456332,34.2797980348,0.099396,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,5,1,0,5,522176.3214960915,2.5,208870.5285984366,upper,14.7,-118.50204813436852,34.27961597702361,1,45,45,4.5,14.0,173.6,0.2073,0.6,0.25,lognormal,3.811848146537552,-2.437086452352679,ground_slope
16,-118.50203949379105,34.28024495250611,-118.50205177269314,34.27935111706571,-118.5020456332,34.2797980348,0.099396,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,5,1,13,106,522176.3214960915,2.5,208870.5285984366,upper,14.7,-118.50204813436852,34.27961597702361,1,45,45,4.5,1133.0,173.6,0.3173,0.6,0.25,lognormal,0.816940512754734,-1.481485098902557,ground_slope
16,-118.50203949379105,34.28024495250611,-118.50205177269314,34.27935111706571,-118.5020456332,34.2797980348,0.099396,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,5,1,3,28,522176.3214960915,2.5,208870.5285984366,upper,14.7,-118.50204813436852,34.27961597702361,1,45,45,3.5,439.0,174.6,0.1493,0.6,0.25,lognormal,6.701321190306817,-2.974881767443999,ground_slope
17,-118.50205177269314,34.27935111706571,-118.50140306405444,34.279355010182684,-118.5017274184,34.2793530636,0.059605,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,6,1,8,68,522215.9106004907,2.5,208886.36424019627,upper,13.5,-118.50175808437547,34.279352880014855,1,45,45,93.4,1015.0,173.6,0.3188,0.6,0.25,lognormal,0.713901653991155,-1.444443570541806,ground_slope
