,5th_eps_pipe_tens,16th_eps_pipe_tens,50th_eps_pipe_tens,84th_eps_pipe_tens,95th_eps_pipe_tens,mean_eps_pipe_tens
segment_1,0.0,0.0,0.0,0.0,0.0,0.0
segment_2,0.0,0.0,0.0,0.0,0.0,0.0
segment_3,0.0,0.0,0.0,0.0,0.0,0.0
segment_4,0.0,0.0,0.0,0.0,0.0,0.0
segment_5,0.0,0.0,7.155e-06,0.0003214,0.0007005,0.0001412
segment_6,0.0,0.0,0.0,0.0,0.0,0.0
segment_7,0.0,0.0,0.0,0.0,0.0,0.0
segment_8,0.0,0.0,0.0,0.0,0.0,0.0
segment_9,0.0,0.0,0.0,0.0,0.0,0.0
segment_10,0.0,0.0,0.0,0.0,0.0,0.0
segment_11,0.0,0.0,0.0,0.0,0.0,0.0
segment_12,0.0,0.0,0.0,0.0,0.0,0.0
segment_13,0.0,0.0,0.0,0.0,0.0,0.0
segment_14,0.0,0.0,0.0,0.0,0.0,0.0
segment_15,0.0,0.0,0.0,0.0,0.0,0.0
segment_16,0.0,0.0,2.983e-07,1.287e-05,2.826e-05,5.669e-06
segment_17,0.0,0.0,1.322e-07,1.109e-05,2.543e-05,5.061e-06
segment_18,0.0,0.0,0.0,0.0,0.0,0.0
segment_19,0.0,0.0,0.0,0.0,0.0,0.0
segment_20,0.0,0.0,0.0,0.0,0.0,0.0
segment_21,0.0,0.0,0.0,0.0,0.0,0.0
segment_22,0.0,0.0,7.317e-06,0.0003177,0.0006936,0.0001398
segment_23,0.0,0.0,0.0,0.0,0.0,0.0
segment_24,0.0,0.0,0.0,0.0,0.0,0.0
segment_25,0.0,0.0,0.0,0.0,0.0,0.0
segment_26,0.0,0.0,0.0,0.0,0.0,0.0
segment_27,0.0,0.0,7.064e-06,0.000239,0.0005091,0.0001036
segment_28,0.0,0.0,2.674e-07,1.274e-05,2.802e-05,5.626e-06
segment_29,0.0,0.0,0.0,0.0,0.0,0.0
segment_30,0.0,0.0,0.0,0.0,0.0,0.0
segment_31,0.0,0.0,0.0,0.0,0.0,0.0
segment_32,0.0,0.0,0.0,0.0,0.0,0.0
segment_33,0.0,0.0,3.556e-06,0.0002787,0.0006316,0.0001262
segment_34,0.0,0.0,0.0,0.0,0.0,0.0
segment_35,0.0,0.0,0.0,0.0,0.0,0.0
segment_36,0.0,0.0,0.0,0.0,0.0,0.0
segment_37,0.0,0.0,2.76e-06,0.0002022,0.0004533,9.087e-05
segment_38,0.0,0.0,1.504e-07,1.127e-05,2.563e-05,5.113e-06
segment_39,0.0,0.0,0.0,0.0,0.0,0.0
segment_40,0.0,0.0,0.0,0.0,0.0,0.0
segment_41,0.0,0.0,0.0,0.0,0.0,0.0
segment_42,0.0,0.0,0.0,4.62e-05,0.0001149,2.23e-05
segment_43,0.0,0.0,2.342e-06,0.0002674,0.0006157,0.0001224
segment_44,0.0,0.0,0.0,0.0,0.0,0.0
segment_45,0.0,0.0,0.0,0.0,0.0,0.0
segment_46,0.0,0.0,0.0,0.0,0.0,0.0
segment_47,0.0,0.0,2.771e-06,0.0001971,0.0004464,8.918e-05
segment_48,0.0,0.0,7.1e-08,1.074e-05,2.491e-05,4.941e-06
segment_49,0.0,0.0,0.0,0.0,0.0,0.0
segment_50,0.0,0.0,0.0,0.0,0.0,0.0
segment_51,0.0,0.0,0.0,0.0,0.0,0.0
segment_52,0.0,0.0,0.0,0.0,0.0,0.0
segment_53,0.0,0.0,0.0,0.0,0.0,0.0
segment_54,0.0,0.0,0.0,0.0,0.0,0.0
segment_55,0.0,0.0,0.0,0.0,0.0,0.0
segment_56,0.0,0.0,0.0,0.0,0.0,0.0
segment_57,0.0,0.0,0.0,0.0,0.0,0.0
segment_58,0.0,0.0,0.0,0.0,0.0,0.0
segment_59,0.0,0.0,0.0,0.0,0.0,0.0
segment_60,0.0,0.0,0.0,0.0,0.0,0.0
segment_61,0.0,0.0,0.0,0.0,0.0,0.0
segment_62,0.0,0.0,0.0,0.0,0.0,0.0
segment_63,0.0,0.0,1.561e-06,0.0002627,0.0006073,0.0001207
segment_64,0.0,0.0,0.0,0.0,0.0,0.0
segment_65,0.0,0.0,0.0,0.0,0.0,0.0
segment_66,0.0,0.0,0.0,0.0,0.0,0.0
segment_67,0.0,0.0,2.436e-06,0.0001937,0.0004405,8.798e-05
segment_68,0.0,0.0,3.142e-08,1.056e-05,2.459e-05,4.876e-06
segment_69,0.0,0.0,0.0,0.0,0.0,0.0
segment_70,0.0,0.0,0.0,0.0,0.0,0.0
segment_71,0.0,0.0,0.0,0.0,0.0,0.0
segment_72,0.0,0.0,0.0,0.0,0.0,0.0
segment_73,0.0,0.0,0.0,0.0,0.0,0.0
segment_74,0.0,0.0,0.0,0.0,0.0,0.0
segment_75,0.0,0.0,0.0,0.0,0.0,0.0
segment_76,0.0,0.0,0.0,0.0,0.0,0.0
segment_77,0.0,0.0,0.0,0.0,0.0,0.0
segment_78,0.0,0.0,0.0,0.0,0.0,0.0
segment_79,0.0,0.0,0.0,0.0,0.0,0.0
