z,qt,fs,u2
0.1,10.84,0.0542,0
0.2,10.84,0.1639,0
0.3,8.39,0.1442,0
0.4,4.917,0.093,0
0.5,4.014,0.1455,0
0.6,3.646,0.1418,0
0.7,2.342,0.05621,0
0.8,1.706,0.03514,0
0.9,1.639,0.0703,0
1,1.506,0.05186,0
1.1,2.074,0.04684,0
1.2,2.475,0.05955,0
1.3,2.475,0.0709,0
1.4,2.174,0.0806,0
1.5,2.208,0.06691,0
1.6,2.944,0.05687,0
1.7,3.144,0.04216,0
1.8,2.509,0.04617,0
1.9,2.576,0.05186,0
2,2.643,0.04784,0
2.1,2.71,0.04885,0
2.2,2.91,0.05621,0
2.3,2.81,0.06423,0
2.4,3.345,0.0709,0
2.5,3.746,0.105,0
2.6,3.88,0.0907,0
2.7,3.847,0.094,0
2.8,3.479,0.0957,0
2.9,4.148,0.101,0
3,4.582,0.1187,0
3.1,4.883,0.1214,0
3.2,4.816,0.1361,0
3.3,5.218,0.1766,0
3.4,4.114,0.1522,0
3.5,4.148,0.1311,0
3.6,4.449,0.1314,0
3.7,4.616,0.1375,0
3.8,4.649,0.1442,0
3.9,4.75,0.1254,0
4,4.783,0.1181,0
4.1,5.017,0.1077,0
4.2,5.686,0.1124,0
4.3,4.816,0.107,0
4.4,4.181,0.0907,0
4.5,4.214,0.0893,0
4.6,4.214,0.0856,0
4.7,4.014,0.095,0
4.8,3.813,0.081,0
4.9,3.88,0.0876,0
5,3.88,0.0803,0
5.1,3.847,0.0763,0
5.2,3.746,0.0749,0
5.3,3.546,0.0649,0
5.4,3.412,0.06122,0
5.5,3.211,0.06891,0
5.6,3.345,0.0763,0
5.7,4.014,0.097,0
5.8,4.75,0.083,0
5.9,4.683,0.0813,0
6,5.485,0.0743,0
6.1,2.843,0.094,0
6.2,2.007,0.081,0
6.3,2.007,0.0853,0
6.4,2.275,0.0876,0
6.5,1.974,0.0917,0
6.6,2.107,0.0977,0
6.7,1.84,0.0759,0
6.8,1.907,0.0876,0
6.9,1.439,0.06457,0
7,1.205,0.04015,0
7.1,1.238,0.04082,0
7.2,1.305,0.04483,0
7.3,1.372,0.05286,0
7.4,1.439,0.05152,0
7.5,1.372,0.06423,0
7.6,1.338,0.03547,0
7.7,1.338,0.03213,0
7.8,1.138,0.02778,0
7.9,1.071,0.01942,0
8,1.439,0.0348,0
8.1,2.174,0.06691,0
8.2,1.004,0.03012,0
8.3,0.636,0.00804,0
8.4,0.703,0.001683,0
8.5,0.736,0.00068,0
8.6,0.97,0.00369,0
8.7,1.171,0.004693,0
8.8,1.238,0.01204,0
8.9,1.706,0.01672,0
9,1.773,0.0759,0
9.1,5.418,0.1057,0
9.2,10.47,0.06288,0
9.3,10.94,0.091,0
9.4,8.03,0.0806,0
9.5,3.746,0.05552,0
9.6,1.505,0.02007,0
9.7,2.074,0.02876,0
9.8,3.144,0.0709,0
9.9,2.575,0.05218,0
10,7.59,0.2027,0
10.1,8.46,0.1408,0
10.2,10.87,0.2054,0
10.3,14.18,0.1873,0
