CPT_Name,CPT_Date,UTM_x,UTM_y,Datum,Longitude,Latitude,Datum.1,Mean GWT,utm_x,utm_y,CA_WaterTableDepth_[m],CA_Slope_[deg],DEM_[m],FreefaceDist_[m],LH_Ratio
LAC041,4/12/1995,361780,3794451,NAD 27 UTM Zone 11 N,-118.502693,34.283897,WGS84,9.0,914086.2516807207,3802800.1919000805,9.0,1.7443727254867554,333.53633324048633,521773.2836764152,1564.3671518694975
LAC042,4/12/1995,361781,3794385,NAD 27 UTM Zone 11 N,-118.502682,34.283302,WGS84,9.4,914090.1916951013,3802734.186587114,9.4,1.5778566598892212,332.93686789443717,521824.6381883701,1567.338100729123
LAC043,4/12/1995,361779,3794357,NAD 27 UTM Zone 11 N,-118.502699,34.283049,WGS84,9.1,914089.869570697,3802706.031965026,9.1,1.6681408882141113,332.18723079163124,521845.192598275,1570.9369422619654
LAC044,4/12/1995,361779,3794340,NAD 27 UTM Zone 11 N,-118.502697,34.282896,WGS84,8.5,914090.8063568007,3802689.0557882506,8.5,1.6681408882141113,331.30665467186844,521858.34992733935,1575.1520308102367
LAC047,4/13/1995,361778,3794297,NAD 27 UTM Zone 11 N,-118.5027,34.282508,WGS84,8.2,914092.4382000524,3802645.97213884,8.2,1.609433889389038,330.4754479434928,521891.23949075217,1579.2133507599908
LAC048,4/13/1995,361778,3794274,NAD 27 UTM Zone 11 N,-118.502697,34.2823,WGS84,7.9,914093.7376230625,3802622.8945629587,7.9,1.609433889389038,329.889567121042,521909.1443400887,1582.0722943584074
LAC049,4/13/1995,361777,3794244,NAD 27 UTM Zone 11 N,-118.502703,34.28203,WGS84,7.9,914094.512656081,3802592.8977019177,7.9,1.5607753992080688,328.94424093481643,521931.8012839599,1586.6877614294085
LAC051,4/13/1995,361777,3794146,NAD 27 UTM Zone 11 N,-118.502687,34.281146,WGS84,7.2,914100.3346031532,3802494.8312766254,7.2,1.2180454730987549,326.66379710683316,522008.09605377,1597.9980049122212
LAC053,4/14/1995,361776,3794077,NAD 27 UTM Zone 11 N,-118.502709,34.280524,WGS84,7.6,914101.3663675878,3802425.6940186117,7.6,1.8248696327209473,324.4997996132319,522059.8152018045,1608.8139833184564
LAC054,4/14/1995,361776,3794061,NAD 27 UTM Zone 11 N,-118.502706,34.28038,WGS84,8.2,914102.3509949639,3802409.721005421,8.2,1.8248696327209473,323.65904890785373,522072.26816732256,1613.0315834795565
LAC055,5/12/1995,361776,3794048,NAD 27 UTM Zone 11 N,-118.502704,34.280262,WGS84,8.4,914103.1156067668,3802396.630137504,8.4,1.4624578952789307,323.65904890785373,522082.4457074454,1613.0630287308393
LAC057,4/14/1995,361775,3794002,NAD 27 UTM Zone 11 N,-118.502697,34.279848,WGS84,10.7,914105.7966562081,3802350.70109163,10.7,1.453511118888855,322.29906928324317,522118.1533741634,1619.98033235186
LAC058,4/14/1995,361775,3793886,NAD 27 UTM Zone 11 N,-118.502679,34.278838,WGS84,9.0,914112.4223433699,3802238.6557406415,9.0,2.114842653274536,320.7727290048935,522205.3275760628,1627.9604852820776
