ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,NAME,TYPE,DIAMETER,DATE,WALLTHICK,ADHESION,AREA,DEPTH,SMYS,N_RAMBERG,R_RAMBERG,SOIL,PHI,SHEARSTREN,INTERFACE,GWT,PRESSURE,OBJ_ID,SUB_SEGMENT_ID,n_crossings_with_segment,def_poly_index_crossed,crossing_algo_index,freeface_dist_m,freeface_height_m,lh_ratio,which_half,l_anchor,crossing_lon,crossing_lat,prob_crossing,psi_dip,beta_crossing,event_id,slip_dir,pgdef_m,sigma,sigma_mu,dist_type,amu,bmu,ls_cond
5,-118.5020335060447,34.28381353056396,-118.5020335060447,34.28335735138684,-118.502033506,34.283585441,0.050725,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,5,1,0,2,521824.8395719808,2.5,208729.93582879234,upper,146.0,-118.50203350606168,34.283750128897665,1,45,13.2,1,164.3,0.1831,0.6,0.25,lognormal,7.674806132511358,-3.158732524383445,ground_slope
5,-118.5020335060447,34.28381353056396,-118.5020335060447,34.28335735138684,-118.502033506,34.283585441,0.050725,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,5,1,1,9,521824.8395719808,2.5,208729.93582879234,upper,146.0,-118.50203350606168,34.283750128897665,1,45,13.7,4,163.8,0.2373,0.6,0.25,lognormal,0.507478387868506,-1.767585458248829,ground_slope
17,-118.50205177269314,34.27935111706571,-118.50140306405444,34.279355010182684,-118.5017274184,34.2793530636,0.059605,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,6,1,0,0,522225.12790367333,2.5,208890.05116146934,lower,20.8,-118.50160093499949,34.27935382305894,1,45,102.7,1,164.3,0.1831,0.6,0.25,lognormal,7.674806132511358,-3.158732524383445,ground_slope
17,-118.50205177269314,34.27935111706571,-118.50140306405444,34.279355010182684,-118.5017274184,34.2793530636,0.059605,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,6,1,1,7,522225.12790367333,2.5,208890.05116146934,lower,20.8,-118.50160093499949,34.27935382305894,1,45,103.2,4,163.8,0.2373,0.6,0.25,lognormal,0.507478387868506,-1.767585458248829,ground_slope
22,-118.50197536926548,34.283914097826724,-118.50198633840532,34.28310883988562,-118.5019808538,34.2835114689,0.089546,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,4,1,0,4,521832.37653859844,2.5,208732.9506154394,upper,292.2,-118.50197828522346,34.28370004164218,1,45,13.8,1,164.3,0.1831,0.6,0.25,lognormal,7.674806132511358,-3.158732524383445,ground_slope
22,-118.50197536926548,34.283914097826724,-118.50198633840532,34.28310883988562,-118.5019808538,34.2835114689,0.089546,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,4,1,1,11,521832.37653859844,2.5,208732.9506154394,upper,292.2,-118.50197828522346,34.28370004164218,1,45,14.3,4,163.8,0.2373,0.6,0.25,lognormal,0.507478387868506,-1.767585458248829,ground_slope
33,-118.50217005235956,34.28388874260929,-118.50217721569902,34.2830670785849,-118.502173634,34.2834779106,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,4,1,0,5,521806.1852889434,2.5,208722.47411557735,upper,275.5,-118.50217018005313,34.28387409670631,1,45,13.6,1,164.3,0.1831,0.6,0.25,lognormal,7.674806132511358,-3.158732524383445,ground_slope
33,-118.50217005235956,34.28388874260929,-118.50217721569902,34.2830670785849,-118.502173634,34.2834779106,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,4,1,1,12,521806.1852889434,2.5,208722.47411557735,upper,275.5,-118.50217018005313,34.28387409670631,1,45,14.1,4,163.8,0.2373,0.6,0.25,lognormal,0.507478387868506,-1.767585458248829,ground_slope
42,-118.50224082063222,34.28470451485083,-118.5022494175644,34.28388335052782,-118.5022451191,34.2842939327,0.091313,Old Line 120,Gas Transmission,560,1930,7.1,0.7,12333,1.3,308000,8.0,50.0,Clay,,48.0,,7.5,1300,5,3,1,0,6,521795.4590167753,2.5,208718.1836067101,upper,266.9,-118.50224876821885,34.28394537853943,1,45,13.7,1,164.3,0.1831,0.6,0.25,lognormal,7.674806132511358,-3.158732524383445,ground_slope
42,-118.50224082063222,34.28470451485083,-118.5022494175644,34.28388335052782,-118.5022451191,34.2842939327,0.091313,Old Line 120,Gas Transmission,560,1930,7.1,0.7,12333,1.3,308000,8.0,50.0,Clay,,48.0,,7.5,1300,5,3,1,1,13,521795.4590167753,2.5,208718.1836067101,upper,266.9,-118.50224876821885,34.28394537853943,1,45,14.2,4,163.8,0.2373,0.6,0.25,lognormal,0.507478387868506,-1.767585458248829,ground_slope
