Name,Description,From Model,Source,Distribution Type,Mean or Median,Sigma,CoV,Distribution Min,Distribution Max
d_pipe,pipe diameter,,From infrastructure table or enter value,normal,DIAMETER,0,,,
t_pipe,pipe wall thickness,,From infrastructure table or enter value,normal,0.25,0,,,
sigma_y,,,Preferred,,,,,,
n_param,,,Preferred,,,,,,
r_param,,,Preferred,,,,,,
alpha_backfill,adhesion factor for clay,,From infrastructure table or enter value,normal,0.75,0.1,,0.5,1
s_u_backfill,undrained shear strength,,From infrastructure table or enter value,lognormal,40,,25,0.1,
gamma_backfill,total unit weight of backfill soil,,From infrastructure table or enter value,lognormal,19,,5,16,21.5
h_pipe,soil cover to centerline of pipeline,,From infrastructure table or enter value,lognormal,1.2,,10,0.6,6
phi_backfill,backfill friction angle,,From infrastructure table or enter value,lognormal,38,,9,30,50
delta_backfill,sand/pipe interface friction angle ratio,,From infrastructure table or enter value,normal,0.75,0.1,,0.5,1
op_press,pipe internal operating pressure,,From infrastructure table or enter value,lognormal,8200,,10,0,13800
l_anchor,,,Preferred,,,,,,
beta_crossing,,,Preferred,,,,,,
psi_dip,,,Preferred,,,,,,
slope,,,From infrastructure table or enter value,lognormal,1.2,,5,,
gw_depth,,,From infrastructure table or enter value,lognormal,Mean GWT,1.1,,3,15
