FID,event_id,slip_dir,pgdef_m,sigma,sigma_mu,dist_type,ls_cond,amu,bmu
0,9.0,179.5,0.0692,0.6,0.25,lognormal,ground_slope,24.451081337957916,-4.755174937761126
1,13.0,166.2,0.1791,0.6,0.25,lognormal,ground_slope,18.73493887639971,-4.403102656626637
2,14.0,162.4,0.8007,0.6,0.25,lognormal,ground_slope,2.951370993280133,-2.460854416300286
3,185.0,162.4,0.6364,0.6,0.25,lognormal,ground_slope,4.822632487235963,-3.288763466497442
4,186.0,162.4,1.2268,0.6,0.25,lognormal,ground_slope,0.8445979306466578,-0.826021730667305
5,438.0,169.6,0.1167,0.6,0.25,lognormal,ground_slope,5.042117760409114,-3.6424828789625026
6,439.0,162.4,0.6782,0.6,0.25,lognormal,ground_slope,4.354957609152324,-3.1383772619498407
7,620.0,173.9,0.1039,0.6,0.25,lognormal,ground_slope,8.465144659101451,-3.976739709100052
8,654.0,162.4,1.1852,0.6,0.25,lognormal,ground_slope,0.767166815829077,-0.7516019775239499
9,716.0,166.2,0.1642,0.6,0.25,lognormal,ground_slope,20.281190297627692,-4.457899341009895
10,717.0,162.4,1.0494,0.6,0.25,lognormal,ground_slope,0.8234133937656458,-0.838168139283499
11,718.0,162.4,1.3014,0.6,0.25,lognormal,ground_slope,0.4303261392313443,-0.3189234724460635
12,724.0,163.9,0.2321,0.6,0.25,lognormal,ground_slope,14.337925848536232,-3.7178044155410253
13,958.0,179.5,0.0602,0.6,0.25,lognormal,ground_slope,41.96758767786641,-4.983271413461339
14,1011.0,167.8,0.1311,0.6,0.25,lognormal,ground_slope,61.87061824057068,-4.385161647507877
15,1012.0,171.4,0.1018,0.6,0.25,lognormal,ground_slope,6.32072510042531,-3.8257980500014863
16,1014.0,162.4,0.7138,0.6,0.25,lognormal,ground_slope,3.9304064243956653,-2.9568054081735538
17,1015.0,162.4,1.0998,0.6,0.25,lognormal,ground_slope,0.725136555583307,-0.6973195900309901
18,1121.0,166.0,0.2018,0.6,0.25,lognormal,ground_slope,16.340312476571025,-4.15314857584435
19,1122.0,162.4,0.2378,0.6,0.25,lognormal,ground_slope,13.052179009220998,-3.741915837263636
20,1129.0,162.4,1.2156,0.6,0.25,lognormal,ground_slope,0.7535610555185281,-0.7264664489037105
21,1130.0,162.4,0.862,0.6,0.25,lognormal,ground_slope,2.1501301253400302,-1.9262450663238535
22,1131.0,162.4,0.7246,0.6,0.25,lognormal,ground_slope,3.761745015246547,-2.8955952052854683
23,1132.0,162.4,1.1634,0.6,0.25,lognormal,ground_slope,0.8537664880792117,-0.8485123944964442
24,1133.0,162.4,1.1252,0.6,0.25,lognormal,ground_slope,0.592250172464813,-0.549474151851098
25,1161.0,164.4,0.2181,0.6,0.25,lognormal,ground_slope,14.784550651718588,-3.7154170037175698
26,1162.0,162.4,0.9924,0.6,0.25,lognormal,ground_slope,1.1560091785798887,-1.1444721827822708
27,1237.0,162.4,0.3403,0.6,0.25,lognormal,ground_slope,7.486594303745529,-3.3305420958191503
28,1238.0,162.4,0.9868,0.6,0.25,lognormal,ground_slope,1.2588125538424364,-1.2420401994338144
