,5th_eps_pipe_tens,16th_eps_pipe_tens,50th_eps_pipe_tens,84th_eps_pipe_tens,95th_eps_pipe_tens,mean_eps_pipe_tens
segment_1,0.0,0.0,0.0,0.0,0.0,0.0
segment_2,0.0,0.0,0.0,0.0,0.0,0.0
segment_3,0.0,0.0,0.0,0.0,0.0,0.0
segment_4,0.0,0.0,0.0,0.0,0.0,0.0
segment_5,0.0,0.0,0.0,0.0,0.0,0.0
segment_6,0.0,0.0,0.0,0.0,0.0,0.0
segment_7,0.0,0.0,0.0,0.0,0.0,0.0
segment_8,0.0,0.0,0.0,0.0,0.0,0.0
segment_9,0.0,0.0,0.0,0.0,0.0,0.0
segment_10,0.0,0.0,0.0,0.0,0.0,0.0
segment_11,0.0,0.0,0.0,0.0,0.0,0.0
segment_12,0.0,0.0,0.0,0.0,0.0,0.0
segment_13,0.0,0.0,0.0,6.944e-06,3.85e-05,6.517e-06
segment_14,0.0,0.0,0.0,0.0,0.0,0.0
segment_15,0.0,0.0,0.0,0.0,0.0,0.0
segment_16,0.0,0.0,0.0,0.0,0.0,0.0
segment_17,0.0,0.0,1.421e-07,8.862e-06,2.486e-05,4.427e-06
segment_18,0.0,0.0,0.0,0.0,0.0,0.0
segment_19,0.0,0.0,0.0,0.0,0.0,0.0
segment_20,0.0,0.0,0.0,0.0,0.0,0.0
segment_21,0.0,0.0,2.568e-07,1.005e-05,2.676e-05,4.837e-06
segment_22,0.0,0.0,3.713e-08,6.367e-07,6.894e-06,1.335e-06
segment_23,0.0,0.0,6.777e-08,1.929e-07,1.712e-06,3.046e-07
segment_24,0.0,0.0,0.0,8.655e-06,4.289e-05,7.24e-06
segment_25,0.0,0.0,1.338e-07,8.583e-07,1.314e-06,7.373e-07
segment_26,0.0,0.0,0.0,0.0,0.0,0.0
segment_27,0.0,0.0,0.0,0.0,0.0,0.0
segment_28,0.0,0.0,0.0,0.0,0.0,0.0
segment_29,0.0,0.0,0.0,0.0,0.0,0.0
segment_30,0.0,0.0,0.0,0.0,0.0,0.0
segment_31,0.0,0.0,0.0,0.0,0.0,0.0
segment_32,0.0,0.0,1.389e-07,8.932e-06,2.497e-05,4.453e-06
segment_33,0.0,0.0,1.587e-08,6.438e-07,6.869e-06,1.317e-06
segment_34,0.0,0.0,0.0,1.157e-05,4.948e-05,8.449e-06
segment_35,0.0,0.0,1.374e-07,7.783e-07,1.532e-06,6.925e-07
segment_36,0.0,0.0,0.0,0.0,0.0,0.0
segment_37,0.0,0.0,0.0,0.0,0.0,0.0
segment_38,0.0,0.0,0.0,0.0,0.0,0.0
segment_39,0.0,0.0,0.0,0.0,0.0,0.0
segment_40,0.0,0.0,0.0,0.0,0.0,0.0
segment_41,0.0,0.0,0.0,0.0,0.0,0.0
segment_42,0.0,0.0,2.087e-07,9.606e-06,2.608e-05,4.685e-06
segment_43,0.0,0.0,0.0,1.365e-06,1.185e-05,2.083e-06
segment_44,0.0,0.0,0.0,1.159e-05,4.998e-05,8.492e-06
segment_45,0.0,0.0,1.871e-07,2.236e-06,5.375e-06,2.139e-06
segment_46,0.0,0.0,0.0,0.0,0.0,0.0
segment_47,0.0,0.0,0.0,0.0,0.0,0.0
segment_48,0.0,0.0,0.0,0.0,0.0,0.0
segment_49,0.0,0.0,0.0,0.0,0.0,0.0
segment_50,0.0,0.0,0.0,0.0,0.0,0.0
segment_51,0.0,0.0,0.0,0.0,0.0,0.0
segment_52,0.0,0.0,1.694e-07,9.28e-06,2.565e-05,4.581e-06
segment_53,0.0,0.0,1.205e-07,8.605e-06,2.441e-05,4.34e-06
segment_54,0.0,0.0,0.0,0.0,0.0,0.0
segment_55,0.0,0.0,0.0,0.0,0.0,0.0
segment_56,0.0,0.0,0.0,0.0,0.0,0.0
segment_57,0.0,0.0,0.0,0.0,0.0,0.0
segment_58,0.0,0.0,0.0,0.0,0.0,0.0
segment_59,0.0,0.0,0.0,0.0,0.0,0.0
segment_60,0.0,0.0,0.0,0.0,0.0,0.0
segment_61,0.0,0.0,0.0,0.0,0.0,0.0
segment_62,0.0,0.0,1.635e-07,8.897e-06,2.498e-05,4.449e-06
segment_63,0.0,0.0,0.0,8.895e-07,1.019e-05,1.822e-06
segment_64,0.0,0.0,0.0,1.497e-05,5.789e-05,9.884e-06
segment_65,0.0,0.0,2.436e-07,2.354e-06,6.389e-06,2.351e-06
segment_66,0.0,0.0,0.0,0.0,0.0,0.0
segment_67,0.0,0.0,0.0,0.0,0.0,0.0
segment_68,0.0,0.0,0.0,0.0,0.0,0.0
segment_69,0.0,0.0,0.0,0.0,0.0,0.0
segment_70,0.0,0.0,0.0,0.0,0.0,0.0
segment_71,0.0,0.0,0.0,0.0,0.0,0.0
segment_72,0.0,0.0,0.0,0.0,0.0,0.0
segment_73,0.0,0.0,0.0,2.104e-06,1.421e-05,2.474e-06
segment_74,0.0,0.0,0.0,1e-05,4.593e-05,7.821e-06
segment_75,0.0,0.0,1.245e-07,7.326e-07,1.328e-06,6.398e-07
segment_76,0.0,0.0,0.0,0.0,0.0,0.0
segment_77,0.0,0.0,0.0,0.0,0.0,0.0
segment_78,0.0,0.0,0.0,0.0,0.0,0.0
segment_79,0.0,0.0,0.0,0.0,0.0,0.0
