,5th_eps_pipe_tens,16th_eps_pipe_tens,50th_eps_pipe_tens,84th_eps_pipe_tens,95th_eps_pipe_tens,mean_eps_pipe_tens
segment_1,0.0,0.0,0.0,0.0,0.0,0.0
segment_2,0.0,0.0,0.0,0.0,0.0,0.0
segment_3,0.0,0.0,0.0,0.0,0.0,0.0
segment_4,0.0,0.0,0.0,0.0,0.0,0.0
segment_5,0.0,0.0,0.0,0.0,0.0,0.0
segment_6,0.0,0.0,0.0,0.0,0.0,0.0
segment_7,0.0,0.0,0.0,0.0,0.0,0.0
segment_8,0.0,0.0,0.0,0.0,0.0,0.0
segment_9,0.0,0.0,0.0,0.0,0.0,0.0
segment_10,0.0,0.0,0.0,0.0,0.0,0.0
segment_11,0.0,0.0,0.0,0.0,0.0,0.0
segment_12,0.0,0.0,0.0,0.0,0.0,0.0
segment_13,0.0,0.0,0.0,1.508e-05,6.028e-05,1.03e-05
segment_14,0.0,0.0,0.0,0.0,0.0,0.0
segment_15,0.0,0.0,0.0,0.0,0.0,0.0
segment_16,0.0,0.0,0.0,0.0,0.0,0.0
segment_17,0.0,0.0,4.598e-07,1.303e-05,3.165e-05,6.001e-06
segment_18,0.0,0.0,0.0,0.0,0.0,0.0
segment_19,0.0,0.0,0.0,0.0,0.0,0.0
segment_20,0.0,0.0,0.0,0.0,0.0,0.0
segment_21,0.0,0.0,6.809e-07,1.411e-05,3.306e-05,6.354e-06
segment_22,0.0,0.0,0.0,1.339e-06,1.228e-05,2.119e-06
segment_23,0.0,2.222e-08,9.508e-08,4.198e-07,2.342e-06,4.681e-07
segment_24,0.0,0.0,0.0,1.748e-05,6.546e-05,1.129e-05
segment_25,0.0,0.0,2.536e-07,1.107e-06,3.65e-06,1.253e-06
segment_26,0.0,0.0,0.0,0.0,0.0,0.0
segment_27,0.0,0.0,0.0,0.0,0.0,0.0
segment_28,0.0,0.0,0.0,0.0,0.0,0.0
segment_29,0.0,0.0,0.0,0.0,0.0,0.0
segment_30,0.0,0.0,0.0,0.0,0.0,0.0
segment_31,0.0,0.0,0.0,0.0,0.0,0.0
segment_32,0.0,0.0,4.608e-07,1.311e-05,3.175e-05,6.027e-06
segment_33,0.0,0.0,0.0,1.349e-06,1.253e-05,2.157e-06
segment_34,0.0,0.0,0.0,2.119e-05,7.198e-05,1.261e-05
segment_35,0.0,0.0,2.195e-07,9.783e-07,3.395e-06,1.145e-06
segment_36,0.0,0.0,0.0,0.0,0.0,0.0
segment_37,0.0,0.0,0.0,0.0,0.0,0.0
segment_38,0.0,0.0,0.0,0.0,0.0,0.0
segment_39,0.0,0.0,0.0,0.0,0.0,0.0
segment_40,0.0,0.0,0.0,0.0,0.0,0.0
segment_41,0.0,0.0,0.0,0.0,0.0,0.0
segment_42,0.0,0.0,5.95e-07,1.364e-05,3.244e-05,6.2e-06
segment_43,0.0,0.0,0.0,3.5e-06,1.907e-05,3.282e-06
segment_44,0.0,0.0,0.0,2.136e-05,7.245e-05,1.273e-05
segment_45,0.0,0.0,4.394e-07,2.568e-06,1.18e-05,3.456e-06
segment_46,0.0,0.0,0.0,0.0,0.0,0.0
segment_47,0.0,0.0,0.0,0.0,0.0,0.0
segment_48,0.0,0.0,0.0,0.0,0.0,0.0
segment_49,0.0,0.0,0.0,0.0,0.0,0.0
segment_50,0.0,0.0,0.0,0.0,0.0,0.0
segment_51,0.0,0.0,0.0,0.0,0.0,0.0
segment_52,0.0,0.0,5.525e-07,1.334e-05,3.201e-05,6.105e-06
segment_53,0.0,0.0,4.196e-07,1.261e-05,3.098e-05,5.853e-06
segment_54,0.0,0.0,0.0,0.0,0.0,0.0
segment_55,0.0,0.0,0.0,0.0,0.0,0.0
segment_56,0.0,0.0,0.0,0.0,0.0,0.0
segment_57,0.0,0.0,0.0,0.0,0.0,0.0
segment_58,0.0,0.0,0.0,0.0,0.0,0.0
segment_59,0.0,0.0,0.0,0.0,0.0,0.0
segment_60,0.0,0.0,0.0,0.0,0.0,0.0
segment_61,0.0,0.0,0.0,0.0,0.0,0.0
segment_62,0.0,0.0,4.592e-07,1.283e-05,3.137e-05,5.938e-06
segment_63,0.0,0.0,0.0,2.673e-06,1.696e-05,2.914e-06
segment_64,0.0,0.0,0.0,2.598e-05,8.113e-05,1.447e-05
segment_65,0.0,0.0,4.055e-07,2.666e-06,1.354e-05,3.773e-06
segment_66,0.0,0.0,0.0,0.0,0.0,0.0
segment_67,0.0,0.0,0.0,0.0,0.0,0.0
segment_68,0.0,0.0,0.0,0.0,0.0,0.0
segment_69,0.0,0.0,0.0,0.0,0.0,0.0
segment_70,0.0,0.0,0.0,0.0,0.0,0.0
segment_71,0.0,0.0,0.0,0.0,0.0,0.0
segment_72,0.0,0.0,0.0,0.0,0.0,0.0
segment_73,0.0,0.0,0.0,4.825e-06,2.22e-05,3.87e-06
segment_74,0.0,0.0,0.0,1.899e-05,6.781e-05,1.182e-05
segment_75,0.0,0.0,2.141e-07,9.365e-07,3.017e-06,1.064e-06
segment_76,0.0,0.0,0.0,0.0,0.0,0.0
segment_77,0.0,0.0,0.0,0.0,0.0,0.0
segment_78,0.0,0.0,0.0,0.0,0.0,0.0
segment_79,0.0,0.0,0.0,0.0,0.0,0.0
