,5th_eps_pipe_comp,16th_eps_pipe_comp,50th_eps_pipe_comp,84th_eps_pipe_comp,95th_eps_pipe_comp,mean_eps_pipe_comp
segment_1,0.0,0.0,0.00429,0.055225,0.1554,0.02745
segment_2,0.0,0.0,0.00091375,0.0229375,0.08295,0.0149925
segment_3,0.0,0.0,8.3625e-05,0.0008165,0.00095625,0.0004605
segment_4,0.0,0.0,0.00105975,0.009465,0.03775,0.008965
segment_5,0.0,0.0,0.0,0.021725,0.1335,0.0204075
segment_6,0.0,0.0,0.00106625,0.0078475,0.009575,0.005545
segment_7,0.0,0.0,0.020535,0.14695,0.244725,0.059075
segment_8,0.0,0.0,0.0017275,0.03535,0.1107,0.019685
segment_9,0.0,0.0,0.00189975,0.04005,0.11705,0.0216475
segment_10,0.0,0.0,0.00098775,0.0347,0.104025,0.0189975
segment_11,0.0,0.0,0.001112,0.030125,0.09835,0.0176525
segment_12,0.0,0.0,0.00183925,0.041875,0.114375,0.02145
segment_13,0.0,0.0,0.00709,0.0809,0.199275,0.036225
segment_14,0.0,0.0,8.5625e-05,0.001695,0.002098,0.001262
segment_15,0.0,0.0,4.0075e-05,0.003115,0.038025,0.0066825
segment_16,0.0,0.0,0.0022935,0.04155,0.130825,0.022195
segment_17,0.0,0.0,0.00118,0.0309,0.100375,0.0179325
segment_18,0.0,0.0,0.00112325,0.0303,0.0984,0.0176825
segment_19,0.0,0.0,0.00028175,0.00224125,0.0188725,0.0046025
segment_20,0.0,0.0,0.0,0.0044,0.0402,0.0073875
segment_21,0.0,0.0,0.00133025,0.031075,0.095375,0.0175725
segment_22,0.0,0.0,0.0,0.0491,0.217475,0.03195
segment_23,0.0,0.0,0.001007,0.209775,0.25,0.065725
segment_24,0.0,0.0,0.014235,0.25,0.25,0.086125
segment_25,0.0,0.0,0.0071975,0.25,0.25,0.078475
segment_26,0.0,0.0,0.0,0.0291,0.17175,0.02595
segment_27,0.0,0.0,0.000138375,0.0008215,0.00094025,0.000441
segment_28,0.0,0.0,2.086e-05,0.0061225,0.045825,0.008145
segment_29,0.0,0.0,0.00026825,0.00236675,0.0215825,0.00476
segment_30,0.0,0.0,0.01893,0.1564,0.25,0.060175
segment_31,0.0,0.0,0.001043,0.0207225,0.07745,0.01397
segment_32,0.0,0.0,0.0010225,0.008965,0.031925,0.008485
segment_33,0.0,0.0,0.042,0.25,0.25,0.095025
segment_34,0.0,0.0,0.182,0.25,0.25,0.141775
segment_35,0.0,0.0,0.1852,0.25,0.25,0.1426
segment_36,0.0,0.0,0.0148475,0.25,0.25,0.085725
segment_37,0.0,0.0,0.0008545,0.009315,0.021175,0.0080525
segment_38,0.0,0.0,0.010005,0.0947,0.18685,0.04025
segment_39,0.0,0.0,0.020605,0.163325,0.25,0.063475
segment_40,0.0,0.0,0.00143625,0.031825,0.10275,0.018595
segment_41,0.0,0.0,0.0070025,0.080225,0.17675,0.03505
segment_42,0.0,0.0,0.00060775,0.0047425,0.00547,0.002845
segment_43,0.0,0.0,0.0,0.12925,0.25,0.0515
segment_44,0.0,0.0,0.0551,0.25,0.25,0.1035
segment_45,0.0,0.0,0.044625,0.25,0.25,0.100025
segment_46,0.0,0.0,0.0,0.132625,0.25,0.0523
segment_47,0.0,0.0,0.0004955,0.005085,0.00589,0.0031025
segment_48,0.0,0.0,0.005855,0.0724,0.165375,0.032175
segment_49,0.0,0.0,0.001058,0.029725,0.1069,0.017665
segment_50,0.0,0.0,0.00047125,0.012075,0.05915,0.010405
segment_51,0.0,0.0,0.0011735,0.024415,0.086575,0.015995
segment_52,0.0,0.0,0.00078925,0.0207575,0.0791,0.0144275
segment_53,0.0,0.0,0.00150625,0.024825,0.08715,0.0162025
segment_54,0.0,0.0,0.00202875,0.0325,0.11115,0.019405
segment_55,0.0,0.0,0.003345,0.0568,0.141625,0.02665
segment_56,0.0,0.0,0.000164175,0.00159675,0.00191775,0.00097025
segment_57,0.0,0.0,0.0218475,0.15015,0.248,0.060125
segment_58,0.0,0.0,0.00052675,0.0132025,0.065675,0.0112975
segment_59,0.0,0.0,0.000404,0.0132075,0.060125,0.01077
segment_60,0.0,0.0,0.0006775,0.0082225,0.041525,0.00803
segment_61,0.0,0.0,9.9725e-05,0.003135,0.02615,0.005885
segment_62,0.0,0.0,0.0277,0.170225,0.25,0.068025
segment_63,0.0,0.0,0.0,0.0274,0.164175,0.02525
segment_64,0.0,0.0,0.0032125,0.25,0.25,0.073875
segment_65,0.0,0.0,0.002965,0.25,0.25,0.073775
segment_66,0.0,0.0,0.0,0.045675,0.210675,0.03105
segment_67,0.0,0.0,0.00036775,0.002304,0.002615,0.0013055
segment_68,0.0,0.0,0.0088275,0.09745,0.212075,0.041625
segment_69,0.0,0.0,6.385e-05,0.0015815,0.0083175,0.0022575
segment_70,0.0,0.0,0.0153,0.1318,0.22765,0.05255
segment_71,0.0,0.0,3.14e-05,0.00157575,0.005095,0.00177875
segment_72,0.0,0.0,0.00073175,0.00924,0.01508,0.00721
segment_73,0.0,0.0,0.0124625,0.25,0.25,0.0842
segment_74,0.0,0.0,0.157425,0.25,0.25,0.13495
segment_75,0.0,0.0,0.169825,0.25,0.25,0.13915
segment_76,0.0,0.0,0.02017,0.25,0.25,0.089125
segment_77,0.0,0.0,0.00101325,0.00894,0.0152075,0.0070825
segment_78,0.0,0.0,9.695e-06,0.0003535,0.000454,0.00026025
segment_79,0.0,0.0,0.0172825,0.13825,0.2352,0.0553
