,5th_eps_pipe_comp,16th_eps_pipe_comp,50th_eps_pipe_comp,84th_eps_pipe_comp,95th_eps_pipe_comp,mean_eps_pipe_comp
segment_43,0.0,0.0,0.0,5.96e-06,1.06025e-05,2.8125e-06
segment_48,0.0,0.0,0.0,0.0148325,0.10835,0.01744
segment_298,0.0,0.0,4.715e-06,2.1025e-05,3.0575e-05,1.2435e-05
segment_335,0.0,0.0,0.0,0.0,0.0,0.0
segment_520,0.0,0.0,0.0,3.1775e-06,4.2625e-06,1.1945e-06
segment_665,0.0,0.0,0.0,0.0,0.0,0.0
segment_802,0.0,0.0,0.0,0.0,0.0,0.0
segment_806,0.0,0.0,0.0,0.0,0.0,0.0
segment_1075,0.0,0.0,2.0515e-05,0.00435,0.0066325,0.0037275
segment_1511,0.0,0.0,0.0,0.0,0.0,0.0
segment_1914,0.0,0.0,0.0,0.0,0.0,0.0
segment_2244,0.0,0.0,0.0,0.0,0.0,0.0
segment_2321,0.0,0.0,2.02125e-07,1.0265e-06,1.692e-06,5.9725e-07
segment_3002,0.0,0.0,0.0,0.0,0.0,0.0
segment_3129,0.0,0.0,0.0,1.53175e-06,1.9975e-06,5.5325e-07
segment_3218,0.0,0.0,0.0,8.4075e-08,1.06325e-07,2.91e-08
segment_3337,0.0,0.0,0.0,3.6575e-08,4.66e-08,1.27025e-08
segment_3367,0.0,0.0,0.0,9.76e-07,1.24625e-06,3.45e-07
segment_3503,0.0,0.0,0.0,0.0,0.0,0.0
segment_3561,0.0,0.0,0.0,0.028225,0.1484,0.02328
segment_3991,0.0,0.0,0.0,0.0,0.0,0.0
segment_4029,0.0,0.0,0.0,0.0,0.0,0.0
segment_4315,0.0,0.0,0.0004185,0.0064475,0.0371,0.0078075
segment_5101,0.0,0.0,0.0,0.0,0.0,0.0
segment_5159,0.0,0.0,0.0,0.0,0.0,0.0
segment_5246,0.0,0.0,0.0,0.0,0.0,0.0
segment_5571,0.0,0.0,0.0,0.0,0.0,0.0
segment_5926,0.0,0.0,0.0,0.0,0.0,0.0
segment_5952,0.0,0.0,0.0,0.0,0.0,0.0
segment_6177,0.0,0.0,0.0,0.0,0.0,0.0
segment_6594,0.0,0.0,0.0,0.00021955,0.00030775,9.5625e-05
segment_6899,0.0,0.0,0.0,0.0,0.0,0.0
segment_6906,0.0,0.0,0.0,0.0,0.0,0.0
segment_6938,0.0,0.0,0.0,0.0,0.0,0.0
segment_7284,0.0,0.0,0.0,0.0,0.0,0.0
segment_7385,0.0,0.0,0.0,1.74575e-05,2.2385e-05,6.5025e-06
segment_7478,0.0,0.0,1.6185e-05,7.7475e-05,0.00011865,4.6925e-05
