,5th_eps_pipe_comp,16th_eps_pipe_comp,50th_eps_pipe_comp,84th_eps_pipe_comp,95th_eps_pipe_comp,mean_eps_pipe_comp
segment_43,0.0,0.0,0.0,1.60575e-05,3.5625e-05,8.9925e-06
segment_48,0.0,0.0,0.0,0.0023875,0.022275,0.0038325
segment_298,0.0,0.0,4.9575e-09,9.065e-08,1.5155e-07,4.9375e-08
segment_335,0.0,0.0,0.0,0.0,0.0,0.0
segment_520,0.0,0.0,0.0,4.03e-07,5.455e-07,1.44775e-07
segment_665,0.0,0.0,0.0,0.0,0.0,0.0
segment_802,0.0,0.0,0.0,0.0,0.0,0.0
segment_806,0.0,0.0,0.0,0.0,0.0,0.0
segment_1075,0.0,0.0,0.0,0.0006435,0.0025875,0.0007385
segment_1511,0.0,0.0,0.0,0.0,0.0,0.0
segment_1914,0.0,0.0,0.0,0.0,0.0,0.0
segment_2244,0.0,0.0,0.0,0.0,0.0,0.0
segment_2321,0.0,0.0,4.8575e-09,9.7025e-08,1.667e-07,5.3175e-08
segment_3002,0.0,0.0,0.0,0.0,0.0,0.0
segment_3129,0.0,0.0,0.0,1.642e-07,2.2075e-07,5.7625e-08
segment_3218,0.0,0.0,0.0,6.3725e-09,8.675e-09,2.213e-09
segment_3337,0.0,0.0,0.0,6.86e-09,9.46e-09,2.42475e-09
segment_3367,0.0,0.0,0.0,1.277e-07,1.69875e-07,4.4425e-08
segment_3503,0.0,0.0,0.0,0.0,0.0,0.0
segment_3561,0.0,0.0,9.71e-05,0.0051475,0.0291,0.0048575
segment_3991,0.0,0.0,0.0,0.0,0.0,0.0
segment_4029,1.0315e-06,1.5685e-06,2.9425e-06,4.6675e-06,6.205e-06,3.19e-06
segment_4315,0.0,0.0,5.75e-05,0.0009925,0.0068425,0.00116725
segment_5101,0.0,0.0,0.0,0.0,0.0,0.0
segment_5159,0.0,0.0,0.0,0.0,0.0,0.0
segment_5246,0.0,0.0,0.0,0.0,0.0,0.0
segment_5571,0.0,0.0,0.0,0.0,0.0,0.0
segment_5926,0.0,0.0,0.0,0.0,0.0,0.0
segment_5952,0.0,0.0,0.0,0.0,0.0,0.0
segment_6177,0.0,0.0,0.0,1.51675e-08,2.02925e-08,5.325e-09
segment_6594,0.0,0.0,0.0,1.96375e-05,2.9625e-05,8.8675e-06
segment_6899,0.0,0.0,0.0,0.0,0.0,0.0
segment_6906,0.0,0.0,0.0,0.0,0.0,0.0
segment_6938,0.0,0.0,0.0,0.0,0.0,0.0
segment_7284,0.0,0.0,0.0,0.0,0.0,0.0
segment_7385,0.0,0.0,0.0,1.78825e-06,2.39725e-06,6.565e-07
segment_7478,0.0,0.0,1.64625e-07,7.465e-06,1.24125e-05,4.2425e-06
segment_7662,0.0,0.0,0.0,0.0,0.0,0.0
segment_7911,0.0,0.0,8.8225e-07,0.0001502,0.000238825,9.5475e-05
segment_8438,0.0,0.0,0.00100825,0.0144075,0.041225,0.0078
segment_8479,0.0,0.0,0.0,0.0,0.0,0.0
segment_8757,0.0,0.0,0.0,0.0,0.0,0.0
segment_9189,0.0,0.0,0.0004065,0.01074,0.037275,0.006775
segment_9240,0.0,0.0,0.0004505,0.0078625,0.0311,0.00548
segment_9359,0.0,0.0,0.0,0.0,0.0,0.0
segment_9382,0.0,0.0,0.0,5.9025e-10,1.11425e-09,3.0625e-10
segment_9513,0.0,0.0,0.0,0.0008755,0.00515,0.00121625
segment_9726,0.0,0.0,0.0,0.000872,0.00459,0.00113825
segment_9787,0.0,0.0,2.2795e-05,0.0006795,0.0032475,0.00066975
segment_10029,0.0,0.0,0.0,0.0,0.0,0.0
