,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID
segment_1,-118.502024,34.286341,-118.502027,34.285651,-118.502025,34.285996
segment_2,-118.502027,34.285651,-118.50203,34.28496,-118.502029,34.285306
segment_3,-118.50203,34.28496,-118.502034,34.28427,-118.502032,34.284615
segment_4,-118.502034,34.28427,-118.502034,34.283814,-118.502034,34.284042
segment_5,-118.502034,34.283814,-118.502034,34.283357,-118.502034,34.283585
segment_6,-118.502034,34.283357,-118.502147,34.283204,-118.50209,34.283281
segment_7,-118.502147,34.283204,-118.502151,34.282519,-118.502149,34.282861
segment_8,-118.502151,34.282519,-118.502155,34.281833,-118.502153,34.282176
segment_9,-118.502155,34.281833,-118.502159,34.281148,-118.502157,34.281491
segment_10,-118.502159,34.281148,-118.502819,34.281151,-118.502489,34.28115
segment_11,-118.502819,34.281151,-118.50348,34.281154,-118.50315,34.281152
segment_12,-118.502157,34.282986,-118.502003,34.282926,-118.50208,34.282956
segment_13,-118.502003,34.282926,-118.502015,34.282033,-118.502009,34.28248
segment_14,-118.502015,34.282033,-118.502027,34.281139,-118.502021,34.281586
segment_15,-118.502027,34.281139,-118.502039,34.280245,-118.502033,34.280692
segment_16,-118.502039,34.280245,-118.502052,34.279351,-118.502046,34.279798
segment_17,-118.502052,34.279351,-118.501403,34.279355,-118.501727,34.279353
segment_18,-118.501403,34.279355,-118.500754,34.279359,-118.501079,34.279357
segment_19,-118.501942,34.28633,-118.501953,34.285525,-118.501948,34.285927
segment_20,-118.501953,34.285525,-118.501964,34.284719,-118.501959,34.285122
segment_21,-118.501964,34.284719,-118.501975,34.283914,-118.50197,34.284317
segment_22,-118.501975,34.283914,-118.501986,34.283109,-118.501981,34.283511
segment_23,-118.501986,34.283109,-118.50207,34.28293,-118.502028,34.283019
segment_24,-118.50207,34.28293,-118.502072,34.282134,-118.502071,34.282532
segment_25,-118.502072,34.282134,-118.502074,34.281339,-118.502073,34.281737
segment_26,-118.502074,34.281339,-118.502076,34.280544,-118.502075,34.280942
segment_27,-118.502076,34.280544,-118.502079,34.279749,-118.502078,34.280146
segment_28,-118.502079,34.279749,-118.502081,34.278953,-118.50208,34.279351
segment_29,-118.502081,34.278953,-118.502083,34.278158,-118.502082,34.278556
segment_30,-118.502149,34.286354,-118.502156,34.285532,-118.502152,34.285943
segment_31,-118.502156,34.285532,-118.502163,34.28471,-118.502159,34.285121
segment_32,-118.502163,34.28471,-118.50217,34.283889,-118.502166,34.2843
