ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,OBJECTID,DIAMETER,OBJ_ID,SUB_SEGMENT_ID,L_ANCHOR_FULL_METER,SEGMENT_AZIMUTH_DEG,ASPECT_DEG_FROM_90M,LEVEL2_LIQ_BETA_CROSSING,which_half,l_anchor,crossing_lon,crossing_lat,prob_crossing,psi_dip,beta_crossing
43,-120.1445048,36.53147599,-120.1455538,36.531476,-120.1450293,36.531475995,0.093727,782,25.4,43,1,961.8,268.3,25.0,116.70000000000002,,961.8,-120.68724520217529,6.830320323969343,0.25,75,90
48,-120.1497099,36.5314837,-120.1507191,36.53149136,-120.1502145,36.53148753,0.090174,782,25.4,48,1,497.3,268.8,6.0,97.2,,497.3,-120.69146479563724,6.826143095859751,0.25,75,90
298,-121.5497059,37.7252078,-121.5496993,37.72443481,-121.5497026,37.724821305,0.085955,814,50.8,298,1,214.4,178.7,2.0,176.70000000000007,,214.4,-121.84585389015163,5.678655385165369,0.25,75,90
335,-121.5846252,37.1095314,-121.5847778,37.109478,-121.5847015,37.1095047,0.014777,824,50.8,335,1,7.4,245.5,211.0,145.5,,7.4,-121.86448668253243,5.660063544105851,0.25,75,90
520,-122.2499054,39.27613241,-122.2489008,39.27615284,-122.2494031,39.276142625,0.086502,891,76.2,520,1,1985.2,88.0,134.0,134.00000000000003,,1985.2,-122.41588046488485,5.109000707651747,0.25,75,90
665,-121.6229172,39.11266327,-121.6229095,39.11221826,-121.62291335,39.112440765,0.049487,895,76.2,665,1,24.7,178.4,286.0,107.60000000000002,,24.7,-121.92502434956134,5.599644915686417,0.25,75,90
802,-121.6346115,39.03694333,-121.6345818,39.03638167,-121.63459665,39.0366625,0.062506,895,76.2,802,1,93.6,176.8,175.0,178.20000000000007,,93.6,-121.93301760717223,5.591665785935277,0.25,75,90
806,-121.6349589,39.03515734,-121.6349385,39.03448704,-121.6349487,39.03482219,0.074555,895,76.2,806,1,111.6,177.8,106.0,108.2,,111.6,-121.93326546972962,5.591418355574476,0.25,75,90
1075,-124.195109,40.73455048,-124.1957906,40.73381805,-124.1954498,40.734184265,0.099655,913,76.2,1075,1,304.7,216.1,270.0,126.1,,304.7,-123.90890340102641,3.6098890113552184,0.25,75,90
1511,-122.220973,39.75472916,-122.2209815,39.75451435,-122.22097725,39.754621755,0.023897,918,76.2,1511,1,11.9,181.3,132.0,130.7,,11.9,-122.39788793397534,5.127008029496855,0.25,75,90
1914,-121.9167252,39.14710999,-121.9167175,39.14715195,-121.91672135,39.14713097,0.004713,933,76.2,1914,1,2.4,7.4,78.0,109.4,,2.4,-122.15510136560339,5.369829916643907,0.25,75,90
2244,-121.9359783,39.14645639,-121.9351379,39.14626395,-121.9355581,39.14636017,0.075565,933,76.2,2244,1,45.7,105.7,47.0,121.3,,45.7,-122.16980313363558,5.355134914477242,0.25,75,90
2321,-122.7262745,38.32910427,-122.7257887,38.32893592,-122.7260316,38.329020095,0.046326,960,76.2,2321,1,216.3,113.6,11.0,102.6,,216.3,-122.78407158022705,4.7401602760311174,0.25,75,90
3002,-119.9461513,36.84520626,-119.9469834,36.8446998,-119.94656735,36.84495303,0.093027,1009,76.2,3002,1,46.6,231.0,225.0,174.00000000000009,,46.6,-120.53577586891468,6.980178877946031,0.25,75,90
3129,-120.0416705,36.8296404,-120.0427306,36.8296501,-120.04220055,36.82964525,0.094358,1009,76.2,3129,1,2384.0,268.9,183.0,94.10000000000002,,2384.0,-120.61283884258303,6.903957409877676,0.25,75,90
3218,-120.124294,36.81299755,-120.1253895,36.81281964,-120.12484175,36.812908595,0.09951,1009,76.2,3218,1,4797.8,256.9,176.0,99.10000000000004,,4797.8,-120.67932989266666,6.838155799222977,0.25,75,90
3337,-120.2450678,36.79299998,-120.2460538,36.79300919,-120.2455608,36.793004585,0.087805,1009,76.2,3337,1,5277.6,269.0,286.0,163.0,,5277.6,-120.77660727943565,6.74182684688447,0.25,75,90
3367,-120.2748131,36.79315917,-120.2758338,36.79315246,-120.27532345,36.793155815,0.090892,1009,76.2,3367,1,2620.1,267.9,-1.0,135.0,,2620.1,-120.8007373071292,6.717921136556369,0.25,75,90
