,5th_eps_pipe_tens,16th_eps_pipe_tens,50th_eps_pipe_tens,84th_eps_pipe_tens,95th_eps_pipe_tens,mean_eps_pipe_tens
segment_43,0.0,0.0,0.0,0.0,0.0,0.0
segment_48,0.0,0.0,0.0,0.0,0.0,0.0
segment_298,0.0,0.0,0.0,0.0,0.0,0.0
segment_335,0.0,0.0,0.0,0.0,0.0,0.0
segment_520,0.0,0.0,0.0,0.0,0.0,0.0
segment_665,0.0,0.0,0.0,0.0,0.0,0.0
segment_802,0.0,0.0,0.0,0.0,0.0,0.0
segment_806,0.0,0.0,0.0,0.0,0.0,0.0
segment_1075,0.0,0.0,0.0,0.0,0.0,0.0
segment_1511,0.0,0.0,0.0,0.0,0.0,0.0
segment_1914,0.0,0.0,0.0,0.0,0.0,0.0
segment_2244,0.0,0.0,0.0,0.0,0.0,0.0
segment_2321,0.0,0.0,0.0,0.0,0.0,0.0
segment_3002,0.0,0.0,0.0,0.0,0.0,0.0
segment_3129,0.0,0.0,0.0,0.0,0.0,0.0
segment_3218,0.0,0.0,0.0,0.0,0.0,0.0
segment_3337,0.0,0.0,0.0,0.0,0.0,0.0
segment_3367,0.0,0.0,0.0,0.0,0.0,0.0
segment_3503,0.0,0.0,0.0,0.0,0.0,0.0
segment_3561,0.0,0.0,0.0,0.0,0.0,0.0
segment_3991,0.0,0.0,0.0,0.0,0.0,0.0
segment_4029,0.0,0.0,0.0,0.0,0.0,0.0
segment_4315,0.0,0.0,0.0,0.0,0.0,0.0
segment_5101,0.0,0.0,0.0,0.0,0.0,0.0
segment_5159,0.0,0.0,0.0,0.0,0.0,0.0
segment_5246,0.0,0.0,0.0,0.0,0.0,0.0
segment_5571,0.0,0.0,0.0,0.0,0.0,0.0
segment_5926,0.0,0.0,0.0,0.0,0.0,0.0
segment_5952,0.0,0.0,0.0,0.0,0.0,0.0
segment_6177,0.0,0.0,0.0,0.0,0.0,0.0
segment_6594,0.0,0.0,0.0,0.0,0.0,0.0
segment_6899,0.0,0.0,0.0,0.0,0.0,0.0
segment_6906,0.0,0.0,0.0,0.0,0.0,0.0
