z,qt,fs,u2
0.05,33.56,0.1438,0
0.1,24.63,0.2213,0
0.15,16.04,0.299,0
0.2,8.2,0.233,0
0.25,4.46,0.1656,0
0.3,4.88,0.1797,0
0.35,4.24,0.1787,0
0.4,2.77,0.1388,0
0.45,2.53,0.0928,0
0.5,2.4,0.0819,0
0.55,2.33,0.073,0
0.6,2.15,0.0654,0
0.65,1.76,0.06,0
0.7,1.45,0.056,0
0.75,1.43,0.0556,0
0.8,1.3,0.0566,0
0.85,1.07,0.0204,0
0.9,1.48,0.024,0
0.95,2.29,0.0649,0
1,3.08,0.1149,0
1.05,2.94,0.1381,0
1.1,2.37,0.1204,0
1.15,2.09,0.0954,0
1.2,2.09,0.0872,0
1.25,3.04,0.1156,0
1.3,10.86,0.1968,0
1.35,7.19,0.2234,0
1.4,3.91,0.2042,0
1.45,2.74,0.1086,0
1.5,2.4,0.1132,0
1.55,7.08,0.2115,0
1.6,4.93,0.1744,0
1.65,8.46,0.1964,0
1.7,4.84,0.1176,0
1.75,6.6,0.1555,0
1.8,7.6,0.1971,0
1.85,4.52,0.1263,0
1.9,1.27,0.1949,0
1.95,3.69,0.1395,0
2,7.19,0.1976,0
2.05,3.65,0.1272,0
2.1,6.92,0.1426,0
2.15,9.55,0.1755,0
2.2,7.16,0.1331,0
2.25,2.05,0.0919,0
2.3,3.25,0.1052,0
2.35,2.71,0.1166,0
2.4,4.02,0.0865,0
2.45,7.23,0.1358,0
2.5,5.72,0.1219,0
2.55,5.8,0.0921,0
2.6,6.96,0.1063,0
2.65,7.94,0.1193,0
2.7,7,0.0728,0
2.75,7.06,0.1542,0
2.8,6.57,0.1167,0
2.85,4.11,0.085,0
2.9,8.08,0.1185,0
2.95,3.9,0.104,0
3,0.94,0.1097,0
3.05,1.27,0.0531,0
3.1,1.07,0.0255,0
3.15,1.39,0.0329,0
3.2,2.81,0.0617,0
3.25,3.35,0.0773,0
3.3,3.76,0.0988,0
3.35,4.36,0.07,0
3.4,4.32,0.1028,0
3.45,3.7,0.0896,0
3.5,3.09,0.1319,0
3.55,5.58,0.1314,0
3.6,2.74,0.1398,0
3.65,2.78,0.0841,0
3.7,1.86,0.0924,0
3.75,3.24,0.1486,0
3.8,4.01,0.1571,0
3.85,3.29,0.1656,0
3.9,4.5,0.12,0
3.95,4.36,0.1655,0
4,5.2,0.1818,0
4.05,2.31,0.1331,0
4.1,0.99,0.0743,0
4.15,1.83,0.0647,0
4.2,1.74,0.0297,0
4.25,3.73,0.0398,0
4.3,1.93,0.0292,0
4.35,4.91,0.0947,0
4.4,6.91,0.0896,0
4.45,6.33,0.0865,0
4.5,4.27,0.1046,0
4.55,2.54,0.0822,0
4.6,2.4,0.0477,0
4.65,2.12,0.076,0
4.7,3.35,0.1881,0
4.75,6.81,0.1589,0
4.8,4.95,0.1518,0
4.85,4.41,0.1006,0
4.9,3.83,0.0921,0
4.95,4.68,0.1054,0
5,5.69,0.1067,0
5.05,1.56,0.0724,0
5.1,0.53,0.0291,0
5.15,2.55,0.0902,0
5.2,4.44,0.1073,0
5.25,1.08,0.0673,0
5.3,5.35,0.1253,0
5.35,5.65,0.1446,0
5.4,3.57,0.0971,0
5.45,2.72,0.0436,0
5.5,1.16,0.0501,0
5.55,8.66,0.0664,0
5.6,1.4,0.057,0
5.65,0.29,0.0237,0
5.7,0.17,0.0456,0
5.75,2.78,0.0797,0
5.8,0.89,0.0344,0
5.85,0.51,0.0164,0
5.9,1.56,0.0719,0
5.95,2.97,0.0606,0
6,1.19,0.032,0
6.05,1.47,0.0383,0
6.1,0.69,0.0184,0
6.15,2.47,0.1208,0
6.2,6.53,0.0895,0
6.25,1.91,0.1768,0
6.3,4.07,0.1186,0
6.35,1.21,0.0884,0
6.4,1.05,0.0442,0
6.45,1.2,0.0483,0
6.5,2.86,0.0615,0
6.55,7.32,0.1493,0
6.6,6.77,0.2251,0
6.65,2.05,0.2618,0
6.7,1.67,0.1307,0
6.75,2.31,0.1417,0
6.8,4.47,0.1624,0
6.85,1.97,0.1023,0
6.9,1.13,0.0716,0
6.95,2.82,0.1263,0
7,4.28,0.1014,0
7.05,2.76,0.0723,0
7.1,1.74,0.0556,0
7.15,1.07,0.0372,0
7.2,0.78,0.031,0
7.25,1.46,0.0621,0
7.3,5.11,0.1313,0
7.35,6.02,0.115,0
7.4,6.02,0.0732,0
7.45,6.75,0.046,0
7.5,6.6,0.0353,0
7.55,6.1,0.0328,0
7.6,5.3,0.0377,0
7.65,3.73,0.062,0
7.7,2.05,0.0557,0
7.75,1.16,0.04,0
7.8,0.79,0.0195,0
7.85,0.84,0.015,0
7.9,0.79,0.0147,0
7.95,0.53,0.0127,0
8,0.62,0.0127,0
8.05,0.61,0.0121,0
8.1,0.54,0.0117,0
8.15,0.52,0.011,0
8.2,0.66,0.0088,0
8.25,0.54,0.0089,0
8.3,0.47,0.0078,0
8.35,0.53,0.007,0
8.4,0.4,0.0089,0
8.45,0.4,0.0083,0
8.5,0.54,0.0086,0
8.55,0.56,0.0087,0
8.6,0.63,0.0164,0
8.65,0.71,0.0246,0
8.7,1.35,0.02,0
8.75,1.79,0.0206,0
8.8,1.82,0.0065,0
8.85,1.15,0.0229,0
8.9,0.22,0.012,0
8.95,0.87,0.0045,0
9,0.84,0.0007,0
9.05,0.8,0.0039,0
9.1,1.12,0.0014,0
9.15,1.07,0.0002,0
9.2,0.98,0.0045,0
9.25,0.78,0.0045,0
9.3,0.88,0.0009,0
9.35,0.66,0.0041,0
9.4,0.73,0.008,0
9.45,1,0.0081,0
9.5,0.98,0.0076,0
9.55,1.01,0.006,0
9.6,0.85,0.0076,0
9.65,0.67,0.0139,0
9.7,0.94,0.0187,0
9.75,1.29,0.0269,0
9.8,1.59,0.0119,0
9.85,2.1,0.035,0
9.9,1.7,0.0402,0
9.95,2.01,0.0376,0
10,1.98,0.028,0
10.05,2.73,0.0259,0
10.1,1.71,0.0247,0
10.15,0.87,0.0158,0
10.2,0.61,0.0099,0
10.25,0.79,0.0097,0
10.3,0.79,0.011,0
10.35,0.68,0.011,0
10.4,0.72,0.0121,0
10.45,0.77,0.0107,0
10.5,0.76,0.0122,0
10.55,0.67,0.0127,0
10.6,0.8,0.014,0
10.65,0.67,0.0129,0
10.7,0.65,0.0129,0
10.75,0.84,0.0151,0
10.8,0.67,0.014,0
10.85,0.67,0.0125,0
10.9,0.79,0.0133,0
10.95,0.79,0.0117,0
11,0.68,0.0105,0
11.05,0.77,0.0101,0
11.1,0.71,0.011,0
11.15,0.82,0.0096,0
11.2,0.63,0.0085,0
11.25,0.67,0.0099,0
11.3,0.69,0.0096,0
11.35,0.69,0.0096,0
11.4,0.56,0.008,0
11.45,0.57,0.009,0
11.5,0.72,0.0098,0
11.55,0.78,0.0099,0
11.6,0.73,0.0098,0
11.65,0.7,0.0105,0
11.7,0.64,0.0134,0
11.75,0.72,0.0123,0
11.8,0.65,0.0102,0
11.85,0.76,0.0085,0
11.9,0.78,0.0077,0
