z,qt,fs,u2
0.1,5.139,0.002351,0
0.2,5.139,0.1767,0
0.3,6.416,0.1626,0
0.4,3.661,0.0799,0
0.5,2.351,0.092,0
0.6,5.207,0.2261,0
0.7,5.005,0.1727,0
0.8,3.46,0.1169,0
0.9,2.419,0.06852,0
1,2.922,0.04501,0
1.1,2.855,0.06114,0
1.2,1.948,0.04501,0
1.3,1.411,0.03325,0
1.4,1.344,0.05407,0
1.5,1.914,0.0712,0
1.6,1.914,0.05911,0
1.7,2.217,0.06449,0
1.8,2.586,0.04836,0
1.9,2.351,0.04232,0
2,2.452,0.03593,0
2.1,2.385,0.04433,0
2.2,2.015,0.06785,0
2.3,1.511,0.04668,0
2.4,1.276,0.03761,0
2.5,1.175,0.0403,0
2.6,1.411,0.06046,0
2.7,1.747,0.087,0
2.8,1.511,0.0927,0
2.9,1.377,0.0867,0
3,1.276,0.0883,0
3.1,1.343,0.0873,0
3.2,1.31,0.087,0
3.3,1.377,0.02552,0
3.4,0.537,0.084,0
3.5,1.242,0.0779,0
3.6,1.209,0.0809,0
3.7,1.31,0.087,0
3.8,1.444,0.0917,0
3.9,1.646,0.1038,0
4,1.78,0.1105,0
4.1,1.78,0.1078,0
4.2,1.948,0.1166,0
4.3,2.317,0.04399,0
4.4,1.075,0.0951,0
4.5,2.922,0.0991,0
4.6,3.359,0.06717,0
4.7,3.93,0.0705,0
4.8,3.796,0.1008,0
4.9,3.93,0.0836,0
5,3.325,0.0729,0
5.1,3.325,0.091,0
5.2,3.258,0.0769,0
5.3,2.989,0.06986,0
5.4,2.855,0.06919,0
5.5,3.527,0.0984,0
5.6,3.527,0.0924,0
5.7,2.989,0.1095,0
5.8,2.351,0.092,0
5.9,2.788,0.086,0
6,2.989,0.0833,0
6.1,1.511,0.0544,0
6.2,1.041,0.02685,0
6.3,0.974,0.04567,0
6.4,1.074,0.03223,0
6.5,0.906,0.02082,0
6.6,0.772,0.01611,0
6.7,0.94,0.01476,0
6.8,0.671,0.01073,0
6.9,0.672,0.01106,0
7,0.705,0.01073,0
7.1,0.672,0.00938,0
7.2,1.041,0.0282,0
7.3,0.806,0.02887,0
7.4,0.806,0.01812,0
7.5,0.806,0.02115,0
7.6,0.906,0.02283,0
7.7,0.806,0.02149,0
7.8,1.041,0.03492,0
7.9,0.671,0.01342,0
8,0.671,0.00938,0
8.1,0.671,0.00871,0
8.2,1.041,0.00938,0
8.3,0.806,0.01677,0
8.4,0.94,0.01207,0
8.5,0.94,0.01039,0
8.6,1.074,0.01308,0
8.7,1.074,0.01207,0
8.8,1.142,0.01677,0
8.9,1.175,0.01745,0
9,1.175,0.01879,0
9.1,1.209,0.05037,0
9.2,3.258,0.04365,0
9.3,1.276,0.03962,0
9.4,3.46,0.1824,0
9.5,7.69,0.2439,0
9.6,5.811,0.1969,0
9.7,1.948,0.0749,0
9.8,1.142,0.03424,0
9.9,0.94,0.01207,0
10,1.074,0.02013,0
10.1,1.142,0.02013,0
10.2,1.377,0.02013,0
10.3,1.343,0.03828,0
10.4,2.116,0.0981,0
10.5,6.584,0.2466,0
10.6,5.207,0.2819,0
10.7,3.997,0.1347,0
10.8,1.545,0.03424,0
10.9,1.645,0.04299,0
11,1.679,0.03257,0
11.1,8.67,0.05104,0
11.2,3.561,0.06045,0
11.3,1.981,0.05978,0
11.4,1.612,0.02753,0
11.5,2.183,0.1579,0
11.6,13.71,0.2096,0
