z,qt,fs,u2
0.1,0.201,0.005357,0
0.2,6.93,0.04018,0
0.3,5.893,0.1262,0
0.4,4.955,0.1922,0
0.5,3.75,0.1266,0
0.6,2.277,0.06831,0
0.7,3.08,0.0663,0
0.8,3.013,0.071,0
0.9,3.281,0.06563,0
1,4.821,0.0784,0
1.1,6.528,0.0984,0
1.2,3.75,0.05693,0
1.3,2.21,0.01945,0
1.4,2.244,0.02012,0
1.5,2.679,0.0315,0
1.6,1.942,0.02413,0
1.7,2.177,0.03217,0
1.8,4.252,0.05392,0
1.9,5.624,0.0774,0
2,6.796,0.04924,0
2.1,8.64,0.1175,0
2.2,6.796,0.0844,0
2.3,7.3,0.06598,0
2.4,4.888,0.0764,0
2.5,3.482,0.0469,0
2.6,2.478,0.04355,0
2.7,2.244,0.04289,0
2.8,2.746,0.0938,0
2.9,2.143,0.0971,0
3,1.675,0.1105,0
3.1,1.943,0.1256,0
3.2,2.11,0.1182,0
3.3,2.143,0.1078,0
3.4,2.177,0.1135,0
3.5,2.311,0.0948,0
3.6,2.512,0.0981,0
3.7,2.478,0.0851,0
3.8,2.612,0.0844,0
3.9,3.482,0.05694,0
4,3.449,0.0971,0
4.1,3.215,0.06397,0
4.2,3.148,0.0877,0
4.3,2.713,0.0717,0
4.4,3.282,0.06231,0
4.5,3.282,0.05495,0
4.6,3.081,0.0717,0
4.7,2.746,0.0851,0
4.8,2.545,0.07,0
4.9,2.847,0.0981,0
5,2.746,0.1085,0
5.1,3.616,0.0831,0
5.2,2.947,0.1199,0
5.3,2.244,0.1336,0
5.4,2.311,0.1256,0
5.5,1.976,0.1001,0
5.6,3.449,0.1349,0
5.7,3.148,0.1376,0
5.8,4.553,0.1302,0
5.9,7.06,0.143,0
6,9.54,0.1982,0
6.1,11.95,0.1968,0
6.2,7.33,0.1403,0
6.3,3.415,0.1235,0
6.4,2.077,0.1061,0
6.5,1.106,0.05294,0
6.6,1.14,0.05026,0
6.7,1.675,0.0747,0
6.8,2.01,0.0964,0
6.9,2.612,0.1383,0
7,2.612,0.1363,0
7.1,2.545,0.1202,0
7.2,2.813,0.1389,0
7.3,3.148,0.1714,0
7.4,3.616,0.1868,0
7.5,3.817,0.1868,0
7.6,4.219,0.1804,0
7.7,4.553,0.1674,0
7.8,5.356,0.152,0
7.9,5.591,0.1289,0
8,4.419,0.1978,0
8.1,6.126,0.1005,0
8.2,6.695,0.1098,0
8.3,6.427,0.0794,0
8.4,7.26,0.1031,0
8.5,7.43,0.0817,0
8.6,5.222,0.06499,0
8.7,4.486,0.0924,0
8.8,1.91,0.0724,0
8.9,1.776,0.06365,0
9,2.144,0.0964,0
9.1,2.88,0.1078,0
9.2,1.91,0.06567,0
9.3,2.847,0.1025,0
9.4,6.26,0.1219,0
9.5,11.08,0.1276,0
9.6,3.683,0.1078,0
9.7,2.947,0.0914,0
9.8,2.412,0.071,0
9.9,4.152,0.1423,0
10,4.419,0.1222,0
10.1,4.286,0.1707,0
10.2,9,0.3635,0
10.3,5.959,0.2718,0
