z,qt,fs,u2
0.1,0.034,0.01308,0
0.2,10.36,0.1677,0
0.3,6.975,0.2656,0
0.4,6.908,0.2994,0
0.5,4.963,0.0855,0
0.6,1.811,0.02248,0
0.7,1.275,0.006718,0
0.8,0.873,0.003029,0
0.9,0.973,0.005712,0
1,1.074,0.006382,0
1.1,1.476,0.00873,0
1.2,1.141,0.005377,0
1.3,1.744,0.01041,0
1.4,2.315,0.02952,0
1.5,3.22,0.03087,0
1.6,3.388,0.0426,0
1.7,3.454,0.05199,0
1.8,3.488,0.05232,0
1.9,3.287,0.05769,0
2,4.025,0.0795,0
2.1,4.46,0.0879,0
2.2,4.695,0.0932,0
2.3,4.695,0.0865,0
2.4,4.829,0.0946,0
2.5,4.93,0.0885,0
2.6,4.963,0.1026,0
2.7,5.097,0.1251,0
2.8,5.064,0.1026,0
2.9,5.232,0.1211,0
3,5.03,0.1093,0
3.1,5.567,0.0825,0
3.2,6.338,0.1046,0
3.3,5.768,0.1335,0
3.4,5.835,0.1066,0
3.5,8.38,0.0792,0
3.6,16.8,0.2173,0
3.7,9.56,0.2354,0
3.8,7.44,0.0939,0
3.9,6.841,0.0865,0
4,6.673,0.06978,0
4.1,5.701,0.1351,0
4.2,6.17,0.1345,0
4.3,6.472,0.0979,0
4.4,7.44,0.1254,0
4.5,5.835,0.1693,0
4.6,3.824,0.1093,0
4.7,3.421,0.1291,0
4.8,3.891,0.1073,0
4.9,5.298,0.1325,0
5,5.667,0.1191,0
5.1,5.667,0.1502,0
5.2,5.902,0.1723,0
5.3,7.64,0.1207,0
5.4,5.03,0.173,0
5.5,4.527,0.1214,0
5.6,4.092,0.1221,0
5.7,3.086,0.1529,0
5.8,3.187,0.1207,0
5.9,2.952,0.1569,0
6,2.416,0.1569,0
6.1,2.014,0.1244,0
6.2,1.88,0.1214,0
6.3,2.047,0.1197,0
6.4,1.847,0.1241,0
6.5,2.048,0.1127,0
6.6,2.316,0.1137,0
6.7,2.55,0.1261,0
6.8,2.316,0.1201,0
6.9,2.282,0.1345,0
7,2.55,0.1362,0
7.1,2.249,0.1197,0
7.2,2.483,0.1013,0
7.3,3.154,0.0678,0
7.4,3.656,0.06244,0
7.5,3.757,0.0752,0
7.6,4.025,0.0812,0
7.7,4.427,0.06646,0
7.8,4.695,0.0799,0
7.9,5.298,0.0745,0
8,6.102,0.1268,0
8.1,6.236,0.1743,0
8.2,7.81,0.112,0
8.3,10.19,0.1154,0
8.4,8.85,0.0832,0
8.5,8.01,0.0759,0
8.6,3.623,0.0886,0
8.7,1.613,0.0658,0
8.8,1.479,0.0504,0
8.9,1.546,0.04571,0
9,1.512,0.0504,0
9.1,1.445,0.04303,0
9.2,1.445,0.04236,0
9.3,1.546,0.0705,0
9.4,1.915,0.0832,0
9.5,1.814,0.0705,0
9.6,1.646,0.05911,0
9.7,2.953,0.0886,0
9.8,3.556,0.1047,0
9.9,3.422,0.106,0
10,5.398,0.1633,0
10.1,3.489,0.1536,0
10.2,1.981,0.05475,0
10.3,3.254,0.1214,0
10.4,9.62,0.0872,0
10.5,7.01,0.1006,0
10.6,3.824,0.1412,0
10.7,10.99,0.1509,0
10.8,11.83,0.1703,0
10.9,4.293,0.1924,0
