site_id,lon,lat,vs30,z1p0,z2p5,vs30_source
0,-118.5,34.28,351.9,0.35,3.75,0.0
1,-118.5,34.28,351.9,0.35,3.75,0.0
2,-118.5,34.28,351.9,0.35,3.75,0.0
3,-118.5,34.28,351.9,0.35,3.75,0.0
4,-118.5,34.28,351.9,0.35,3.75,0.0
5,-118.5,34.28,351.9,0.35,3.75,0.0
6,-118.5,34.28,351.9,0.35,3.75,0.0
7,-118.5,34.28,351.9,0.35,3.75,0.0
8,-118.5,34.28,351.9,0.35,3.75,0.0
9,-118.5,34.28,351.9,0.35,3.75,0.0
10,-118.5,34.28,351.9,0.35,3.75,0.0
11,-118.5,34.28,351.9,0.35,3.75,0.0
12,-118.5,34.28,351.9,0.35,3.75,0.0
