CPT_Name,CPT_Date,UTM_x,UTM_y,Datum,Longitude,Latitude,Datum,Mean GWT
LAC041,4/12/1995,361780,3794451,NAD 27 UTM Zone 11 N,-118.502693,34.283897,WGS84,9
LAC042,4/12/1995,361781,3794385,NAD 27 UTM Zone 11 N,-118.502682,34.283302,WGS84,9.4
LAC043,4/12/1995,361779,3794357,NAD 27 UTM Zone 11 N,-118.502699,34.283049,WGS84,9.1
LAC044,4/12/1995,361779,3794340,NAD 27 UTM Zone 11 N,-118.502697,34.282896,WGS84,8.5
LAC047,4/13/1995,361778,3794297,NAD 27 UTM Zone 11 N,-118.5027,34.282508,WGS84,8.2
LAC048,4/13/1995,361778,3794274,NAD 27 UTM Zone 11 N,-118.502697,34.2823,WGS84,7.9
LAC049,4/13/1995,361777,3794244,NAD 27 UTM Zone 11 N,-118.502703,34.28203,WGS84,7.9
LAC051,4/13/1995,361777,3794146,NAD 27 UTM Zone 11 N,-118.502687,34.281146,WGS84,7.2
LAC053,4/14/1995,361776,3794077,NAD 27 UTM Zone 11 N,-118.502709,34.280524,WGS84,7.6
LAC054,4/14/1995,361776,3794061,NAD 27 UTM Zone 11 N,-118.502706,34.28038,WGS84,8.2
LAC055,5/12/1995,361776,3794048,NAD 27 UTM Zone 11 N,-118.502704,34.280262,WGS84,8.4
LAC057,4/14/1995,361775,3794002,NAD 27 UTM Zone 11 N,-118.502697,34.279848,WGS84,10.7
LAC058,4/14/1995,361775,3793886,NAD 27 UTM Zone 11 N,-118.502679,34.278838,WGS84,9
