ID,LON,LAT,vs30,z1p0,z2p5,vs30source,vs30_ref,z1p0_ref,z2p5_ref
1,-118.5,34.28,351.9,0.35,3.75,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
2,-118.5,34.28,351.9,0.35,3.75,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
3,-118.5,34.28,351.9,0.35,3.75,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
4,-118.5,34.28,351.9,0.35,3.75,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
5,-118.5,34.28,351.9,0.35,3.75,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
6,-118.5,34.28,351.9,0.35,3.75,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
7,-118.5,34.28,351.9,0.35,3.75,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
8,-118.5,34.28,351.9,0.35,3.75,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
9,-118.5,34.28,351.9,0.35,3.75,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
10,-118.5,34.28,351.9,0.35,3.75,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
11,-118.5,34.28,351.9,0.35,3.75,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
12,-118.5,34.28,351.9,0.35,3.75,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
13,-118.5,34.28,351.9,0.35,3.75,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
