z,qt,fs,u2
0.1,3.349,0.02748,0
0.2,3.349,0.02748,0
0.3,2.947,0.05092,0
0.4,0.704,0.000023,0
0.5,0.67,0.000023,0
0.6,0.871,0.005381,0
0.7,1.106,0.02279,0
0.8,1.273,0.03954,0
0.9,1.574,0.01945,0
1,1.842,0.03619,0
1.1,1.072,0.02413,0
1.2,1.608,0.01811,0
1.3,1.273,-0.000647,0
1.4,0.168,0.01878,0
1.5,1.273,0.02112,0
1.6,1.374,0.01141,0
1.7,2.278,0.04088,0
1.8,1.809,0.02145,0
1.9,1.642,0.0382,0
2,1.039,0.00739,0
2.1,1.575,0.01677,0
2.2,4.053,0.05628,0
2.3,3.416,0.04958,0
2.4,2.546,0.01241,0
2.5,1.474,0.02581,0
2.6,1.206,0.0469,0
2.7,1.139,0.04724,0
2.8,0.972,0.04222,0
2.9,0.972,0.05025,0
3,0.938,0.04423,0
3.1,1.005,0.04623,0
3.2,1.039,0.05025,0
3.3,1.039,0.05964,0
3.4,1.24,0.06298,0
3.5,1.24,0.06031,0
3.6,1.407,0.05829,0
3.7,1.508,0.06365,0
3.8,1.541,0.06767,0
3.9,1.843,0.06901,0
4,2.044,0.075,0
4.1,1.977,0.0804,0
4.2,1.742,0.067,0
4.3,1.675,0.06299,0
4.4,2.178,0.06634,0
4.5,2.881,0.04491,0
4.6,3.015,0.03754,0
4.7,2.311,0.05562,0
4.8,2.01,0.075,0
4.9,1.609,0.073,0
5,1.475,0.06935,0
5.1,1.341,0.05964,0
5.2,1.307,0.06031,0
5.3,1.341,0.06634,0
5.4,1.441,0.06935,0
5.5,1.542,0.06266,0
5.6,2.077,0.0874,0
5.7,2.077,0.06199,0
5.8,2.144,0.0898,0
5.9,1.542,0.065,0
6,1.341,0.06098,0
6.1,1.073,0.04089,0
6.2,1.073,0.0419,0
6.3,1.006,0.04357,0
6.4,0.972,0.03788,0
6.5,0.905,0.03018,0
6.6,0.972,0.02951,0
6.7,1.173,0.04625,0
6.8,1.207,0.06031,0
6.9,1.039,0.04759,0
7,0.939,0.03085,0
7.1,1.207,0.05127,0
7.2,1.542,0.0764,0
7.3,1.475,0.06433,0
7.4,1.91,0.0817,0
7.5,2.68,0.1256,0
7.6,2.278,0.1152,0
7.7,1.742,0.0918,0
7.8,1.508,0.06634,0
7.9,1.776,0.06969,0
8,1.742,0.0804,0
8.1,1.575,0.0811,0
8.2,1.542,0.0714,0
8.3,2.077,0.1079,0
8.4,1.977,0.1236,0
8.5,1.709,0.0837,0
8.6,1.542,0.073,0
8.7,1.609,0.0704,0
8.8,5.961,0.1223,0
8.9,5.526,0.0978,0
9,2.546,0.072,0
9.1,3.617,0.1159,0
9.2,5.291,0.0761,0
9.3,5.727,0.1012,0
9.4,6.898,0.1464,0
9.5,7.37,0.0891,0
9.6,5.023,0.05297,0
9.7,4.153,0.0794,0
9.8,9.34,0.0938,0
9.9,5.425,0.05565,0
10,1.81,0.05766,0
10.1,2.814,0.0677,0
10.2,4.22,0.1236,0
10.3,3.651,0.0838,0
10.4,2.68,0.0878,0
10.5,5.894,0.0741,0
10.6,4.689,0.0864,0
10.7,2.781,0.0911,0
10.8,2.982,0.0757,0
10.9,3.885,0.0831,0
11,5.425,0.06301,0
11.1,3.818,0.0831,0
11.2,3.283,0.06703,0
11.3,3.417,0.06235,0
11.4,2.379,0.06636,0
11.5,2.748,0.06368,0
11.6,1.476,0.0677,0
11.7,3.082,0.04795,0
11.8,2.948,0.06837,0
11.9,2.346,0.0824,0
12,1.342,0.05834,0
12.1,3.618,0.0717,0
12.2,7.17,0.0811,0
12.3,8.2,0.0637,0
12.4,8.57,0.1654,0
12.5,7.97,0.1213,0
12.6,7.1,0.1243,0
12.7,6.161,0.1012,0
12.8,4.956,0.0928,0
12.9,3.35,0.1236,0
13,3.952,0.0985,0
13.1,5.893,0.0992,0
13.2,4.756,0.0717,0
13.3,5.09,0.0885,0
13.4,6.596,0.1614,0
13.5,10.88,0.2354,0
13.6,10.68,0.1935,0
