FID,event_id,slip_dir,pgdef_m,sigma,sigma_mu,dist_type,amu,bmu
0,14.0,152.0,0.0539,0.6,0.25,lognormal,1.4550204089267853,-3.4005250115011005
1,658.0,155.6,0.058,0.6,0.25,lognormal,1.165304228117897,-3.201962194938105
2,720.0,155.6,0.0591,0.6,0.25,lognormal,0.8121035041592123,-3.1222363052507176
3,721.0,164.3,0.0555,0.6,0.25,lognormal,0.29120333539834636,-3.0668481684668283
4,1014.0,152.0,0.0522,0.6,0.25,lognormal,1.876847760837996,-3.468706727091402
5,1015.0,155.6,0.0589,0.6,0.25,lognormal,0.6267491697503634,-3.133650591694666
6,1133.0,155.6,0.0562,0.6,0.25,lognormal,0.784871618569706,-3.2564606046685305
7,1134.0,155.6,0.0567,0.6,0.25,lognormal,1.0171770001202645,-3.2521683258391416
8,1135.0,155.6,0.054,0.6,0.25,lognormal,0.9685572157531915,-3.3053058926898613
9,1136.0,155.6,0.0567,0.6,0.25,lognormal,1.0171770001202645,-3.2521683258391416
10,1137.0,164.3,0.0557,0.6,0.25,lognormal,0.2627387862086431,-3.0620669846781445
11,1261.0,155.6,0.0551,0.6,0.25,lognormal,0.8936910448140467,-3.2820486480616062
12,1262.0,160.6,0.0568,0.6,0.25,lognormal,0.8436881903859427,-3.328386042598003
