,5th_eps_pipe_comp,16th_eps_pipe_comp,50th_eps_pipe_comp,84th_eps_pipe_comp,95th_eps_pipe_comp,mean_eps_pipe_comp
segment_1,0.0,0.0,0.0,0.0,0.0,0.0
segment_2,0.0,0.0,0.0,0.0,0.0,0.0
segment_3,0.0,0.0,0.0,0.0,0.0,0.0
segment_4,0.0,0.0,0.0,0.0,0.0,0.0
segment_5,0.0,0.0,0.0,0.0,0.0,0.0
segment_6,0.0,0.0,0.0,0.0,0.0,0.0
segment_7,0.0,0.0,4.232e-07,1.751e-06,4.421e-06,1.066e-06
segment_8,0.0,0.0,2.995e-07,1.239e-06,3.129e-06,7.542e-07
segment_9,0.0,0.0,8.038e-07,3.371e-06,8.535e-06,2.054e-06
segment_10,0.0,0.0,0.0,0.0,0.0,0.0
segment_11,0.0,0.0,0.0,0.0,0.0,0.0
segment_12,0.0,0.0,0.0,0.0,0.0,0.0
segment_13,0.0,0.0,4.082e-07,1.712e-06,4.334e-06,1.043e-06
segment_14,0.0,0.0,2.889e-07,1.211e-06,3.067e-06,7.38e-07
segment_15,0.0,0.0,0.0,0.0,0.0,0.0
segment_16,0.0,0.0,2.853e-07,1.202e-06,3.047e-06,7.327e-07
segment_17,0.0,0.0,4.031e-07,1.698e-06,4.305e-06,1.035e-06
segment_18,0.0,0.0,0.0,0.0,0.0,0.0
segment_19,0.0,0.0,0.0,0.0,0.0,0.0
segment_20,0.0,0.0,0.0,0.0,0.0,0.0
segment_21,0.0,0.0,0.0,0.0,0.0,0.0
segment_22,0.0,0.0,0.0,0.0,0.0,0.0
segment_23,0.0,0.0,0.0,0.0,0.0,0.0
segment_24,0.0,0.0,3.821e-07,1.631e-06,4.172e-06,1e-06
segment_25,0.0,0.0,2.704e-07,1.154e-06,2.953e-06,7.078e-07
segment_26,0.0,0.0,0.0,0.0,0.0,0.0
segment_27,0.0,0.0,0.0,0.0,0.0,0.0
segment_28,0.0,0.0,2.925e-07,1.223e-06,3.088e-06,7.437e-07
segment_29,0.0,0.0,0.0,0.0,0.0,0.0
segment_30,0.0,0.0,0.0,0.0,0.0,0.0
segment_31,0.0,0.0,0.0,0.0,0.0,0.0
segment_32,0.0,0.0,0.0,0.0,0.0,0.0
segment_33,0.0,0.0,0.0,0.0,0.0,0.0
segment_34,0.0,0.0,4.071e-07,1.71e-06,4.328e-06,1.041e-06
segment_35,0.0,0.0,2.881e-07,1.21e-06,3.063e-06,7.369e-07
segment_36,0.0,0.0,0.0,0.0,0.0,0.0
segment_37,0.0,0.0,0.0,0.0,0.0,0.0
segment_38,0.0,0.0,2.684e-07,1.143e-06,2.932e-06,7.021e-07
segment_39,0.0,0.0,0.0,0.0,0.0,0.0
segment_40,0.0,0.0,0.0,0.0,0.0,0.0
segment_41,0.0,0.0,0.0,0.0,0.0,0.0
segment_42,0.0,0.0,0.0,0.0,0.0,0.0
segment_43,0.0,0.0,0.0,0.0,0.0,0.0
segment_44,0.0,0.0,4.168e-07,1.74e-06,4.384e-06,1.056e-06
segment_45,0.0,0.0,2.95e-07,1.231e-06,3.103e-06,7.477e-07
segment_46,0.0,0.0,0.0,0.0,0.0,0.0
segment_47,0.0,0.0,0.0,0.0,0.0,0.0
segment_48,0.0,0.0,2.754e-07,1.172e-06,2.988e-06,7.169e-07
segment_49,0.0,0.0,3.892e-07,1.655e-06,4.222e-06,1.013e-06
segment_50,0.0,0.0,0.0,0.0,0.0,0.0
segment_51,0.0,0.0,0.0,0.0,0.0,0.0
segment_52,0.0,0.0,0.0,0.0,0.0,0.0
segment_53,0.0,0.0,0.0,0.0,0.0,0.0
segment_54,0.0,0.0,0.0,0.0,0.0,0.0
segment_55,0.0,0.0,0.0,0.0,0.0,0.0
segment_56,0.0,0.0,0.0,0.0,0.0,0.0
segment_57,0.0,0.0,0.0,0.0,0.0,0.0
segment_58,0.0,0.0,0.0,0.0,0.0,0.0
segment_59,0.0,0.0,0.0,0.0,0.0,0.0
segment_60,0.0,0.0,0.0,0.0,0.0,0.0
segment_61,0.0,0.0,0.0,0.0,0.0,0.0
segment_62,0.0,0.0,0.0,0.0,0.0,0.0
segment_63,0.0,0.0,0.0,0.0,0.0,0.0
segment_64,0.0,0.0,4.177e-07,1.741e-06,4.389e-06,1.058e-06
segment_65,0.0,0.0,2.956e-07,1.232e-06,3.106e-06,7.486e-07
segment_66,0.0,0.0,0.0,0.0,0.0,0.0
segment_67,0.0,0.0,0.0,0.0,0.0,0.0
segment_68,0.0,0.0,2.873e-07,1.208e-06,3.058e-06,7.36e-07
segment_69,0.0,0.0,0.0,0.0,0.0,0.0
segment_70,0.0,0.0,0.0,0.0,0.0,0.0
segment_71,0.0,0.0,0.0,0.0,0.0,0.0
segment_72,0.0,0.0,0.0,0.0,0.0,0.0
segment_73,0.0,0.0,0.0,0.0,0.0,0.0
segment_74,0.0,0.0,4.105e-07,1.72e-06,4.348e-06,1.047e-06
segment_75,0.0,0.0,2.905e-07,1.217e-06,3.077e-06,7.406e-07
segment_76,0.0,0.0,0.0,0.0,0.0,0.0
segment_77,0.0,0.0,0.0,0.0,0.0,0.0
segment_78,0.0,0.0,2.754e-07,1.172e-06,2.989e-06,7.174e-07
segment_79,0.0,0.0,0.0,0.0,0.0,0.0
