,5th_eps_pipe_tens,16th_eps_pipe_tens,50th_eps_pipe_tens,84th_eps_pipe_tens,95th_eps_pipe_tens,mean_eps_pipe_tens
segment_1,0.0,0.0,0.0,0.0,0.0,0.0
segment_2,0.0,0.0,0.0,0.0,0.0,0.0
segment_3,0.0,0.0,0.0,0.0,0.0,0.0
segment_4,0.0,0.0,0.0,0.0,0.0,0.0
segment_5,0.0,0.0,0.0,0.0,0.0,0.0
segment_6,0.0,0.0,0.0,0.0,0.0,0.0
segment_7,1.532e-08,7.191e-08,1.403e-07,2.112e-06,7.021e-06,1.384e-06
segment_8,0.0,1.367e-08,3.439e-08,8.886e-08,5.057e-07,1.17e-07
segment_9,0.0,3.817e-08,5.784e-08,1.981e-07,7.538e-07,1.929e-07
segment_10,0.0,0.0,0.0,0.0,0.0,0.0
segment_11,0.0,0.0,0.0,0.0,0.0,0.0
segment_12,0.0,0.0,0.0,0.0,0.0,0.0
segment_13,0.0,9.274e-08,2.138e-07,1.788e-06,5.516e-06,1.138e-06
segment_14,0.0,1.621e-08,2.556e-08,8.529e-08,3.539e-07,8.81e-08
segment_15,0.0,0.0,0.0,0.0,0.0,0.0
segment_16,0.0,1.295e-08,3.131e-08,7.973e-08,4.492e-07,1.049e-07
segment_17,0.0,8.01e-08,1.275e-07,1.779e-06,6.208e-06,1.205e-06
segment_18,0.0,0.0,0.0,0.0,0.0,0.0
segment_19,0.0,0.0,0.0,0.0,0.0,0.0
segment_20,0.0,0.0,0.0,0.0,0.0,0.0
segment_21,0.0,0.0,0.0,0.0,0.0,0.0
segment_22,0.0,0.0,0.0,0.0,0.0,0.0
segment_23,0.0,0.0,0.0,0.0,0.0,0.0
segment_24,4.083e-09,6.457e-08,1.363e-07,1.993e-06,6.814e-06,1.352e-06
segment_25,0.0,8.492e-09,3.359e-08,7.072e-08,4.877e-07,1.126e-07
segment_26,0.0,0.0,0.0,0.0,0.0,0.0
segment_27,0.0,0.0,0.0,0.0,0.0,0.0
segment_28,0.0,1.641e-08,2.681e-08,8.82e-08,3.766e-07,9.194e-08
segment_29,0.0,0.0,0.0,0.0,0.0,0.0
segment_30,0.0,0.0,0.0,0.0,0.0,0.0
segment_31,0.0,0.0,0.0,0.0,0.0,0.0
segment_32,0.0,0.0,0.0,0.0,0.0,0.0
segment_33,0.0,0.0,0.0,0.0,0.0,0.0
segment_34,0.0,9.154e-08,1.392e-07,1.681e-06,5.764e-06,1.14e-06
segment_35,0.0,1.233e-08,2.781e-08,6.855e-08,3.857e-07,9.173e-08
segment_36,0.0,0.0,0.0,0.0,0.0,0.0
segment_37,0.0,0.0,0.0,0.0,0.0,0.0
segment_38,0.0,1.428e-08,2.295e-08,8.458e-08,3.376e-07,8.057e-08
segment_39,0.0,0.0,0.0,0.0,0.0,0.0
segment_40,0.0,0.0,0.0,0.0,0.0,0.0
segment_41,0.0,0.0,0.0,0.0,0.0,0.0
segment_42,0.0,0.0,0.0,0.0,0.0,0.0
segment_43,0.0,0.0,0.0,0.0,0.0,0.0
segment_44,1.428e-08,9.056e-08,1.59e-07,1.943e-06,6.498e-06,1.282e-06
segment_45,0.0,1.51e-08,3.049e-08,8.335e-08,4.406e-07,1.032e-07
segment_46,0.0,0.0,0.0,0.0,0.0,0.0
segment_47,0.0,0.0,0.0,0.0,0.0,0.0
segment_48,0.0,1.527e-08,2.755e-08,7.429e-08,3.761e-07,9.169e-08
segment_49,0.0,9.755e-08,1.66e-07,1.741e-06,5.733e-06,1.153e-06
segment_50,0.0,0.0,0.0,0.0,0.0,0.0
segment_51,0.0,0.0,0.0,0.0,0.0,0.0
segment_52,0.0,0.0,0.0,0.0,0.0,0.0
segment_53,0.0,0.0,0.0,0.0,0.0,0.0
segment_54,0.0,0.0,0.0,0.0,0.0,0.0
segment_55,0.0,0.0,0.0,0.0,0.0,0.0
segment_56,0.0,0.0,0.0,0.0,0.0,0.0
segment_57,0.0,0.0,0.0,0.0,0.0,0.0
segment_58,0.0,0.0,0.0,0.0,0.0,0.0
segment_59,0.0,0.0,0.0,0.0,0.0,0.0
segment_60,0.0,0.0,0.0,0.0,0.0,0.0
segment_61,0.0,0.0,0.0,0.0,0.0,0.0
segment_62,0.0,0.0,0.0,0.0,0.0,0.0
segment_63,0.0,0.0,0.0,0.0,0.0,0.0
segment_64,0.0,9.766e-08,1.975e-07,1.828e-06,5.742e-06,1.179e-06
segment_65,0.0,1.649e-08,2.722e-08,8.395e-08,3.816e-07,9.235e-08
segment_66,0.0,0.0,0.0,0.0,0.0,0.0
segment_67,0.0,0.0,0.0,0.0,0.0,0.0
segment_68,0.0,1.014e-08,2.765e-08,6.316e-08,3.879e-07,9.027e-08
segment_69,0.0,0.0,0.0,0.0,0.0,0.0
segment_70,0.0,0.0,0.0,0.0,0.0,0.0
segment_71,0.0,0.0,0.0,0.0,0.0,0.0
segment_72,0.0,0.0,0.0,0.0,0.0,0.0
segment_73,0.0,0.0,0.0,0.0,0.0,0.0
segment_74,0.0,8.799e-08,2.049e-07,1.571e-06,4.848e-06,1.024e-06
segment_75,0.0,1.464e-08,2.298e-08,7.641e-08,3.159e-07,7.826e-08
segment_76,0.0,0.0,0.0,0.0,0.0,0.0
segment_77,0.0,0.0,0.0,0.0,0.0,0.0
segment_78,0.0,1.277e-08,3.352e-08,8.396e-08,4.937e-07,1.145e-07
segment_79,0.0,0.0,0.0,0.0,0.0,0.0
