,5th_eps_pipe_tens,16th_eps_pipe_tens,50th_eps_pipe_tens,84th_eps_pipe_tens,95th_eps_pipe_tens,mean_eps_pipe_tens
segment_1,0.0,0.0,0.0,0.0,0.0,0.0
segment_2,0.0,0.0,0.0,0.0,0.0,0.0
segment_3,0.0,0.0,0.0,0.0,0.0,0.0
segment_4,0.0,0.0,0.0,0.0,0.0,0.0
segment_5,0.0,0.0,0.0,0.0,0.0,0.0
segment_6,0.0,0.0,0.0,0.0,0.0,0.0
segment_7,3.31e-08,6.821e-08,3.752e-07,4.488e-06,1.143e-05,2.493e-06
segment_8,0.0,2.601e-08,4.735e-08,2.781e-07,9.533e-07,2.169e-07
segment_9,0.0,4.443e-08,8.714e-08,4.542e-07,1.498e-06,3.533e-07
segment_10,0.0,0.0,0.0,0.0,0.0,0.0
segment_11,0.0,0.0,0.0,0.0,0.0,0.0
segment_12,0.0,0.0,0.0,0.0,0.0,0.0
segment_13,7.796e-08,1.151e-07,5.263e-07,3.631e-06,8.34e-06,2.023e-06
segment_14,0.0,1.953e-08,3.699e-08,2.209e-07,7.147e-07,1.611e-07
segment_15,0.0,0.0,0.0,0.0,0.0,0.0
segment_16,0.0,2.403e-08,4.407e-08,2.457e-07,8.534e-07,1.948e-07
segment_17,4.865e-08,7.6e-08,3.207e-07,3.838e-06,1.008e-05,2.201e-06
segment_18,0.0,0.0,0.0,0.0,0.0,0.0
segment_19,0.0,0.0,0.0,0.0,0.0,0.0
segment_20,0.0,0.0,0.0,0.0,0.0,0.0
segment_21,0.0,0.0,0.0,0.0,0.0,0.0
segment_22,0.0,0.0,0.0,0.0,0.0,0.0
segment_23,0.0,0.0,0.0,0.0,0.0,0.0
segment_24,2.095e-08,5.837e-08,3.28e-07,4.382e-06,1.153e-05,2.459e-06
segment_25,0.0,2.393e-08,4.69e-08,2.548e-07,9.396e-07,2.12e-07
segment_26,0.0,0.0,0.0,0.0,0.0,0.0
segment_27,0.0,0.0,0.0,0.0,0.0,0.0
segment_28,0.0,2.054e-08,3.789e-08,2.265e-07,7.374e-07,1.685e-07
segment_29,0.0,0.0,0.0,0.0,0.0,0.0
segment_30,0.0,0.0,0.0,0.0,0.0,0.0
segment_31,0.0,0.0,0.0,0.0,0.0,0.0
segment_32,0.0,0.0,0.0,0.0,0.0,0.0
segment_33,0.0,0.0,0.0,0.0,0.0,0.0
segment_34,6.955e-08,9.369e-08,3.446e-07,3.677e-06,9.267e-06,2.074e-06
segment_35,0.0,2.156e-08,3.995e-08,2.097e-07,7.818e-07,1.717e-07
segment_36,0.0,0.0,0.0,0.0,0.0,0.0
segment_37,0.0,0.0,0.0,0.0,0.0,0.0
segment_38,0.0,1.839e-08,3.692e-08,1.987e-07,6.451e-07,1.466e-07
segment_39,0.0,0.0,0.0,0.0,0.0,0.0
segment_40,0.0,0.0,0.0,0.0,0.0,0.0
segment_41,0.0,0.0,0.0,0.0,0.0,0.0
segment_42,0.0,0.0,0.0,0.0,0.0,0.0
segment_43,0.0,0.0,0.0,0.0,0.0,0.0
segment_44,6.685e-08,9.559e-08,3.997e-07,4.124e-06,1.024e-05,2.296e-06
segment_45,0.0,2.439e-08,4.289e-08,2.411e-07,8.706e-07,1.908e-07
segment_46,0.0,0.0,0.0,0.0,0.0,0.0
segment_47,0.0,0.0,0.0,0.0,0.0,0.0
segment_48,0.0,2.101e-08,3.919e-08,2.191e-07,7.534e-07,1.705e-07
segment_49,7.485e-08,1.058e-07,4.09e-07,3.733e-06,9.002e-06,2.082e-06
segment_50,0.0,0.0,0.0,0.0,0.0,0.0
segment_51,0.0,0.0,0.0,0.0,0.0,0.0
segment_52,0.0,0.0,0.0,0.0,0.0,0.0
segment_53,0.0,0.0,0.0,0.0,0.0,0.0
segment_54,0.0,0.0,0.0,0.0,0.0,0.0
segment_55,0.0,0.0,0.0,0.0,0.0,0.0
segment_56,0.0,0.0,0.0,0.0,0.0,0.0
segment_57,0.0,0.0,0.0,0.0,0.0,0.0
segment_58,0.0,0.0,0.0,0.0,0.0,0.0
segment_59,0.0,0.0,0.0,0.0,0.0,0.0
segment_60,0.0,0.0,0.0,0.0,0.0,0.0
segment_61,0.0,0.0,0.0,0.0,0.0,0.0
segment_62,0.0,0.0,0.0,0.0,0.0,0.0
segment_63,0.0,0.0,0.0,0.0,0.0,0.0
segment_64,7.928e-08,1.134e-07,4.953e-07,3.781e-06,8.843e-06,2.1e-06
segment_65,0.0,2.102e-08,3.801e-08,2.253e-07,7.401e-07,1.693e-07
segment_66,0.0,0.0,0.0,0.0,0.0,0.0
segment_67,0.0,0.0,0.0,0.0,0.0,0.0
segment_68,0.0,2.066e-08,3.988e-08,2.08e-07,7.747e-07,1.712e-07
segment_69,0.0,0.0,0.0,0.0,0.0,0.0
segment_70,0.0,0.0,0.0,0.0,0.0,0.0
segment_71,0.0,0.0,0.0,0.0,0.0,0.0
segment_72,0.0,0.0,0.0,0.0,0.0,0.0
segment_73,0.0,0.0,0.0,0.0,0.0,0.0
segment_74,5.648e-08,1.074e-07,4.871e-07,3.244e-06,7.431e-06,1.825e-06
segment_75,0.0,1.827e-08,3.404e-08,1.871e-07,6.319e-07,1.432e-07
segment_76,0.0,0.0,0.0,0.0,0.0,0.0
segment_77,0.0,0.0,0.0,0.0,0.0,0.0
segment_78,0.0,2.521e-08,4.683e-08,2.682e-07,9.331e-07,2.126e-07
segment_79,0.0,0.0,0.0,0.0,0.0,0.0
