site_id,lon,lat,vs30,z1p0,z2p5,vs30_source
0,-118.52,34.3,444.0,0.15,3.9,0.0
1,-118.52,34.3,444.0,0.15,3.9,0.0
2,-118.52,34.3,444.0,0.15,3.9,0.0
3,-118.52,34.3,444.0,0.15,3.9,0.0
4,-118.52,34.3,444.0,0.15,3.9,0.0
5,-118.52,34.3,444.0,0.15,3.9,0.0
6,-118.52,34.3,444.0,0.15,3.9,0.0
7,-118.52,34.31,468.4,0.35,3.7,0.0
8,-118.52,34.31,468.4,0.35,3.7,0.0
9,-118.52,34.31,468.4,0.35,3.7,0.0
10,-118.52,34.31,468.4,0.35,3.7,0.0
11,-122.14,38.18,351.9,0.604,3.513333496,0.0
12,-122.14,38.18,351.9,0.604,3.513333496,0.0
13,-122.14,38.18,351.9,0.604,3.513333496,0.0
14,-122.14,38.18,351.9,0.604,3.513333496,0.0
15,-122.14,38.18,351.9,0.604,3.513333496,0.0
16,-122.14,38.18,351.9,0.604,3.513333496,0.0
17,-122.14,38.18,351.9,0.604,3.513333496,0.0
18,-122.14,38.18,351.9,0.604,3.513333496,0.0
19,-122.14,38.18,351.9,0.604,3.513333496,0.0
20,-122.14,38.18,351.9,0.604,3.513333496,0.0
21,-122.14,38.18,351.9,0.604,3.513333496,0.0
22,-122.14,38.18,351.9,0.604,3.513333496,0.0
23,-122.14,38.18,351.9,0.604,3.513333496,0.0
24,-122.14,38.18,351.9,0.604,3.513333496,0.0
25,-122.14,38.18,351.9,0.604,3.513333496,0.0
26,-122.14,38.18,351.9,0.604,3.513333496,0.0
27,-122.14,38.18,351.9,0.604,3.513333496,0.0
28,-122.14,38.18,351.9,0.604,3.513333496,0.0
29,-122.14,38.18,351.9,0.604,3.513333496,0.0
30,-122.14,38.18,351.9,0.604,3.513333496,0.0
31,-122.14,38.18,351.9,0.604,3.513333496,0.0
32,-122.14,38.18,351.9,0.604,3.513333496,0.0
33,-122.14,38.18,351.9,0.604,3.513333496,0.0
34,-122.14,38.18,351.9,0.604,3.513333496,0.0
35,-122.14,38.18,351.9,0.604,3.513333496,0.0
36,-122.14,38.18,351.9,0.604,3.513333496,0.0
37,-122.14,38.18,351.9,0.604,3.513333496,0.0
38,-122.14,38.18,351.9,0.604,3.513333496,0.0
39,-122.14,38.18,351.9,0.604,3.513333496,0.0
40,-122.14,38.18,351.9,0.604,3.513333496,0.0
41,-122.14,38.18,351.9,0.604,3.513333496,0.0
42,-122.14,38.18,351.9,0.604,3.513333496,0.0
43,-122.14,38.18,351.9,0.604,3.513333496,0.0
44,-122.14,38.18,351.9,0.604,3.513333496,0.0
45,-121.94,37.42,228.2,0.608,1.156911743,0.0
46,-121.94,37.42,228.2,0.608,1.156911743,0.0
47,-121.94,37.42,228.2,0.608,1.156911743,0.0
48,-121.94,37.42,228.2,0.608,1.156911743,0.0
49,-121.94,37.42,228.2,0.608,1.156911743,0.0
50,-121.94,37.42,228.2,0.608,1.156911743,0.0
51,-121.94,37.42,228.2,0.608,1.156911743,0.0
52,-121.94,37.42,228.2,0.608,1.156911743,0.0
53,-118.4,33.97,386.6,0.6,4.55,0.0
54,-118.4,33.97,386.6,0.6,4.55,0.0
55,-118.4,33.97,386.6,0.6,4.55,0.0
56,-118.4,33.97,386.6,0.6,4.55,0.0
57,-118.4,33.97,386.6,0.6,4.55,0.0
58,-118.4,33.97,386.6,0.6,4.55,0.0
59,-118.4,33.97,386.6,0.6,4.55,0.0
60,-118.4,33.97,386.6,0.6,4.55,0.0
61,-118.4,33.97,386.6,0.6,4.55,0.0
62,-118.4,33.96,386.6,0.65,4.5,0.0
63,-118.4,33.96,386.6,0.65,4.5,0.0
64,-118.4,33.96,386.6,0.65,4.5,0.0
65,-118.4,33.96,386.6,0.65,4.5,0.0
66,-118.4,33.96,386.6,0.65,4.5,0.0
67,-118.4,33.96,386.6,0.65,4.5,0.0
68,-118.4,33.96,386.6,0.65,4.5,0.0
69,-118.4,33.96,386.6,0.65,4.5,0.0
70,-118.4,33.96,386.6,0.65,4.5,0.0
71,-118.4,33.96,386.6,0.65,4.5,0.0
72,-118.4,33.96,386.6,0.65,4.5,0.0
73,-118.4,33.96,386.6,0.65,4.5,0.0
74,-118.39,33.96,386.6,0.6,4.5,0.0
75,-118.39,33.96,386.6,0.6,4.5,0.0
76,-118.39,33.96,386.6,0.6,4.5,0.0
77,-118.39,33.96,386.6,0.6,4.5,0.0
78,-118.39,33.96,386.6,0.6,4.5,0.0
79,-118.39,33.96,386.6,0.6,4.5,0.0
