ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,OBJECTID,DIAMETER,OBJ_ID,SUB_SEGMENT_ID,L_ANCHOR_FULL_METER,SEGMENT_AZIMUTH_DEG,ASPECT_DEG_FROM_90M,LEVEL2_LIQ_BETA_CROSSING,x1,y1,x2,y2,qfault_crossed,psi_dip,theta_rake,rake_azimuth,crossing_lon,crossing_lat,beta_crossing,l_anchor,qfault_type,prob_crossing,event_ind,event_id,norm_dist
79280,-118.5173676,34.30254954,-118.5172902,34.30344044,-118.5173289,34.30299499,0.099318,2228,254.0,79280,1,49.6,1.6,127.0,125.4,912642.6226181578,3804810.9619811703,912645.3832730993,3804910.174131377,3320,55.0,35.8,15.3,-118.517363388906,34.302598011917034,13.7,49.6,primary,0.4924,1123,1129,0.1367
79281,-118.5172902,34.30344044,-118.5177521,34.30344643,-118.51752115,34.303443435,0.042433,2228,254.0,79281,1,21.3,268.4,119.0,149.4,912645.3832730993,3804910.174131377,912602.8029496963,3804908.9590917765,3320,55.0,35.8,15.3,-118.5172902,34.30344044,106.9,21.3,primary,0.0392,1123,1129,0.1382
79282,-118.5177521,34.30344643,-118.5180684,34.30353846,-118.51791025,34.303492445,0.030803,2228,254.0,79282,1,58.0,286.8,119.0,167.80000000000004,912602.8029496963,3804908.9590917765,912573.2135994327,3804917.887903983,3320,55.0,35.8,15.3,-118.5177521,34.30344643000001,88.5,58.0,primary,0.0209,1123,1129,0.1389
79283,-118.5180684,34.30353846,-118.5187346,34.30398595,-118.5184015,34.303762205,0.07887,2228,254.0,79283,1,113.0,306.5,110.0,163.50000000000006,912573.2135994327,3804917.887903983,912509.648165517,3804964.8519179537,3320,55.0,35.8,15.3,-118.51806840000002,34.303538460000006,68.8,113.0,primary,0.1818,1123,1129,0.1396
79284,-118.5187346,34.30398595,-118.5194008,34.30443344,-118.5190677,34.304209695,0.07887,2228,254.0,79284,1,192.1,306.5,104.0,157.50000000000006,912509.648165517,3804964.8519179537,912446.0833833807,3805011.8163058343,3320,55.0,35.8,15.3,-118.5187346,34.30398595,68.8,192.1,primary,0.1818,1123,1129,0.1403
79285,-118.5194008,34.30443344,-118.5201696,34.30455809,-118.5197852,34.304495765,0.071964,2228,254.0,79285,1,267.7,278.5,114.0,164.50000000000006,912446.0833833807,3805011.8163058343,912374.650248056,3805022.5259040683,3320,55.0,35.8,15.3,-118.51940080000001,34.30443344,96.7,267.7,primary,0.003,1123,1129,0.1424
79286,-118.5201696,34.30455809,-118.5210258,34.30493975,-118.5205977,34.30474892,0.089364,2228,254.0,79286,1,348.6,295.7,140.0,155.7,912374.650248056,3805022.5259040683,912293.9064905532,3805061.4107171977,3320,55.0,35.8,15.3,-118.5201696,34.30455809,79.6,348.6,primary,0.1285,1123,1129,0.1439
79287,-118.5210258,34.30493975,-118.5216341,34.30521142,-118.52132995,34.305075585,0.063517,2228,254.0,79287,1,425.3,295.8,162.0,133.8,912293.9064905532,3805061.4107171977,912236.5388174015,3805089.0944522084,3320,55.0,35.8,15.3,-118.52102579999999,34.304939749999996,79.5,425.3,primary,0.0916,1123,1129,0.1449
79288,-118.5216341,34.30521142,-118.5222424,34.30548308,-118.52193825,34.30534725,0.063516,2228,254.0,79288,1,489.0,295.8,192.0,103.80000000000004,912236.5388174015,3805089.0944522084,912179.1715649338,3805116.777397478,3320,55.0,35.8,15.3,-118.5216341,34.30521141999999,79.5,489.0,primary,0.0916,1123,1129,0.146
79289,-118.5222424,34.30548308,-118.5228498,34.30580184,-118.5225461,34.30564246,0.066098,2228,254.0,79289,1,553.9,299.8,148.0,151.79999999999998,912179.1715649338,3805116.777397478,912121.6568497838,3805149.692789754,3320,55.0,35.8,15.3,-118.52224240000001,34.30548308,75.5,553.9,primary,0.1173,1123,1129,0.1461
79290,-118.5228498,34.30580184,-118.5234572,34.3061206,-118.5231535,34.30596122,0.066098,2228,254.0,79290,1,592.4,299.8,182.0,117.79999999999995,912121.6568497838,3805149.692789754,912064.1425652334,3805182.6084984276,3320,55.0,35.8,15.3,-118.5228498,34.305801839999994,75.5,592.4,primary,0.1173,1123,1129,0.1469
165278,-122.142834,38.18455583,-122.1431973,38.18400773,-122.14301565,38.18428178,0.068722,2677,609.6,165278,1,181.2,207.1,71.0,136.1,575068.5575804912,4226639.343551654,575037.3023238449,4226578.232963392,1698,84.0,180.0,344.1,-122.14307335853675,38.18419471790387,137.0,181.2,primary,0.2343,392,397,0.3567
165278,-122.142834,38.18455583,-122.1431973,38.18400773,-122.14301565,38.18428178,0.068722,2677,609.6,165278,1,181.2,207.1,71.0,136.1,575068.5575804912,4226639.343551654,575037.3023238449,4226578.232963392,1698,84.0,180.0,344.1,-122.14307335853675,38.18419471790387,137.0,181.2,primary,0.2343,393,398,0.2769
165279,-122.1431973,38.18400773,-122.1435607,38.18345964,-122.143379,38.183733685,0.068725,2677,609.6,165279,1,112.6,207.1,79.0,128.1,575037.3023238449,4226578.232963392,575006.0378158158,4226517.1235368475,1698,84.0,180.0,344.1,-122.1431973,38.18400772999999,137.0,112.6,primary,0.2343,392,397,0.3591
165279,-122.1431973,38.18400773,-122.1435607,38.18345964,-122.143379,38.183733685,0.068725,2677,609.6,165279,1,112.6,207.1,79.0,128.1,575037.3023238449,4226578.232963392,575006.0378158158,4226517.1235368475,1698,84.0,180.0,344.1,-122.1431973,38.18400772999999,137.0,112.6,primary,0.2343,393,398,0.2759
165280,-122.1435607,38.18345964,-122.143924,38.18291154,-122.14374235,38.18318559,0.068722,2677,609.6,165280,1,43.9,207.1,75.0,132.09999999999997,575006.0378158158,4226517.1235368475,574974.7815929556,4226456.01321475,1698,84.0,180.0,344.1,-122.1435607,38.18345964,137.0,43.9,primary,0.2343,392,397,0.3599
165280,-122.1435607,38.18345964,-122.143924,38.18291154,-122.14374235,38.18318559,0.068722,2677,609.6,165280,1,43.9,207.1,75.0,132.09999999999997,575006.0378158158,4226517.1235368475,574974.7815929556,4226456.01321475,1698,84.0,180.0,344.1,-122.1435607,38.18345964,137.0,43.9,primary,0.2343,393,398,0.2756
165281,-122.143924,38.18291154,-122.1439731,38.18283424,-122.14394855,38.18287289,0.009607,2677,609.6,165281,1,4.8,206.1,75.0,131.1,574974.7815929556,4226456.01321475,574970.5605814104,4226447.396403127,1698,84.0,180.0,344.1,-122.143924,38.18291153999999,138.0,4.8,primary,0.0321,392,397,0.363
165281,-122.143924,38.18291154,-122.1439731,38.18283424,-122.14394855,38.18287289,0.009607,2677,609.6,165281,1,4.8,206.1,75.0,131.1,574974.7815929556,4226456.01321475,574970.5605814104,4226447.396403127,1698,84.0,180.0,344.1,-122.143924,38.18291153999999,138.0,4.8,primary,0.0321,393,398,0.2742
165282,-122.1439731,38.18283424,-122.1435703,38.18230786,-122.1437717,38.18257105,0.068303,2677,609.6,165282,1,34.1,148.3,104.0,135.7,574970.5605814104,4226447.396403127,575006.3780223054,4226389.31599364,1698,84.0,180.0,344.1,-122.1439731,38.18283424,164.2,34.1,primary,0.0928,392,397,0.3676
165282,-122.1439731,38.18283424,-122.1435703,38.18230786,-122.1437717,38.18257105,0.068303,2677,609.6,165282,1,34.1,148.3,104.0,135.7,574970.5605814104,4226447.396403127,575006.3780223054,4226389.31599364,1698,84.0,180.0,344.1,-122.1439731,38.18283424,164.2,34.1,primary,0.0928,393,398,0.2722
165283,-122.1435703,38.18230786,-122.1431674,38.18178149,-122.14336885,38.182044675,0.068307,2677,609.6,165283,1,102.4,148.3,80.0,111.7,575006.3780223054,4226389.31599364,575042.2047135106,4226331.23693027,1698,84.0,180.0,344.1,-122.1435703,38.182307859999995,164.2,102.4,primary,0.0928,392,397,0.3717
165283,-122.1435703,38.18230786,-122.1431674,38.18178149,-122.14336885,38.182044675,0.068307,2677,609.6,165283,1,102.4,148.3,80.0,111.7,575006.3780223054,4226389.31599364,575042.2047135106,4226331.23693027,1698,84.0,180.0,344.1,-122.1435703,38.182307859999995,164.2,102.4,primary,0.0928,393,398,0.2704
165284,-122.1431674,38.18178149,-122.142578,38.18103448,-122.1428727,38.181407985,0.097742,2677,609.6,165284,1,185.3,147.6,103.0,135.4,575042.2047135106,4226331.23693027,575094.5926475722,4226248.8272416135,1698,84.0,180.0,344.1,-122.14316740000001,38.18178149,163.5,185.3,primary,0.1392,392,397,0.3777
