z,qt,fs,u2
0.1,2.614,0.01,0
0.2,2.614,0.0734,0
0.3,5.362,0.1304,0
0.4,3.955,0.05329,0
0.5,2.547,0.03451,0
0.6,1.81,0.0087,0
0.7,1.273,0.00838,0
0.8,1.005,0.005362,0
0.9,1.005,0.06401,0
1,2.346,0.06401,0
1.1,2.178,0.0506,0
1.2,2.279,0.0211,0
1.3,2.145,0.01339,0
1.4,1.776,0.00769,0
1.5,1.809,0.01204,0
1.6,2.212,0.03316,0
1.7,2.346,0.03718,0
1.8,2.547,0.03182,0
1.9,2.346,0.0526,0
2,2.111,0.05126,0
2.1,2.245,0.05227,0
2.2,2.279,0.05294,0
2.3,2.48,0.02311,0
2.4,2.044,0.03115,0
2.5,1.474,0.05931,0
2.6,1.34,0.05763,0
2.7,1.374,0.05931,0
2.8,1.407,0.06534,0
2.9,1.273,0.05663,0
3,1.441,0.06367,0
3.1,1.374,0.064,0
3.2,1.675,0.07,0
3.3,1.541,0.05998,0
3.4,1.172,0.05327,0
3.5,1.072,0.04422,0
3.6,1.038,0.03819,0
3.7,0.938,0.03651,0
3.8,0.938,0.03885,0
3.9,1.072,0.04589,0
4,1.072,0.04656,0
4.1,1.675,0.064,0
4.2,1.34,0.05595,0
4.3,1.575,0.065,0
4.4,1.843,0.03718,0
4.5,2.882,0.0975,0
4.6,0.871,0.04254,0
4.7,1.005,0.02947,0
4.8,2.211,0.03081,0
4.9,2.48,0.04253,0
5,2.949,0.03784,0
5.1,4.692,0.05628,0
5.2,4.659,0.0925,0
5.3,2.748,0.03784,0
5.4,1.44,0.02912,0
5.5,1.138,0.0261,0
5.6,1.91,0.04622,0
5.7,0.736,0.002301,0
5.8,0.568,0.000381,0
5.9,0.669,0.001052,0
6,0.636,0.001387,0
6.1,0.602,0.001971,0
6.2,1.34,0.001393,0
6.3,2.479,0.05158,0
6.4,1.038,0.03013,0
6.5,2.882,0.05963,0
6.6,1.943,0.03683,0
6.7,1.105,0.01102,0
6.8,1.407,0.0489,0
6.9,0.736,0.002636,0
7,0.602,0.001063,0
7.1,0.602,0.001393,0
7.2,0.602,0.001052,0
7.3,0.602,0.00163,0
7.4,0.635,0.001063,0
7.5,0.703,0.00174,0
7.6,0.702,0.001728,0
7.7,0.803,0.001728,0
7.8,0.937,0.000289,0
7.9,1.138,0.003631,0
8,1.339,0.006994,0
8.1,1.473,0.02242,0
8.2,3.284,0.1129,0
8.3,4.223,0.1471,0
8.4,6.302,0.1686,0
8.5,8.85,0.1317,0
8.6,8.41,0.2336,0
8.7,5.966,0.2149,0
8.8,14.99,0.1766,0
8.9,17.33,0.1203,0
9,11.83,0.2444,0
9.1,7.58,0.3477,0
9.2,8.21,0.2269,0
9.3,7.84,0.1927,0
9.4,6.738,0.2826,0
9.5,8.05,0.1958,0
9.6,7.24,0.1045,0
9.7,2.345,0.05357,0
9.8,1.439,0.04252,0
9.9,1.808,0.05928,0
10,1.238,0.03212,0
10.1,1.842,0.05659,0
10.2,1.339,0.03246,0
10.3,1.238,0.02608,0
10.4,1.507,0.04183,0
10.5,1.808,0.04519,0
10.6,2.848,0.04451,0
10.7,16.6,0.1438,0
10.8,19.25,0.2243,0
10.9,19.48,0.2099,0
