lon	lat	depth_m
-119.029374	34.380837	0.0
-119.029374	34.380837	7.62
-119.029373	34.380836	15.24
-119.029373	34.380836	22.86
-119.029372	34.380835	30.48
-119.029371	34.380835	38.1
-119.02937	34.380835	45.72
-119.029369	34.380834	53.34
-119.029368	34.380834	60.96
-119.029367	34.380834	68.58
-119.029366	34.380833	76.2
-119.029366	34.380833	83.82
-119.029365	34.380832	91.44
-119.029364	34.380832	99.06
-119.029364	34.380832	106.68
-119.029363	34.380831	114.3
-119.029363	34.380831	121.92
-119.029362	34.38083	129.54
-119.029362	34.38083	137.16
-119.029362	34.380829	144.78
-119.029362	34.380828	152.4
-119.029362	34.380828	160.02
-119.029362	34.380827	167.64
-119.029362	34.380827	175.26
-119.029362	34.380826	182.88
-119.029362	34.380825	190.5
-119.029362	34.380825	198.12
-119.029362	34.380824	205.74
-119.029363	34.380823	213.36
-119.029363	34.380822	220.98
-119.029363	34.380821	228.6
-119.029364	34.38082	236.22
-119.029365	34.380819	243.84
-119.029366	34.380817	251.46
-119.029366	34.380816	259.08
-119.029367	34.380814	266.7
-119.029368	34.380813	274.32
-119.029369	34.380812	281.94
-119.029369	34.38081	289.56
-119.02937	34.380809	297.18
-119.029371	34.380808	304.8
-119.029372	34.380806	312.42
-119.029372	34.380805	320.04
-119.029373	34.380803	327.66
-119.029374	34.380802	335.28
-119.029374	34.380801	342.9
-119.029375	34.380799	350.52
-119.029376	34.380798	358.14
-119.029376	34.380796	365.76
-119.029377	34.380795	373.38
-119.029378	34.380793	381.0
-119.029378	34.380792	388.62
-119.029379	34.380791	396.24
-119.02938	34.380789	403.86
-119.02938	34.380788	411.48
-119.029381	34.380786	419.1
-119.029381	34.380785	426.72
-119.029382	34.380783	434.34
-119.029382	34.380782	441.96
-119.029383	34.38078	449.58
-119.029384	34.380779	457.2
-119.029385	34.380777	464.82
-119.029385	34.380776	472.44
-119.029386	34.380774	480.06
-119.029387	34.380773	487.68
-119.029388	34.380771	495.3
-119.029389	34.38077	502.92
-119.02939	34.380768	510.54
-119.029391	34.380767	518.16
-119.029392	34.380766	525.78
-119.029393	34.380764	533.4
-119.029394	34.380763	541.02
-119.029394	34.380762	548.64
-119.029395	34.380761	556.26
-119.029395	34.380759	563.88
-119.029396	34.380758	571.5
-119.029397	34.380756	579.12
-119.029398	34.380755	586.74
-119.029399	34.380753	594.36
-119.029401	34.380751	601.98
-119.029402	34.380749	609.6
-119.029404	34.380748	617.22
-119.029405	34.380746	624.84
-119.029407	34.380744	632.46
-119.029408	34.380742	640.08
-119.02941	34.380741	647.7
-119.029411	34.380739	655.32
-119.029413	34.380737	662.94
-119.029414	34.380736	670.56
-119.029416	34.380734	678.18
-119.029417	34.380733	685.8
-119.029419	34.380731	693.12
-119.02942	34.38073	700.74
-119.029422	34.380728	708.36
-119.029423	34.380727	715.98
-119.029424	34.380725	723.6
-119.029425	34.380724	731.22
-119.029427	34.380722	738.84
-119.029428	34.380721	746.46
-119.029429	34.38072	754.08
-119.02943	34.380718	761.7
-119.029432	34.380717	769.32
-119.029433	34.380716	776.94
-119.029434	34.380715	784.56
-119.029436	34.380714	792.18
-119.029437	34.380713	799.8
-119.029438	34.380712	807.42
-119.02944	34.38071	815.04
-119.029441	34.380709	822.66
-119.029442	34.380708	830.28
-119.029443	34.380707	837.9
-119.029445	34.380706	845.52
-119.029446	34.380704	853.14
-119.029448	34.380703	860.76
-119.029449	34.380702	868.38
-119.02945	34.380701	876.0
-119.029451	34.3807	883.62
-119.029452	34.380699	891.24
-119.029453	34.380698	898.86
-119.029454	34.380697	906.48
-119.029456	34.380696	914.1
-119.029457	34.380695	921.72
-119.029458	34.380694	929.34
-119.029458	34.380693	936.96
-119.029459	34.380693	944.58
-119.02946	34.380692	952.2
-119.029461	34.380691	959.82
-119.029461	34.38069	967.44
-119.029462	34.380689	975.06
-119.029463	34.380689	982.68
-119.029463	34.380688	990.3
-119.029464	34.380688	997.92
-119.029465	34.380687	1005.54
-119.029465	34.380687	1013.16
-119.029466	34.380687	1020.78
-119.029466	34.380686	1028.4
-119.029467	34.380686	1036.02
-119.029467	34.380686	1043.64
-119.029467	34.380686	1051.26
-119.029468	34.380686	1058.88
-119.029469	34.380686	1066.5
-119.029469	34.380686	1074.12
-119.02947	34.380685	1081.74
-119.02947	34.380685	1089.36
-119.029471	34.380685	1096.98
-119.029471	34.380684	1104.6
-119.029472	34.380683	1112.22
-119.029472	34.380683	1119.84
-119.029472	34.380682	1127.46
-119.029473	34.380682	1135.08
-119.029473	34.380681	1142.7
-119.029474	34.38068	1150.32
-119.029474	34.38068	1157.94
-119.029475	34.380679	1165.56
-119.029475	34.380678	1173.18
-119.029475	34.380678	1180.8
-119.029474	34.380678	1188.42
-119.029474	34.380678	1196.04
-119.029474	34.380677	1203.66
-119.029474	34.380677	1211.28
-119.029474	34.380676	1218.9
-119.029474	34.380675	1226.52
-119.029475	34.380675	1234.14
-119.029475	34.380674	1241.76
-119.029475	34.380674	1249.38
-119.029475	34.380674	1257.0
-119.029475	34.380673	1264.62
-119.029476	34.380673	1272.24
-119.029476	34.380673	1279.86
-119.029477	34.380673	1287.48
-119.029478	34.380673	1295.1
-119.029479	34.380673	1302.72
-119.02948	34.380673	1310.34
-119.029481	34.380674	1317.96
-119.029482	34.380674	1325.58
-119.029484	34.380675	1333.2
-119.029485	34.380676	1340.82
-119.029487	34.380676	1348.44
-119.029488	34.380677	1356.06
-119.02949	34.380678	1363.68
-119.029491	34.380678	1371.3
-119.029492	34.380679	1378.92
-119.029494	34.38068	1386.54
-119.029495	34.380681	1394.16
-119.029496	34.380681	1401.78
-119.029496	34.380682	1409.4
-119.029497	34.380683	1417.02
-119.029498	34.380684	1424.64
-119.029499	34.380685	1432.26
-119.029499	34.380686	1439.88
-119.029499	34.380687	1447.5
-119.029499	34.380688	1455.12
-119.029499	34.38069	1462.74
-119.029498	34.380692	1470.36
-119.029498	34.380694	1477.98
-119.029497	34.380696	1485.6
-119.029496	34.380698	1493.22
-119.029496	34.3807	1500.84
-119.029495	34.380702	1508.46
-119.029495	34.380703	1516.08
-119.029494	34.380705	1523.7
-119.029494	34.380707	1531.32
-119.029493	34.380709	1538.94
-119.029493	34.380711	1546.56
-119.029493	34.380714	1554.18
-119.029494	34.380716	1561.8
-119.029494	34.380719	1569.42
-119.029495	34.380723	1577.04
-119.029497	34.380727	1584.66
-119.029499	34.380731	1592.28
-119.029502	34.380736	1599.9
-119.029504	34.380741	1607.52
-119.029506	34.380746	1615.14
-119.029508	34.380751	1622.76
-119.029511	34.380756	1630.07
-119.029513	34.380761	1637.69
-119.029515	34.380765	1645.31
-119.029517	34.38077	1652.93
-119.02952	34.380775	1660.55
-119.029522	34.38078	1668.17
-119.029524	34.380785	1675.79
-119.029527	34.380789	1683.41
-119.029529	34.380794	1691.03
-119.029532	34.380798	1698.65
-119.029534	34.380802	1706.27
-119.029537	34.380807	1713.89
-119.02954	34.380811	1721.51
-119.029543	34.380816	1729.13
-119.029546	34.38082	1736.75
-119.029549	34.380825	1744.07
-119.029551	34.380829	1751.69
-119.029554	34.380833	1759.31
-119.029557	34.380837	1766.93
-119.02956	34.380841	1774.55
-119.029563	34.380845	1782.17
-119.029565	34.380849	1789.79
-119.029568	34.380852	1797.41
-119.02957	34.380855	1805.03
-119.029573	34.380859	1812.65
-119.029576	34.380862	1820.27
-119.029578	34.380865	1827.89
-119.029581	34.380869	1835.51
-119.029583	34.380872	1843.13
-119.029586	34.380875	1850.75
-119.029588	34.380879	1858.37
-119.029591	34.380882	1865.99
-119.029593	34.380886	1873.61
-119.029596	34.38089	1881.23
-119.029598	34.380893	1888.85
-119.0296	34.380897	1896.16
-119.029602	34.380901	1903.78
-119.029604	34.380905	1911.4
-119.029606	34.380909	1919.02
-119.029608	34.380913	1926.64
-119.02961	34.380917	1934.26
-119.029612	34.380922	1941.88
-119.029615	34.380927	1949.5
-119.029617	34.380932	1957.12
-119.02962	34.380937	1964.74
-119.029623	34.380943	1972.36
-119.029625	34.380948	1979.98
-119.029628	34.380954	1987.6
-119.029631	34.380959	1995.22
-119.029634	34.380965	2002.54
-119.029637	34.38097	2010.16
-119.029639	34.380976	2017.78
-119.029642	34.380981	2025.4
-119.029645	34.380986	2033.02
-119.029648	34.380992	2040.64
-119.029651	34.380997	2048.26
-119.029654	34.381002	2055.88
-119.029657	34.381007	2063.5
-119.02966	34.381012	2071.12
-119.029662	34.381017	2078.74
-119.029665	34.381021	2086.36
-119.029667	34.381026	2093.67
-119.02967	34.38103	2101.29
-119.029672	34.381034	2108.91
-119.029674	34.381038	2116.53
-119.029676	34.381041	2124.15
-119.029677	34.381045	2131.77
-119.029679	34.381048	2139.39
-119.02968	34.381051	2147.01
-119.029682	34.381053	2154.63
-119.029683	34.381055	2162.25
-119.029684	34.381057	2169.87
-119.029686	34.381059	2177.49
-119.029687	34.381061	2185.11
-119.029688	34.381063	2192.73
-119.029689	34.381064	2200.35
-119.02969	34.381066	2207.97
-119.029691	34.381067	2215.59
-119.029692	34.381068	2223.21
-119.029693	34.381069	2230.83
-119.029695	34.381071	2238.45
-119.029696	34.381072	2246.07
-119.029697	34.381073	2253.69
-119.029699	34.381074	2261.31
-119.0297	34.381074	2268.93
-119.029701	34.381075	2276.55
-119.029703	34.381076	2284.17
-119.029704	34.381077	2291.79
-119.029706	34.381077	2299.41
-119.029707	34.381078	2307.03
-119.029709	34.381078	2314.65
-119.02971	34.381079	2322.27
-119.029712	34.381079	2329.89
