site_id,lon,lat,vs30,z1p0,z2p5,vs30_source
0,-118.58,34.45,351.9,0.15,1.5,0.0
1,-118.58,34.45,351.9,0.15,1.5,0.0
2,-118.59,34.45,444.0,0.15,1.55,0.0
3,-118.58,34.45,351.9,0.15,1.5,0.0
4,-118.59,34.45,444.0,0.15,1.55,0.0
5,-118.59,34.45,444.0,0.15,1.55,0.0
6,-118.6,34.45,351.9,0.35,3.5,0.0
7,-118.6,34.45,351.9,0.35,3.5,0.0
8,-118.58,34.45,351.9,0.15,1.5,0.0
9,-118.58,34.45,351.9,0.15,1.5,0.0
10,-118.59,34.45,444.0,0.15,1.55,0.0
11,-118.59,34.45,444.0,0.15,1.55,0.0
12,-118.59,34.45,444.0,0.15,1.55,0.0
13,-118.59,34.45,444.0,0.15,1.55,0.0
14,-118.6,34.45,351.9,0.35,3.5,0.0
15,-118.6,34.45,351.9,0.35,3.5,0.0
16,-118.6,34.45,351.9,0.35,3.5,0.0
17,-118.6,34.45,351.9,0.35,3.5,0.0
18,-118.59,34.45,444.0,0.15,1.55,0.0
19,-118.59,34.45,444.0,0.15,1.55,0.0
20,-118.6,34.45,351.9,0.35,3.5,0.0
