lon	lat	depth_m
-118.585695	34.446812	0.0
-118.585706	34.446811	120.09
-118.585711	34.446812	174.34
-118.585723	34.446822	260.3
-118.585729	34.446827	304.77
-118.585745	34.446833	366.63
-118.585758	34.446839	420.86
-118.585777	34.446845	480.27
-118.585793	34.446851	534.81
-118.58581	34.446857	600.62
-118.585832	34.446859	658.19
-118.585849	34.44686	698.39
-118.585869	34.446862	751.7
-118.585898	34.446865	820.23
-118.58592	34.446868	885.73
-118.585935	34.446869	938.44
-118.585946	34.44687	995.43
-118.585945	34.446857	1060.95
-118.585937	34.446834	1129.17
-118.585929	34.446811	1184.88
-118.585933	34.446785	1239.37
-118.585916	34.446754	1312.42
-118.585901	34.446727	1378.49
-118.585891	34.446708	1432.08
-118.585879	34.446696	1489.05
-118.585865	34.446689	1547.86
-118.585843	34.446687	1606.04
-118.585813	34.446644	1671.65
-118.585795	34.446617	1724.27
-118.585783	34.446587	1785.43
-118.585781	34.44658	1804.31
-118.585781	34.446577	1817.72
-118.585779	34.446577	1823.81
-118.585776	34.446576	1833.56
-118.585771	34.446575	1841.78
-118.585746	34.446607	1898.32
-118.585731	34.446627	1920.41
-118.585714	34.446653	1942.73
-118.58568	34.446706	1972.46
-118.585653	34.446749	1990.27
-118.58564	34.446772	1999.29
-118.58561	34.446819	2017.55
-118.585548	34.446919	2055.18
-118.585488	34.447014	2091.37
-118.585401	34.447153	2144.71
-118.585365	34.447208	2166.48
-118.585281	34.447343	2221.57
-118.585224	34.447442	2261.85
-118.585158	34.447573	2314.38
-118.585095	34.447714	2369.84
-118.585024	34.447892	2435.82
-118.584973	34.448043	2488.51
-118.584929	34.448196	2541.19
-118.584906	34.448278	2569.56
-118.584863	34.448428	2621.37
-118.584821	34.448585	2675.5
-118.584778	34.448745	2729.19
-118.584738	34.448912	2783.95
-118.584651	34.449266	2900.38
