,5th_strain_casing,16th_strain_casing,50th_strain_casing,84th_strain_casing,95th_strain_casing,mean_strain_casing,5th_strain_tubing,16th_strain_tubing,50th_strain_tubing,84th_strain_tubing,95th_strain_tubing,mean_strain_tubing
well_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001461,0.0004571,0.0005871,0.0002045
well_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001444,0.0004561,0.0005869,0.0002035
well_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well_10,0.0,0.0,4.253e-10,2.455e-09,2.788e-09,1.569e-09,0.0,0.0,0.0,0.0,0.0,0.0
well_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well_14,0.0,0.0,3.019e-07,1.369e-06,1.509e-06,1.025e-06,0.0,0.0,0.0,0.0,0.0,0.0
well_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001351,0.0004488,0.0005858,0.000198
well_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001566,0.000465,0.0005869,0.0002105
well_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001523,0.0004621,0.0005876,0.0002081
well_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001455,0.0004566,0.0005871,0.0002041
well_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000145,0.0004562,0.000587,0.0002039
