,5th_moment_conductor,16th_moment_conductor,50th_moment_conductor,84th_moment_conductor,95th_moment_conductor,mean_moment_conductor,5th_moment_surface,16th_moment_surface,50th_moment_surface,84th_moment_surface,95th_moment_surface,mean_moment_surface,5th_moment_production,16th_moment_production,50th_moment_production,84th_moment_production,95th_moment_production,mean_moment_production,5th_moment_tubing,16th_moment_tubing,50th_moment_tubing,84th_moment_tubing,95th_moment_tubing,mean_moment_tubing
well_1,0.0,1.365e-07,4.297e-05,0.0001723,0.0003797,0.0001029,0.0,0.0,4.004e-06,1.367e-05,3.919e-05,9.826e-06,0.0,0.0,6.709e-07,2.024e-06,6.473e-06,1.607e-06,0.0,0.0006376,0.003671,0.008991,0.0134,0.004891
well_2,0.0,0.0,4.353e-05,0.0001733,0.0003762,0.0001025,0.0,0.0,1.23e-05,4.372e-05,0.000114,2.904e-05,0.0,0.0,1.989e-07,6.73e-07,2.081e-06,5.306e-07,0.0,0.0008908,0.005783,0.01428,0.02108,0.007751
well_3,0.0,1.645e-07,4.349e-05,0.0001823,0.0003975,0.000107,0.0,0.0,4.374e-06,1.509e-05,4.62e-05,1.125e-05,0.0,0.0,7.874e-07,2.323e-06,8.2e-06,1.977e-06,0.0,0.0006094,0.003349,0.008073,0.01198,0.004415
well_4,0.0,0.0,4.363e-05,0.0001763,0.0004086,0.0001084,0.0,0.0,4.09e-06,1.404e-05,4.192e-05,1.047e-05,0.0,0.0,7.009e-07,2.14e-06,7.232e-06,1.751e-06,0.0,0.0006414,0.003679,0.009004,0.0134,0.004897
well_5,0.0,0.0,4.443e-05,0.0001788,0.0003771,0.0001035,0.0,0.0,1.292e-05,4.623e-05,0.0001172,3.009e-05,0.0,0.0,2.425e-07,7.623e-07,2.487e-06,6.19e-07,0.0,0.0008246,0.005247,0.0128,0.01885,0.006975
well_6,0.0,0.0,4.445e-05,0.0001792,0.0003787,0.0001038,0.0,0.0,1.297e-05,4.661e-05,0.0001193,3.053e-05,0.0,0.0,2.444e-07,7.638e-07,2.508e-06,6.248e-07,0.0,0.0008265,0.005255,0.01283,0.01889,0.006989
well_7,0.0,0.0,4.641e-05,0.0001861,0.0003992,0.0001094,0.0,0.0,1.316e-05,4.807e-05,0.0001245,3.153e-05,0.0,0.0,2.186e-07,7.432e-07,2.416e-06,5.986e-07,0.0,0.0008856,0.005748,0.01413,0.02085,0.007662
well_8,0.0,0.0,4.571e-05,0.0001921,0.0004368,0.0001162,0.0,0.0,4.5e-06,1.557e-05,4.844e-05,1.178e-05,0.0,0.0,7.701e-07,2.401e-06,8.499e-06,2.024e-06,0.0,0.0006512,0.003655,0.008909,0.01317,0.004837
well_9,0.0,0.0,4.384e-05,0.0001747,0.0003785,0.0001032,0.0,0.0,1.236e-05,4.401e-05,0.0001145,2.919e-05,0.0,0.0,2.014e-07,6.792e-07,2.102e-06,5.357e-07,0.0,0.000891,0.005785,0.01429,0.02109,0.007756
well_10,0.0,1.577e-07,4.347e-05,0.0001746,0.0003851,0.0001043,0.0,0.0,1.234e-05,4.411e-05,0.0001164,2.945e-05,0.0,0.0,1.994e-07,6.985e-07,2.184e-06,5.561e-07,0.0,0.0008922,0.005791,0.01429,0.02109,0.007756
