,5th_moment_conductor,16th_moment_conductor,50th_moment_conductor,84th_moment_conductor,95th_moment_conductor,mean_moment_conductor,5th_moment_surface,16th_moment_surface,50th_moment_surface,84th_moment_surface,95th_moment_surface,mean_moment_surface,5th_moment_production,16th_moment_production,50th_moment_production,84th_moment_production,95th_moment_production,mean_moment_production,5th_moment_tubing,16th_moment_tubing,50th_moment_tubing,84th_moment_tubing,95th_moment_tubing,mean_moment_tubing
well_1,0.0,0.0002725,0.003191,0.01637,0.04007,0.009672,0.0,0.0,0.0003172,0.001223,0.004568,0.001065,0.0,0.0,4.602e-05,0.0001929,0.0006525,0.0001865,0.0,0.04662,0.1679,0.3778,0.5267,0.2089
well_2,0.0,0.0002525,0.003176,0.01643,0.04006,0.009704,0.0,0.0,0.0008428,0.004185,0.01227,0.002924,0.0,0.0,1.087e-05,7.167e-05,0.0002042,6.303e-05,0.0,0.06589,0.2311,0.4972,0.6754,0.2779
well_3,0.0,0.0002584,0.003007,0.01492,0.03606,0.008795,0.0,0.0,0.0002828,0.001047,0.003926,0.0009272,0.0,0.0,4.211e-05,0.000163,0.0005446,0.0001564,0.0,0.04434,0.1587,0.3533,0.4974,0.1971
well_4,0.0,0.0002719,0.003177,0.01636,0.04004,0.00967,0.0,0.0,0.0003158,0.001211,0.00444,0.001045,0.0,0.0,4.724e-05,0.0001889,0.0006476,0.0001811,0.0,0.04667,0.168,0.3779,0.5268,0.209
well_5,0.0,0.0002694,0.003083,0.01484,0.03509,0.00865,0.0,0.0,0.0007954,0.003689,0.01039,0.002511,0.0,0.0,1.042e-05,5.483e-05,0.0001497,4.783e-05,0.0,0.0622,0.2171,0.4693,0.6433,0.2635
well_6,0.0,0.0002559,0.003029,0.01502,0.03628,0.00888,0.0,0.0,0.0007909,0.003698,0.01087,0.002614,0.0,0.0,1.009e-05,5.956e-05,0.0001676,5.255e-05,0.0,0.06239,0.217,0.4701,0.6437,0.2637
well_7,0.0,0.0001377,0.002597,0.01242,0.03038,0.007542,0.0,0.0,0.0006623,0.002908,0.008803,0.002128,0.0,0.0,7.146e-06,4.4e-05,0.0001149,3.68e-05,0.0,0.06018,0.2137,0.46,0.6397,0.2569
well_8,0.0,0.0001327,0.002547,0.01256,0.03128,0.007658,0.0,0.0,0.0002323,0.0008287,0.003119,0.0007595,0.0,0.0,3.221e-05,0.0001294,0.0004217,0.0001227,0.0,0.04269,0.1515,0.3413,0.4924,0.19
well_9,0.0,0.0002831,0.003275,0.01618,0.03925,0.009471,0.0,0.0,0.0008555,0.004104,0.01167,0.002813,0.0,0.0,1.116e-05,6.446e-05,0.0001832,5.672e-05,0.0,0.06619,0.2318,0.4975,0.6745,0.2781
well_10,0.0,0.0002702,0.003208,0.01637,0.03992,0.009652,0.0,0.0,0.0008464,0.004158,0.01214,0.002899,0.0,0.0,1.147e-05,6.975e-05,0.0002004,6.148e-05,0.0,0.06601,0.2314,0.4974,0.6753,0.278
